,Unnamed: 0,TICKER,OPEN,HIGH,LOW,CLOSE,VOLUME,BARTIMESTAMP,ASSET,VWAP
17735998,17735998,GBCO,5.44,5.45,5.42,5.43,91923,2023-06-06 13:20:00,1.0,5.444782
17736061,17736061,GBCO,5.48,5.5,5.48,5.48,21226,2023-06-07 12:05:00,1.0,5.4728612
17736724,17736724,GBCO,6.11,6.14,6.08,6.13,774750,2023-06-13 13:05:00,1.0,6.0371741
17736818,17736818,GBCO,6.12,6.14,6.11,6.11,111098,2023-06-13 13:20:00,1.0,6.0435297
17745042,17745042,GBCO,5.48,5.48,5.45,5.45,9890,2023-06-07 12:25:00,1.0,5.4744805
17745207,17745207,GBCO,6.08,6.09,6.08,6.08,24125,2023-06-13 12:10:00,1.0,6.0344126
17745459,17745459,GBCO,6.05,6.07,6.04,6.06,57305,2023-06-13 12:55:00,1.0,6.0359219
17753666,17753666,GBCO,5.41,5.43,5.4,5.41,63075,2023-06-06 13:35:00,1.0,5.4406691
17753747,17753747,GBCO,5.41,5.42,5.41,5.42,869,2023-06-06 13:40:00,1.0,5.4407059
17753827,17753827,GBCO,5.45,5.47,5.45,5.47,68,2023-06-07 12:30:00,1.0,5.4743525
17753947,17753947,GBCO,5.47,5.47,5.45,5.47,61,2023-06-07 12:40:00,1.0,5.4744533
17754109,17754109,GBCO,6.07,6.12,6.07,6.07,209947,2023-06-13 13:00:00,1.0,6.0362155
17762515,17762515,GBCO,5.47,5.47,5.43,5.43,13164,2023-06-07 12:45:00,1.0,5.4744332
17762817,17762817,GBCO,6.11,6.11,6.11,6.11,171636,2023-06-13 14:25:00,1.0,6.0474028
17770587,17770587,GBCO,5.4,5.41,5.39,5.4,176601,2023-06-06 13:50:00,1.0,5.4389982
17770671,17770671,GBCO,5.4,5.41,5.39,5.41,26895,2023-06-06 13:55:00,1.0,5.4351769
17778535,17778535,GBCO,5.43,5.44,5.43,5.43,6755,2023-06-07 10:05:00,1.0,5.4286649
17778584,17778584,GBCO,5.39,5.42,5.39,5.42,82518,2023-06-07 13:00:00,1.0,5.474143
17786233,17786233,GBCO,5.41,5.42,5.39,5.39,76810,2023-06-07 13:15:00,1.0,5.467393
17786322,17786322,GBCO,5.39,5.41,5.39,5.4,42435,2023-06-07 13:20:00,1.0,5.4622616
17786380,17786380,GBCO,5.4,5.4,5.3,5.39,74952,2023-06-08 10:00:00,1.0,5.3309784
17793764,17793764,GBCO,5.47,5.49,5.46,5.48,153211,2023-06-07 10:35:00,1.0,5.4377207
17793921,17793921,GBCO,5.4,5.42,5.4,5.42,2862,2023-06-07 13:25:00,1.0,5.4620736
17794010,17794010,GBCO,5.39,5.39,5.34,5.34,12496,2023-06-08 10:05:00,1.0,5.3241507
17794113,17794113,GBCO,5.38,5.39,5.37,5.37,65413,2023-06-08 11:00:00,1.0,5.3666357
17801120,17801120,GBCO,5.46,5.48,5.45,5.45,63108,2023-06-07 10:40:00,1.0,5.4384513
17801235,17801235,GBCO,5.45,5.48,5.45,5.48,110633,2023-06-07 10:45:00,1.0,5.4433623
17801357,17801357,GBCO,5.42,5.42,5.4,5.42,14397,2023-06-07 13:30:00,1.0,5.4622733
17808650,17808650,GBCO,5.49,5.5,5.47,5.47,88213,2023-06-07 11:05:00,1.0,5.4639362
17808771,17808771,GBCO,5.39,5.39,5.38,5.39,3157,2023-06-07 13:50:00,1.0,5.4568178
17816061,17816061,GBCO,5.38,5.38,5.36,5.36,5000,2023-06-07 14:00:00,1.0,5.4451519
17816208,17816208,GBCO,5.5,5.5,5.47,5.48,16976,2023-06-11 10:10:00,1.0,5.3703
17823143,17823143,GBCO,5.49,5.5,5.48,5.5,21709,2023-06-07 11:30:00,1.0,5.4722572
17823327,17823327,GBCO,5.45,5.47,5.45,5.47,72010,2023-06-11 10:20:00,1.0,5.3813124
17823328,17823328,GBCO,5.47,5.47,5.46,5.47,16138,2023-06-11 10:25:00,1.0,5.3812406
17823700,17823700,GBCO,5.8,5.82,5.8,5.81,48729,2023-06-13 10:40:00,1.0,5.7951301
17823836,17823836,GBCO,5.86,5.9,5.84,5.9,1236660,2023-06-13 10:55:00,1.0,5.8072663
17830090,17830090,GBCO,5.45,5.46,5.45,5.45,21465,2023-06-06 12:50:00,1.0,5.4469036
17830245,17830245,GBCO,5.47,5.49,5.47,5.48,1384,2023-06-07 11:40:00,1.0,5.472279
17830697,17830697,GBCO,5.9,5.91,5.85,5.85,1073099,2023-06-13 11:00:00,1.0,5.8274564
17837324,17837324,GBCO,5.48,5.48,5.47,5.47,72,2023-06-07 11:55:00,1.0,5.4726242
17837478,17837478,GBCO,5.52,5.54,5.51,5.53,204649,2023-06-11 12:15:00,1.0,5.4373499
17844423,17844423,GBCO,6.07,6.24,6.04,6.15,4966652,2023-06-13 11:15:00,1.0,5.9067126
17845005,17845005,GBCO,6.07,6.12,6.06,6.08,250066,2023-06-13 12:05:00,1.0,6.0342035
17845408,17845408,GBCO,5.44,5.45,5.43,5.44,33738,2023-06-06 13:15:00,1.0,5.447008
17851126,17851126,GBCO,5.57,5.59,5.57,5.58,52981,2023-06-11 13:10:00,1.0,5.5054232
17851201,17851201,GBCO,5.57,5.58,5.57,5.58,49760,2023-06-11 13:15:00,1.0,5.5059879
17851268,17851268,GBCO,6.06,6.1,6.05,6.06,833462,2023-06-13 11:25:00,1.0,6.0024597
17851893,17851893,GBCO,6.1,6.12,6.1,6.1,32312,2023-06-13 12:25:00,1.0,6.0351673
18006117,18006117,GBCO,5.53,5.62,5.53,5.62,1053775,2023-06-11 12:20:00,1.0,5.4363333
