BUY,Date,Retail,Institutional,Foreign,Regional,Local
BUY,2/5/2008,917230846.3,608943606.7,344915426.4,137355700.8,1043903326
BUY,2/6/2008,891903622.3,565455237.7,374541227,131162297.4,953112694.4
BUY,2/7/2008,884314337.1,480368281.9,302959541.4,84610322.38,977112755.2
BUY,2/10/2008,758115124,160812299,59730282.5,72595266.42,786601874.1
BUY,2/11/2008,848261858,343117156,194194779.3,123903417.5,874472196.3
BUY,2/12/2008,657449053.6,698116005.4,183001283,104378509.5,1068185266
BUY,2/13/2008,747348000,554652000,351540000,91140000,860622000
BUY,2/14/2008,880200636.2,555689471.8,373331428.1,130665999.8,931892680.1
BUY,2/17/2008,1083421600,334669499.6,173007114.2,182933751.9,1062150234
BUY,2/18/2008,920818113,4593062803,396999426,4113355163,1009040208
BUY,2/19/2008,1373431639,848949653.9,648935337.6,211126222.8,1364542114
BUY,2/20/2008,1449391766,869635059.4,598308920.9,183203119.2,1537514785
BUY,2/21/2008,1392618820,1059174878,686502235.4,225565020.2,1539726442
BUY,2/28/2008,1488309877,896802105.6,548575756.1,288598549.9,1547937677
BUY,3/2/2008,1694874680,668967272.7,312027137.8,156013568.9,1895801246
BUY,3/3/2008,1773740312,778404021.9,449177402.8,199067258.1,1903899673
BUY,3/4/2008,1691267826,774137168.1,401861014,207094019.5,1856449960
BUY,3/5/2008,1830374577,841705097.3,633282882.7,269880047.1,1768916744
BUY,3/6/2008,1402001902,1208802384,529993270.1,193199517.2,1887611499
BUY,3/9/2008,1462256011,836888660.2,372461436.7,236811901.1,1692170478
BUY,3/10/2008,1610418037,811263221.8,467384483,203421225.8,1750875550
BUY,3/11/2008,1444370821,1028866887,677667132,197859016.6,1597711559
BUY,3/12/2008,1844372690,2385839902,1027941660,325726369.6,2880774775
BUY,3/13/2008,1543253063,949885972.7,393915967.7,241834486.5,1857388582
BUY,3/16/2008,1525036080,915021648,148843521.4,173244098.7,2117970108
BUY,3/17/2008,1777929063,936466453,200865268.2,396301745.3,2117228502
BUY,3/18/2008,1050148779,1058583708,805535810,151828739.1,1151367938
BUY,3/19/2008,1329781569,712893652.1,514754155.7,277803830.1,1248074560
BUY,3/23/2008,1079179905,655836019.7,298422739.1,85015780.33,1351577406
BUY,3/24/2008,1268495961,487948113,192270161.1,22319186.43,728846066.8
BUY,3/25/2008,1246512278,936521483.9,395129110.9,161544498.4,1626360153
BUY,3/26/2008,1500353813,862408097.5,434748191.6,233913429.2,1694100290
BUY,3/27/2008,1387458186,790655135.9,398594737.9,230880012.1,1550816685
BUY,3/30/2008,1352381761,1778131574,278615686.8,122090020.1,2732938141
BUY,3/31/2008,1433351293,9592427882,452056946.2,352824933.6,10220897295
BUY,4/1/2008,1264503273,654318082.1,378007806.9,117048102.7,1423765445
BUY,4/2/2008,1218222593,815537996.6,516575189.9,101688029.5,1415497371
BUY,4/3/2008,1017105954,709729282,395445269,129512642.7,1201877324
BUY,4/6/2008,845794420.5,364211903.5,166980872.7,100430524.9,942594926.4
