NETFLOW,Date,Retail,Institutional,Foreign,Regional,Local
NETFLOW,2/5/2008,-47311408.04,47311408.04,54942280.31,-28997314.61,-27471140.15
NETFLOW,2/6/2008,-11658870.88,11658870.88,62666430.98,8744153.16,-71410584.14
NETFLOW,2/7/2008,35481748.09,-35481748.09,-32752382.86,-96892465.95,128280166.2
NETFLOW,2/10/2008,87298105.18,-87298105.19,-88217032.61,-14702838.77,102919871.4
NETFLOW,2/11/2008,16679306.2,-16679306.2,33358612.39,-40506886.48,8339653.098
NETFLOW,2/12/2008,-376847086.4,376847086.4,42022516.83,13555650.59,-55578167.42
NETFLOW,2/13/2008,-87234000,87234000,70308000,-37758000,-31248000
NETFLOW,2/14/2008,-160819692.1,160819692.1,190973384.4,-12923010.97,-178050373.4
NETFLOW,2/17/2008,-55305552.9,55305552.9,38288459.7,46797006.3,-85085466
NETFLOW,2/18/2008,-132333142,132333142,-1626594870,3920369331,-2288260580
NETFLOW,2/19/2008,-115563827.2,115563827.2,48892388.45,4444762.586,-51114769.74
NETFLOW,2/20/2008,-122908421.7,122908421.7,132184529,-85803992.53,-46380536.5
NETFLOW,2/21/2008,-95619954.22,95619954.22,56391255.05,-41680492.87,-14710762.19
NETFLOW,2/28/2008,-119255599.2,119255599.2,62012911.56,47702239.66,-109715151.2
NETFLOW,3/2/2008,52004522.97,-52004522.97,101645204,-137102833.3,35457629.29
NETFLOW,3/3/2008,63803608.35,-63803608.35,-2552144.334,-135263649.7,135263649.7
NETFLOW,3/4/2008,-106012414.7,106012414.7,133131869.7,-115874034.7,-17257834.96
NETFLOW,3/5/2008,-29392876.41,29392876.41,184373497.5,-64129912.18,-120243585.3
NETFLOW,3/6/2008,-65270107.15,65270107.15,93988954.3,-18275630,-75713324.29
NETFLOW,3/9/2008,151743548.3,-151743548.3,-55179472.1,43683748.75,13794868.03
NETFLOW,3/10/2008,46011943.92,-46011943.92,142879194.3,-21795131.33,-123505744.2
NETFLOW,3/11/2008,-7419713.124,7419713.124,89036557.49,-22259139.37,-69250655.82
NETFLOW,3/12/2008,-139597015.5,139597015.5,12690637.78,-287654456.3,274963818.5
NETFLOW,3/13/2008,196957983.8,-196957983.8,-214409957.1,-39890224.58,251807042.6
NETFLOW,3/16/2008,0,0,-173244098.7,14640346.37,156163694.6
NETFLOW,3/17/2008,252438783,-252438783,-415302513.9,176435708.5,236152409.9
NETFLOW,3/18/2008,84349299.48,-84349299.48,316309873.1,10543662.44,-326853535.5
NETFLOW,3/19/2008,112347137.2,-112347137.2,-59237581.41,83749684.06,-28597453.09
NETFLOW,3/23/2008,-48580445.9,48580445.9,10410095.55,-95425875.88,85015780.33
NETFLOW,3/24/2008,97251357.01,-454967218,-207306066.6,-100302089.8,-863116364.3
NETFLOW,3/25/2008,-117883823.1,117883823.1,6549101.286,4366067.524,-10915168.81
NETFLOW,3/26/2008,-51980762.04,51980762.04,42529714.4,49618000.13,-92147714.53
NETFLOW,3/27/2008,-108905666.1,108905666.1,-98015099.49,39206039.8,60987173.02
NETFLOW,3/30/2008,-112698480.1,112698480.1,118959506.7,-122090020.1,6261026.67
NETFLOW,3/31/2008,-297696037.7,297696037.7,88206233.4,11025779.18,-99232012.58
NETFLOW,4/1/2008,-55645819.29,55645819.3,-32619963.04,-65239926.07,97859889.11
NETFLOW,4/2/2008,-138295720.1,138295720.1,40675211.8,-134228198.9,95586747.73
NETFLOW,4/3/2008,-56985562.79,56985562.79,65619738.97,-15541517.12,-50078221.84
NETFLOW,4/6/2008,-60500316.2,60500316.2,22990120.16,15730082.21,-38720202.37
NETFLOW,4/7/2008,-54209434.33,54209434.33,-24640651.97,0,24640651.97
NETFLOW,4/8/2008,-133459814,133459814,40855045.1,13618348.37,-51749723.79
NETFLOW,4/9/2008,-235267098.1,235267098.1,80335106.68,-74596884.78,0
NETFLOW,4/10/2008,34434266.92,-34434266.92,-139762612.8,16204360.9,123558251.9
NETFLOW,4/13/2008,2210939.823,-2210939.823,-97281352.21,-79593833.63,174664246
NETFLOW,4/14/2008,19083653.5,-19083653.5,-7156370.064,16698196.82,-9541826.752
NETFLOW,4/15/2008,-13803675.28,13803675.28,-71318988.96,18404900.38,52914088.58
NETFLOW,4/16/2008,-24191737.25,24191737.25,19793239.57,2199248.841,-19793239.57
NETFLOW,4/17/2008,-135157855.8,135157855.8,9385962.205,20649116.85,-28157886.62
NETFLOW,4/20/2008,-88656815.39,88656815.39,195406858.4,-92275460.91,-103131397.5
NETFLOW,4/21/2008,-120702329.4,120702329.4,120702329.4,-118786419.4,-3831819.98
NETFLOW,4/22/2008,-2412790.501,2412790.501,123052315.6,142354639.6,-265406955.1
NETFLOW,4/23/2008,99075770.54,-99075770.53,-141536815.1,11322945.2,133044606.1
NETFLOW,5/4/2008,-530958424.3,530958424.3,121223384.6,-41215950.75,-80007433.8
NETFLOW,5/5/2008,-339971628.3,339971628.3,197852341.1,16719916.15,-217358909.9
NETFLOW,5/6/2008,-1280798594,1280798594,13388138.61,-53552554.45,40164415.84
NETFLOW,5/7/2008,-137841161.2,137841161.2,-50322963.6,-91894107.44,144405026
NETFLOW,5/8/2008,37904121.5,-37904121.5,-246376789.8,46026433.25,200350356.5
NETFLOW,5/11/2008,238436949.1,-238436949.1,-200664759.1,-82626665.52,283291424.6
NETFLOW,5/12/2008,81424248.7,-81424248.7,-139947927.5,-68701709.84,208649637.3
NETFLOW,5/13/2008,-14991447.83,14991447.83,-144917329,197387396.4,-52470067.4
