Date,Time,open,high,low,close
2000-05-05,06:00:00,6.86412,6.86412,6.86412,6.86412
2000-05-08,06:00:00,6.991825,6.991825,6.991825,6.991825
2000-05-09,06:00:00,6.880083,6.880083,6.880083,6.880083
2000-05-10,06:00:00,6.86412,6.86412,6.86412,6.86412
2000-05-11,06:00:00,6.86412,6.86412,6.86412,6.86412
2000-05-12,06:00:00,6.86412,6.86412,6.86412,6.86412
2000-05-15,06:00:00,6.86412,6.86412,6.86412,6.86412
2000-05-16,06:00:00,6.592748,6.592748,6.592748,6.592748
2000-05-17,06:00:00,6.592748,6.592748,6.592748,6.592748
2000-05-18,06:00:00,6.544859,6.544859,6.544859,6.544859
2000-05-19,06:00:00,6.544859,6.544859,6.544859,6.544859
2000-05-22,06:00:00,6.385228,6.385228,6.385228,6.385228
2000-05-23,06:00:00,6.385228,6.385228,6.385228,6.385228
2000-05-24,06:00:00,6.225598,6.225598,6.225598,6.225598
2000-05-25,06:00:00,6.225598,6.225598,6.225598,6.225598
2000-05-26,06:00:00,6.305413,6.305413,6.305413,6.305413
2000-05-29,06:00:00,6.385228,6.385228,6.385228,6.385228
2000-05-30,06:00:00,6.305413,6.305413,6.305413,6.305413
2000-05-31,06:00:00,6.305413,6.305413,6.305413,6.305413
2000-06-01,06:00:00,6.225598,6.225598,6.225598,6.225598
2000-06-02,06:00:00,6.225598,6.225598,6.225598,6.225598
2000-06-05,06:00:00,6.161745,6.161745,6.161745,6.161745
2000-06-06,06:00:00,6.08193,6.08193,6.08193,6.08193
2000-06-07,06:00:00,6.08193,6.08193,6.08193,6.08193
2000-06-08,06:00:00,6.065967,6.065967,6.065967,6.065967
2000-06-09,06:00:00,5.906336,5.906336,5.906336,5.906336
2000-06-12,06:00:00,6.177708,6.177708,6.177708,6.177708
2000-06-13,06:00:00,6.177708,6.177708,6.177708,6.177708
2000-06-14,06:00:00,6.145782,6.145782,6.145782,6.145782
2000-06-15,06:00:00,6.145782,6.145782,6.145782,6.145782
2000-06-16,06:00:00,6.145782,6.145782,6.145782,6.145782
2000-06-19,06:00:00,6.034041,6.034041,6.034041,6.034041
2000-06-20,06:00:00,5.938262,5.938262,5.938262,5.938262
2000-06-21,06:00:00,5.938262,5.938262,5.938262,5.938262
2000-06-22,06:00:00,5.986152,5.986152,5.986152,5.986152
2000-06-23,06:00:00,5.986152,5.986152,5.986152,5.986152
2000-06-26,06:00:00,6.050004,6.050004,6.050004,6.050004
2000-06-27,06:00:00,5.986152,5.986152,5.986152,5.986152
2000-06-28,06:00:00,6.002114,6.002114,6.002114,6.002114
2000-06-29,06:00:00,6.002114,6.002114,6.002114,6.002114
2000-06-30,06:00:00,6.002114,6.002114,6.002114,6.002114
2000-07-03,06:00:00,5.778632,5.778632,5.778632,5.778632
