Date,Time,open,high,low,close
2017-11-22,06:00:00,5.61,5.93,5.6,5.77
2017-11-23,06:00:00,5.82,5.84,5.75,5.75
2017-11-26,06:00:00,5.76,5.79,5.67,5.78
2017-11-27,06:00:00,5.78,5.86,5.74,5.85
2017-11-28,06:00:00,5.83,5.9,5.77,5.8
2017-11-29,06:00:00,5.81,5.81,5.6,5.6
2017-12-04,06:00:00,5.65,5.65,5.6,5.63
2017-12-05,06:00:00,5.62,5.63,5.56,5.62
2017-12-06,06:00:00,5.57,5.61,5.52,5.55
2017-12-07,06:00:00,5.52,5.54,5.34,5.34
2017-12-10,06:00:00,5.36,5.4,5.31,5.35
2017-12-11,06:00:00,5.4,5.51,5.4,5.49
2017-12-12,06:00:00,5.49,5.55,5.49,5.5
2017-12-13,06:00:00,5.45,5.5,5.38,5.38
2017-12-14,06:00:00,5.38,5.4,5.3,5.3
2017-12-17,06:00:00,5.3,5.33,5.28,5.31
2017-12-18,06:00:00,5.31,5.37,5.3,5.32
2017-12-19,06:00:00,5.32,5.35,5.22,5.22
2017-12-20,06:00:00,5.21,5.21,5.13,5.15
2017-12-21,06:00:00,5.15,5.19,5.08,5.08
2017-12-24,06:00:00,5.13,5.14,5.05,5.13
2017-12-26,06:00:00,5.11,5.11,5.01,5.03
2017-12-27,06:00:00,5.09,5.09,5.0,5.02
2017-12-28,06:00:00,5.02,5.09,5.02,5.09
2018-01-03,06:00:00,5.28,5.5,5.28,5.49
2018-01-04,06:00:00,5.49,5.59,5.45,5.51
2018-01-07,06:00:00,5.52,5.56,5.43,5.51
2018-01-08,06:00:00,5.5,5.67,5.46,5.67
2018-01-09,06:00:00,5.66,5.77,5.66,5.77
2018-01-10,06:00:00,5.77,5.78,5.7,5.76
2018-01-11,06:00:00,5.75,5.76,5.72,5.73
2018-01-14,06:00:00,5.68,5.78,5.67,5.76
2018-01-15,06:00:00,5.76,5.77,5.67,5.67
2018-01-16,06:00:00,5.75,5.75,5.52,5.7
2018-01-17,06:00:00,5.58,5.65,5.58,5.65
2018-01-18,06:00:00,5.65,5.65,5.62,5.64
2018-01-21,06:00:00,5.6,5.65,5.6,5.65
2018-01-22,06:00:00,5.61,5.77,5.61,5.71
2018-01-23,06:00:00,5.75,5.75,5.65,5.67
2018-01-24,06:00:00,5.66,5.74,5.66,5.74
2018-01-25,06:00:00,5.68,5.68,5.66,5.66
2018-01-28,06:00:00,5.66,5.75,5.66,5.75
2018-01-29,06:00:00,5.74,5.77,5.72,5.77
2018-01-30,06:00:00,5.69,5.75,5.69,5.75
2018-01-31,06:00:00,5.74,5.74,5.66,5.66
2018-02-01,06:00:00,5.65,5.7,5.65,5.65
2018-02-04,06:00:00,5.65,5.65,5.6,5.61
2018-02-05,06:00:00,5.72,5.72,5.62,5.65
2018-02-06,06:00:00,5.52,5.68,5.5,5.68
2018-02-07,06:00:00,5.65,5.74,5.6,5.7
2018-02-08,06:00:00,5.71,5.71,5.66,5.7
2018-02-11,06:00:00,5.65,5.68,5.61,5.61
2018-02-12,06:00:00,5.68,5.75,5.63,5.71
2018-02-13,06:00:00,5.75,5.75,5.7,5.75
2018-02-14,06:00:00,5.75,5.75,5.67,5.69
2018-02-15,06:00:00,5.68,5.68,5.59,5.61
2018-02-18,06:00:00,5.6,5.6,5.45,5.48
2018-02-19,06:00:00,5.5,5.5,5.35,5.37
2018-02-20,06:00:00,5.34,5.36,5.31,5.31
2018-02-21,06:00:00,5.3,5.33,5.2,5.28
2018-02-22,06:00:00,5.3,5.52,5.26,5.26
2018-02-25,06:00:00,5.39,5.39,5.27,5.35
2018-02-26,06:00:00,5.34,5.35,5.3,5.3
2018-02-27,06:00:00,5.3,5.35,5.3,5.35
2018-02-28,06:00:00,5.34,5.35,5.29,5.29
2018-03-01,06:00:00,5.34,5.34,5.31,5.34
2018-03-04,06:00:00,5.34,5.34,5.34,5.34
2018-03-05,06:00:00,5.34,5.34,5.26,5.26
2018-03-06,06:00:00,5.32,5.32,5.18,5.2
2018-03-07,06:00:00,5.2,5.2,5.17,5.17
2018-03-08,06:00:00,5.18,5.19,5.16,5.16
2018-03-11,06:00:00,5.17,5.28,5.17,5.22
2018-03-12,06:00:00,5.25,5.25,5.08,5.09
2018-03-13,06:00:00,5.1,5.1,5.0,5.05
2018-03-14,06:00:00,5.08,5.08,5.0,5.03
2018-03-15,06:00:00,5.03,5.12,5.03,5.09
2018-03-18,06:00:00,5.12,5.28,5.12,5.26
2018-03-19,06:00:00,5.27,5.4,5.27,5.39
2018-03-20,06:00:00,5.35,5.35,5.35,5.35
2018-03-21,06:00:00,5.37,5.47,5.37,5.46
2018-03-22,06:00:00,5.46,5.47,5.27,5.3
2018-03-25,06:00:00,5.32,5.4,5.32,5.4
2018-03-26,06:00:00,5.4,5.4,5.35,5.4
2018-03-27,06:00:00,5.33,5.4,5.33,5.39
2018-03-28,06:00:00,5.38,5.4,5.37,5.4
2018-03-29,06:00:00,5.41,5.42,5.4,5.4
2018-04-01,06:00:00,5.4,5.4,5.4,5.4
2018-04-02,06:00:00,5.4,5.4,5.4,5.4
2018-04-03,06:00:00,5.39,5.39,5.29,5.3
2018-04-04,06:00:00,5.35,5.4,5.3,5.33
2018-04-05,06:00:00,5.38,5.38,5.27,5.38
2018-04-08,06:00:00,5.11,5.4,5.11,5.4
2018-04-09,06:00:00,5.4,5.52,5.39,5.48
2018-04-10,06:00:00,5.45,5.45,5.37,5.37
2018-04-11,06:00:00,5.38,5.45,5.38,5.4
2018-04-12,06:00:00,5.37,5.45,5.28,5.34
2018-04-15,06:00:00,5.37,5.48,5.28,5.47
2018-04-16,06:00:00,5.45,5.49,5.44,5.46
2018-04-17,06:00:00,5.48,5.5,5.45,5.49
2018-04-18,06:00:00,5.53,5.53,5.38,5.4
2018-04-19,06:00:00,5.45,5.52,5.45,5.51
2018-04-22,06:00:00,5.53,5.61,5.52,5.55
2018-04-23,06:00:00,5.58,5.58,5.51,5.56
2018-04-24,06:00:00,5.56,5.56,5.44,5.54
2018-04-25,06:00:00,5.42,5.54,5.41,5.5
2018-04-26,06:00:00,5.5,5.5,5.48,5.48
2018-04-29,06:00:00,5.55,5.55,5.49,5.5
2018-04-30,06:00:00,5.5,5.59,5.5,5.55
2018-05-01,06:00:00,5.55,5.57,5.55,5.56
2018-05-02,06:00:00,5.55,5.55,5.48,5.48
2018-05-03,06:00:00,5.48,5.48,5.46,5.48
2018-05-06,06:00:00,5.46,5.5,5.46,5.49
2018-05-07,06:00:00,5.54,5.54,5.46,5.48
2018-05-08,06:00:00,5.48,5.48,5.44,5.45
2018-05-09,06:00:00,5.43,5.43,5.3,5.35
