Date,Time,open,high,low,close
2006-05-09,06:00:00,1.037828,1.037828,1.037828,1.037828
2006-05-10,06:00:00,1.012896,1.012896,1.012896,1.012896
2006-05-11,06:00:00,0.98173,0.98173,0.98173,0.98173
2006-05-15,06:00:00,1.145351,1.145351,1.145351,1.145351
2006-05-16,06:00:00,1.090811,1.090811,1.090811,1.090811
2006-05-17,06:00:00,1.051853,1.051853,1.051853,1.051853
2006-05-18,06:00:00,1.028479,1.028479,1.028479,1.028479
2006-05-22,06:00:00,1.106394,1.106394,1.106394,1.106394
2006-05-24,06:00:00,1.090811,1.090811,1.090811,1.090811
2006-05-25,06:00:00,1.067436,1.067436,1.067436,1.067436
2006-05-30,06:00:00,1.071332,1.071332,1.071332,1.071332
2006-06-01,06:00:00,1.067436,1.067436,1.067436,1.067436
2006-06-05,06:00:00,1.075228,1.075228,1.075228,1.075228
2006-06-06,06:00:00,1.083019,1.083019,1.083019,1.083019
2006-06-07,06:00:00,1.093927,1.093927,1.093927,1.093927
2006-06-08,06:00:00,1.094706,1.094706,1.094706,1.094706
2006-06-12,06:00:00,1.083019,1.083019,1.083019,1.083019
2006-06-13,06:00:00,1.090811,1.090811,1.090811,1.090811
2006-06-14,06:00:00,1.149247,1.149247,1.149247,1.149247
2006-06-15,06:00:00,1.090811,1.090811,1.090811,1.090811
2006-06-19,06:00:00,1.083019,1.083019,1.083019,1.083019
2006-06-21,06:00:00,1.075228,1.075228,1.075228,1.075228
2006-06-22,06:00:00,1.071332,1.071332,1.071332,1.071332
2006-06-26,06:00:00,1.067436,1.067436,1.067436,1.067436
2006-06-28,06:00:00,1.012896,1.012896,1.012896,1.012896
2006-07-03,06:00:00,1.038607,1.038607,1.038607,1.038607
2006-07-04,06:00:00,1.035491,1.035491,1.035491,1.035491
2006-07-05,06:00:00,1.028479,1.028479,1.028479,1.028479
2006-07-06,06:00:00,1.03627,1.03627,1.03627,1.03627
2006-07-10,06:00:00,1.012896,1.012896,1.012896,1.012896
2006-07-11,06:00:00,1.019908,1.019908,1.019908,1.019908
2006-07-12,06:00:00,1.023025,1.023025,1.023025,1.023025
2006-07-17,06:00:00,1.006662,1.006662,1.006662,1.006662
2006-07-18,06:00:00,1.008221,1.008221,1.008221,1.008221
2006-07-19,06:00:00,0.997313,0.997313,0.997313,0.997313
2006-07-20,06:00:00,1.010558,1.010558,1.010558,1.010558
2006-07-24,06:00:00,1.001987,1.001987,1.001987,1.001987
2006-07-25,06:00:00,1.047957,1.047957,1.047957,1.047957
2006-07-27,06:00:00,1.005104,1.005104,1.005104,1.005104
2006-07-31,06:00:00,0.997313,0.997313,0.997313,0.997313
2006-08-01,06:00:00,1.016791,1.016791,1.016791,1.016791
2006-08-02,06:00:00,1.005104,1.005104,1.005104,1.005104
2006-08-03,06:00:00,1.001987,1.001987,1.001987,1.001987
2006-08-07,06:00:00,1.002767,1.002767,1.002767,1.002767
2006-08-08,06:00:00,1.012896,1.012896,1.012896,1.012896
2006-08-09,06:00:00,1.006662,1.006662,1.006662,1.006662
2006-08-10,06:00:00,1.051853,1.051853,1.051853,1.051853
2006-08-14,06:00:00,1.020687,1.020687,1.020687,1.020687
2006-08-15,06:00:00,1.012896,1.012896,1.012896,1.012896
