Date,Time,open,high,low,close
2011-07-12,06:00:00,0.985436,0.985436,0.966302,0.975869
2011-07-13,06:00:00,0.975869,0.995004,0.975869,0.985436
2011-07-14,06:00:00,0.995004,1.04284,0.985436,0.995004
2011-07-17,06:00:00,0.985436,0.985436,0.966302,0.966302
2011-07-18,06:00:00,0.966302,0.975869,0.951951,0.956734
2011-07-19,06:00:00,0.966302,0.966302,0.94334,0.953864
2011-07-20,06:00:00,0.956734,0.975869,0.951951,0.966302
2011-07-21,06:00:00,0.975869,0.975869,0.951951,0.956734
2011-07-24,06:00:00,0.956734,0.966302,0.947167,0.956734
2011-07-25,06:00:00,0.942383,0.956734,0.9376,0.947167
2011-07-26,06:00:00,0.947167,0.954821,0.932816,0.944297
2011-07-27,06:00:00,0.9376,0.94334,0.935686,0.939513
2011-07-28,06:00:00,0.935686,0.9376,0.918465,0.928032
2011-07-31,06:00:00,0.918465,0.941427,0.918465,0.9376
2011-08-01,06:00:00,0.947167,0.975869,0.947167,0.953864
2011-08-04,06:00:00,0.925162,0.932816,0.924205,0.928032
2011-08-07,06:00:00,0.871585,0.871585,0.835229,0.835229
2011-08-08,06:00:00,0.835229,0.865845,0.813224,0.828532
2011-08-09,06:00:00,0.784522,0.79409,0.751993,0.779739
2011-08-10,06:00:00,0.79983,0.813224,0.784522,0.784522
2011-08-11,06:00:00,0.765388,0.806527,0.751037,0.800787
2011-08-14,06:00:00,0.822792,0.822792,0.765388,0.788349
2011-08-15,06:00:00,0.791219,0.791219,0.773041,0.773041
2011-08-16,06:00:00,0.779739,0.779739,0.770171,0.770171
2011-08-17,06:00:00,0.761561,0.765388,0.760604,0.765388
2011-08-22,06:00:00,0.773041,0.773041,0.75295,0.75582
2011-08-23,06:00:00,0.751037,0.762517,0.751037,0.751037
2011-08-24,06:00:00,0.760604,0.761561,0.738599,0.746253
2011-08-25,06:00:00,0.739556,0.754863,0.739556,0.74721
2011-08-28,06:00:00,0.756777,0.756777,0.74721,0.756777
2011-08-29,06:00:00,0.756777,0.761561,0.75582,0.760604
2011-09-04,06:00:00,0.765388,0.774955,0.759647,0.765388
2011-09-05,06:00:00,0.761561,0.765388,0.760604,0.760604
2011-09-06,06:00:00,0.75582,0.765388,0.75582,0.760604
2011-09-07,06:00:00,0.765388,0.776868,0.765388,0.766344
2011-09-11,06:00:00,0.761561,0.770171,0.760604,0.763474
2011-09-12,06:00:00,0.751037,0.75582,0.741469,0.746253
2011-09-13,06:00:00,0.729032,0.765388,0.729032,0.736685
2011-09-14,06:00:00,0.751037,0.751037,0.739556,0.739556
2011-09-15,06:00:00,0.738599,0.745296,0.736685,0.745296
2011-09-18,06:00:00,0.754863,0.763474,0.74721,0.74721
2011-09-19,06:00:00,0.741469,0.741469,0.728075,0.728075
2011-09-20,06:00:00,0.741469,0.741469,0.717551,0.736685
2011-09-21,06:00:00,0.727118,0.735729,0.723291,0.735729
2011-09-22,06:00:00,0.718507,0.731902,0.717551,0.717551
2011-09-25,06:00:00,0.70894,0.70894,0.692676,0.707983
2011-09-26,06:00:00,0.688849,0.693632,0.683108,0.685022
2011-09-27,06:00:00,0.696503,0.698416,0.669714,0.677368
2011-09-28,06:00:00,0.669714,0.669714,0.626661,0.635272
2011-09-29,06:00:00,0.631445,0.631445,0.604656,0.617094
2011-10-02,06:00:00,0.602743,0.621877,0.602743,0.61231
2011-10-03,06:00:00,0.602743,0.602743,0.583608,0.600829
2011-10-04,06:00:00,0.579781,0.581694,0.554906,0.574041
2011-10-05,06:00:00,0.577868,0.582651,0.56543,0.56543
2011-10-06,06:00:00,0.578824,0.607526,0.578824,0.607526
2011-10-09,06:00:00,0.607526,0.617094,0.598916,0.598916
2011-10-10,06:00:00,0.602743,0.631445,0.602743,0.61518
2011-10-11,06:00:00,0.626661,0.639099,0.61231,0.614223
2011-10-12,06:00:00,0.613267,0.617094,0.603699,0.603699
2011-10-13,06:00:00,0.617094,0.625704,0.613267,0.621877
2011-10-16,06:00:00,0.621877,0.621877,0.589348,0.594132
2011-10-17,06:00:00,0.593175,0.602743,0.583608,0.598916
2011-10-19,06:00:00,0.583608,0.601786,0.580738,0.595089
2011-10-20,06:00:00,0.590305,0.599872,0.590305,0.597002
2011-10-23,06:00:00,0.597959,0.60657,0.590305,0.592219
2011-10-24,06:00:00,0.591262,0.591262,0.588392,0.589348
2011-10-25,06:00:00,0.586478,0.599872,0.586478,0.594132
2011-10-26,06:00:00,0.593175,0.597002,0.590305,0.590305
2011-10-27,06:00:00,0.590305,0.616137,0.589348,0.61231
2011-10-30,06:00:00,0.620921,0.636228,0.620921,0.636228
2011-10-31,06:00:00,0.623791,0.648666,0.622834,0.638142
2011-11-01,06:00:00,0.639099,0.639099,0.614223,0.622834
2011-11-02,06:00:00,0.626661,0.630488,0.61805,0.629531
2011-11-03,06:00:00,0.629531,0.629531,0.629531,0.629531
2011-11-09,06:00:00,0.650579,0.650579,0.631445,0.639099
2011-11-10,06:00:00,0.621877,0.626661,0.61231,0.626661
2011-11-13,06:00:00,0.638142,0.638142,0.623791,0.627618
2011-11-14,06:00:00,0.622834,0.630488,0.622834,0.630488
2011-11-15,06:00:00,0.61518,0.621877,0.61518,0.61805
2011-11-16,06:00:00,0.613267,0.619964,0.613267,0.619964
2011-11-17,06:00:00,0.61805,0.619007,0.61231,0.61231
2011-11-20,06:00:00,0.595089,0.633358,0.593175,0.593175
2011-11-21,06:00:00,0.587435,0.587435,0.574041,0.574997
2011-11-22,06:00:00,0.570214,0.582651,0.569257,0.575954
2011-11-23,06:00:00,0.573084,0.577868,0.569257,0.572127
2011-11-24,06:00:00,0.569257,0.578824,0.569257,0.574041
2011-11-27,06:00:00,0.574041,0.574997,0.570214,0.574997
2011-11-28,06:00:00,0.575954,0.591262,0.574997,0.591262
2011-11-29,06:00:00,0.588392,0.597959,0.581694,0.592219
2011-11-30,06:00:00,0.580738,0.592219,0.580738,0.585521
2011-12-04,06:00:00,0.624748,0.624748,0.598916,0.599872
2011-12-05,06:00:00,0.602743,0.602743,0.592219,0.592219
2011-12-06,06:00:00,0.580738,0.595089,0.580738,0.584565
2011-12-07,06:00:00,0.587435,0.588392,0.584565,0.584565
2011-12-08,06:00:00,0.583608,0.585521,0.583608,0.583608
2011-12-11,06:00:00,0.592219,0.592219,0.584565,0.588392
2011-12-12,06:00:00,0.583608,0.587435,0.574997,0.578824
2011-12-13,06:00:00,0.574997,0.581694,0.574041,0.577868
2011-12-14,06:00:00,0.575954,0.577868,0.574041,0.574041
2011-12-15,06:00:00,0.556819,0.564473,0.556819,0.564473
2011-12-18,06:00:00,0.55969,0.564473,0.55969,0.564473
2011-12-19,06:00:00,0.555863,0.557776,0.548209,0.548209
2011-12-20,06:00:00,0.554906,0.554906,0.513766,0.534815
2011-12-21,06:00:00,0.527161,0.527161,0.504199,0.52142
2011-12-22,06:00:00,0.499415,0.522377,0.499415,0.507069
2011-12-25,06:00:00,0.508026,0.51568,0.487935,0.495588
2011-12-27,06:00:00,0.4688,0.478367,0.4688,0.470713
2011-12-28,06:00:00,0.459232,0.478367,0.458276,0.473584
2011-12-29,06:00:00,0.481237,0.487935,0.4688,0.47454
2012-01-03,06:00:00,0.478367,0.481237,0.46593,0.480281
2012-01-04,06:00:00,0.464973,0.473584,0.464016,0.4688
2012-01-05,06:00:00,0.473584,0.473584,0.449665,0.46593
2012-01-08,06:00:00,0.464973,0.464973,0.449665,0.459232
2012-01-09,06:00:00,0.460189,0.460189,0.441055,0.453492
2012-01-10,06:00:00,0.441055,0.459232,0.440098,0.454449
2012-01-11,06:00:00,0.442011,0.449665,0.436271,0.440098
2012-01-12,06:00:00,0.440098,0.447752,0.43053,0.438184
2012-01-15,06:00:00,0.420963,0.434357,0.402785,0.402785
2012-01-16,06:00:00,0.396088,0.404699,0.369299,0.386521
2012-01-17,06:00:00,0.382694,0.406612,0.37504,0.406612
2012-01-18,06:00:00,0.411396,0.443925,0.411396,0.442011
2012-01-19,06:00:00,0.440098,0.440098,0.420963,0.43053
2012-01-23,06:00:00,0.438184,0.457319,0.438184,0.456362
2012-01-24,06:00:00,0.459232,0.487935,0.455406,0.479324
2012-01-25,06:00:00,0.479324,0.493675,0.47454,0.478367
2012-01-26,06:00:00,0.491761,0.492718,0.476454,0.492718
2012-01-29,06:00:00,0.492718,0.496545,0.469757,0.469757
2012-01-30,06:00:00,0.483151,0.52429,0.483151,0.519507
2012-02-01,06:00:00,0.526204,0.554906,0.51281,0.516637
2012-02-02,06:00:00,0.526204,0.526204,0.507069,0.52142
2012-02-05,06:00:00,0.52429,0.526204,0.513766,0.52429
2012-02-06,06:00:00,0.525247,0.541512,0.52142,0.526204
2012-02-07,06:00:00,0.519507,0.526204,0.516637,0.516637
2012-02-08,06:00:00,0.516637,0.516637,0.507069,0.516637
2012-02-09,06:00:00,0.516637,0.55969,0.516637,0.549166
2012-02-12,06:00:00,0.554906,0.577868,0.543425,0.569257
2012-02-13,06:00:00,0.576911,0.626661,0.576911,0.626661
2012-02-14,06:00:00,0.632401,0.655363,0.613267,0.638142
2012-02-15,06:00:00,0.649623,0.650579,0.602743,0.61231
2012-02-16,06:00:00,0.607526,0.681195,0.607526,0.681195
2012-02-19,06:00:00,0.698416,0.738599,0.698416,0.716594
2012-02-20,06:00:00,0.728075,0.736685,0.707983,0.709897
2012-02-21,06:00:00,0.717551,0.75869,0.690762,0.75869
2012-02-22,06:00:00,0.774955,0.871585,0.760604,0.871585
2012-02-23,06:00:00,0.906984,0.956734,0.89933,0.928032
2012-02-26,06:00:00,0.929946,1.04284,0.929946,1.033273
2012-02-27,06:00:00,1.023706,1.08111,0.985436,1.04284
2012-02-28,06:00:00,1.052408,1.195918,1.052408,1.176783
2012-02-29,06:00:00,1.215053,1.348995,1.215053,1.348995
2012-03-01,06:00:00,1.482938,1.54991,1.358563,1.54991
2012-03-04,06:00:00,1.616881,1.779526,1.607314,1.779526
2012-03-05,06:00:00,1.875199,2.037844,1.875199,2.037844
2012-03-06,06:00:00,2.143085,2.257893,1.83693,1.894334
2012-03-07,06:00:00,1.865632,1.875199,1.712555,1.712555
2012-03-08,06:00:00,1.69342,1.712555,1.54991,1.54991
2012-03-11,06:00:00,1.559477,1.645583,1.396832,1.607314
2012-03-12,06:00:00,1.636016,1.664718,1.454236,1.454236
2012-03-13,06:00:00,1.463804,1.502073,1.396832,1.463804
2012-03-14,06:00:00,1.530775,1.54991,1.425534,1.425534
2012-03-15,06:00:00,1.435102,1.463804,1.301159,1.377698
2012-03-18,06:00:00,1.377698,1.4064,1.310726,1.339428
2012-03-19,06:00:00,1.339428,1.492506,1.310726,1.463804
2012-03-20,06:00:00,1.482938,1.51164,1.425534,1.444669
2012-03-21,06:00:00,1.444669,1.473371,1.415967,1.473371
2012-03-22,06:00:00,1.492506,1.636016,1.492506,1.597746
2012-03-25,06:00:00,1.645583,1.664718,1.482938,1.482938
2012-03-26,06:00:00,1.502073,1.540342,1.482938,1.51164
2012-03-27,06:00:00,1.482938,1.492506,1.387265,1.396832
2012-03-28,06:00:00,1.415967,1.492506,1.415967,1.492506
2012-03-29,06:00:00,1.492506,1.51164,1.473371,1.492506
2012-04-01,06:00:00,1.521208,1.559477,1.51164,1.530775
2012-04-02,06:00:00,1.540342,1.540342,1.482938,1.492506
2012-04-03,06:00:00,1.51164,1.54991,1.482938,1.521208
2012-04-04,06:00:00,1.530775,1.530775,1.454236,1.463804
2012-04-05,06:00:00,1.320293,1.387265,1.320293,1.348995
2012-04-08,06:00:00,1.348995,1.36813,1.320293,1.339428
2012-04-09,06:00:00,1.339428,1.339428,1.291591,1.329861
2012-04-10,06:00:00,1.310726,1.348995,1.301159,1.310726
2012-04-11,06:00:00,1.291591,1.310726,1.262889,1.272457
2012-04-12,06:00:00,1.310726,1.310726,1.272457,1.282024
2012-04-15,06:00:00,1.272457,1.310726,1.22462,1.234187
2012-04-16,06:00:00,1.234187,1.234187,1.148081,1.186351
2012-04-17,06:00:00,1.186351,1.205485,1.119379,1.157649
2012-04-18,06:00:00,1.167216,1.186351,1.100245,1.128946
2012-04-19,06:00:00,1.109812,1.138514,1.033273,1.100245
2012-04-22,06:00:00,1.128946,1.148081,1.119379,1.128946
2012-04-23,06:00:00,1.128946,1.128946,1.071542,1.090677
2012-04-24,06:00:00,1.090677,1.253322,1.052408,1.253322
2012-04-25,06:00:00,1.291591,1.415967,1.272457,1.377698
2012-04-26,06:00:00,1.387265,1.4064,1.301159,1.320293
2012-04-29,06:00:00,1.348995,1.358563,1.22462,1.234187
2012-05-01,06:00:00,1.22462,1.282024,1.195918,1.243755
2012-05-02,06:00:00,1.262889,1.329861,1.253322,1.291591
2012-05-03,06:00:00,1.301159,1.310726,1.262889,1.291591
2012-05-06,06:00:00,1.262889,1.262889,1.167216,1.205485
2012-05-07,06:00:00,1.167216,1.262889,1.148081,1.253322
2012-05-08,06:00:00,1.243755,1.291591,1.215053,1.234187
2012-05-09,06:00:00,1.234187,1.243755,1.176783,1.186351
2012-05-10,06:00:00,1.186351,1.215053,1.157649,1.195918
2012-05-13,06:00:00,1.205485,1.205485,1.157649,1.186351
2012-05-14,06:00:00,1.186351,1.22462,1.148081,1.167216
2012-05-15,06:00:00,1.148081,1.186351,1.148081,1.176783
2012-05-16,06:00:00,1.148081,1.167216,1.109812,1.138514
2012-05-17,06:00:00,1.148081,1.176783,1.148081,1.176783
2012-05-20,06:00:00,1.138514,1.167216,1.128946,1.167216
2012-05-21,06:00:00,1.167216,1.243755,1.167216,1.22462
2012-05-22,06:00:00,1.234187,1.253322,1.195918,1.205485
2012-05-23,06:00:00,1.186351,1.195918,1.176783,1.176783
2012-05-24,06:00:00,1.186351,1.205485,1.176783,1.195918
2012-05-27,06:00:00,1.195918,1.195918,1.176783,1.176783
2012-05-28,06:00:00,1.195918,1.195918,1.148081,1.148081
2012-05-29,06:00:00,1.157649,1.176783,1.157649,1.167216
2012-05-30,06:00:00,1.167216,1.186351,1.148081,1.157649
2012-05-31,06:00:00,1.148081,1.157649,1.138514,1.148081
2012-06-03,06:00:00,1.119379,1.128946,1.090677,1.119379
2012-06-04,06:00:00,1.109812,1.128946,1.090677,1.109812
2012-06-05,06:00:00,1.109812,1.138514,1.109812,1.119379
2012-06-06,06:00:00,1.119379,1.128946,1.109812,1.119379
2012-06-07,06:00:00,1.128946,1.167216,1.128946,1.148081
2012-06-10,06:00:00,1.148081,1.167216,1.138514,1.167216
2012-06-11,06:00:00,1.176783,1.243755,1.176783,1.234187
2012-06-12,06:00:00,1.215053,1.234187,1.195918,1.215053
2012-06-13,06:00:00,1.22462,1.243755,1.195918,1.205485
2012-06-14,06:00:00,1.195918,1.205485,1.176783,1.176783
2012-06-18,06:00:00,1.205485,1.215053,1.186351,1.186351
2012-06-19,06:00:00,1.186351,1.195918,1.176783,1.186351
2012-06-20,06:00:00,1.195918,1.205485,1.167216,1.167216
