Date,Time,open,high,low,close
2011-07-24,06:00:00,0.612424,0.629797,0.609818,0.609818
2011-07-25,06:00:00,0.616767,0.616767,0.590706,0.598525
2011-07-26,06:00:00,0.601131,0.615898,0.591575,0.603737
2011-07-27,06:00:00,0.590706,0.60808,0.590706,0.60808
2011-07-28,06:00:00,0.57507,0.598525,0.57507,0.590706
2011-07-31,06:00:00,0.574201,0.602868,0.574201,0.598525
2011-08-01,06:00:00,0.604605,0.607212,0.603737,0.603737
2011-08-04,06:00:00,0.594181,0.60808,0.594181,0.607212
2011-08-07,06:00:00,0.555959,0.581151,0.553353,0.55509
2011-08-08,06:00:00,0.565515,0.576807,0.547272,0.547272
2011-08-09,06:00:00,0.52208,0.538585,0.512525,0.52903
2011-08-10,06:00:00,0.564646,0.564646,0.538585,0.560302
2011-08-11,06:00:00,0.521212,0.529898,0.504707,0.529898
2011-08-14,06:00:00,0.552484,0.552484,0.52208,0.52208
2011-08-15,06:00:00,0.529898,0.529898,0.529898,0.529898
2011-08-16,06:00:00,0.529898,0.543797,0.521212,0.543797
2011-08-17,06:00:00,0.521212,0.52208,0.521212,0.52208
2011-08-22,06:00:00,0.533373,0.533373,0.521212,0.524686
2011-08-23,06:00:00,0.525555,0.525555,0.525555,0.525555
2011-08-24,06:00:00,0.52208,0.536848,0.506444,0.533373
2011-08-25,06:00:00,0.521212,0.532505,0.521212,0.531636
2011-08-29,06:00:00,0.529898,0.564646,0.529898,0.564646
2011-09-04,06:00:00,0.563777,0.564646,0.525555,0.545535
2011-09-05,06:00:00,0.531636,0.546404,0.529898,0.531636
2011-09-06,06:00:00,0.530767,0.547272,0.530767,0.544666
2011-09-07,06:00:00,0.539454,0.545535,0.535111,0.545535
2011-09-11,06:00:00,0.582888,0.654989,0.579414,0.622848
2011-09-12,06:00:00,0.623717,0.642828,0.616767,0.625454
2011-09-13,06:00:00,0.629797,0.637616,0.613292,0.626323
2011-09-14,06:00:00,0.617636,0.6741,0.612424,0.668888
2011-09-15,06:00:00,0.669757,0.681919,0.642828,0.667151
2011-09-18,06:00:00,0.652383,0.683656,0.651514,0.676706
2011-09-19,06:00:00,0.669757,0.685393,0.665413,0.668888
2011-10-05,06:00:00,0.534242,0.543797,0.529898,0.543797
2011-10-06,06:00:00,0.538585,0.546404,0.530767,0.542929
2011-10-09,06:00:00,0.545535,0.590706,0.538585,0.565515
2011-10-10,06:00:00,0.565515,0.58202,0.560302,0.560302
2011-10-11,06:00:00,0.58202,0.58202,0.55509,0.55509
2011-10-12,06:00:00,0.568121,0.568989,0.551616,0.564646
2011-10-13,06:00:00,0.551616,0.562909,0.547272,0.548141
2011-10-16,06:00:00,0.562909,0.563777,0.541191,0.541191
2011-10-17,06:00:00,0.531636,0.54206,0.528161,0.54206
2011-10-19,06:00:00,0.542929,0.542929,0.52903,0.542929
2011-10-20,06:00:00,0.547272,0.547272,0.529898,0.530767
2011-10-23,06:00:00,0.542929,0.542929,0.528161,0.542929
2011-10-24,06:00:00,0.526424,0.542929,0.524686,0.538585
2011-10-25,06:00:00,0.522949,0.541191,0.521212,0.541191
2011-10-26,06:00:00,0.538585,0.546404,0.538585,0.545535
2011-10-27,06:00:00,0.538585,0.563777,0.538585,0.563777
2011-10-30,06:00:00,0.573333,0.573333,0.552484,0.568121
2011-10-31,06:00:00,0.555959,0.573333,0.540323,0.560302
2011-11-01,06:00:00,0.555959,0.558565,0.538585,0.538585
2011-11-02,06:00:00,0.54206,0.55509,0.54206,0.547272
2011-11-03,06:00:00,0.536848,0.550747,0.535111,0.550747
2011-11-09,06:00:00,0.552484,0.552484,0.552484,0.552484
2011-11-10,06:00:00,0.553353,0.553353,0.52903,0.549878
