Date,Time,open,high,low,close
2007-07-02,06:00:00,1617.0,1630.0,1600.0,1619.0
2007-07-03,06:00:00,1600.0,1600.0,1600.0,1600.0
2007-07-04,06:00:00,1600.0,1620.0,1600.0,1602.0
2007-07-05,06:00:00,1602.0,1620.0,1602.0,1620.0
2007-07-09,06:00:00,1600.0,1600.0,1600.0,1600.0
2007-07-11,06:00:00,1600.0,1600.0,1570.0,1599.0
2007-07-12,06:00:00,1599.0,1600.0,1599.0,1600.0
2007-07-16,06:00:00,1600.0,1601.0,1600.0,1601.0
2007-07-17,06:00:00,1601.0,1620.0,1590.0,1603.0
2007-07-18,06:00:00,1603.0,1604.0,1603.0,1603.0
2007-07-19,06:00:00,1603.0,1605.0,1603.0,1605.0
2007-07-23,06:00:00,1624.0,1624.0,1610.0,1610.0
2007-07-25,06:00:00,1610.0,1610.0,1610.0,1610.0
2007-07-26,06:00:00,1610.0,1610.0,1600.0,1601.0
2007-07-30,06:00:00,1581.0,1600.0,1581.0,1600.0
2007-07-31,06:00:00,1570.0,1609.0,1570.0,1577.0
2007-08-01,06:00:00,1577.0,1577.0,1550.0,1550.0
2007-08-02,06:00:00,1550.0,1575.0,1550.0,1575.0
2007-08-06,06:00:00,1531.0,1600.0,1531.0,1584.0
2007-08-07,06:00:00,1584.0,1590.0,1584.0,1590.0
2007-08-08,06:00:00,1590.0,1600.0,1580.0,1587.0
2007-08-09,06:00:00,1587.0,1600.0,1570.0,1589.0
2007-08-13,06:00:00,1570.0,1600.0,1570.0,1600.0
2007-08-16,06:00:00,1600.0,1600.0,1570.0,1570.0
2007-08-20,06:00:00,1575.0,1600.0,1555.0,1573.0
2007-08-21,06:00:00,1573.0,1599.0,1573.0,1599.0
2007-08-22,06:00:00,1599.0,1599.0,1550.0,1575.0
2007-08-23,06:00:00,1575.0,1585.0,1560.0,1570.0
2007-08-27,06:00:00,1555.0,1555.0,1555.0,1555.0
2007-08-28,06:00:00,1555.0,1574.0,1555.0,1574.0
2007-08-29,06:00:00,1599.0,1599.0,1599.0,1599.0
2007-08-30,06:00:00,1599.0,1600.0,1599.0,1600.0
2007-09-03,06:00:00,1575.0,1575.0,1575.0,1575.0
2007-09-10,06:00:00,1562.0,1564.0,1540.0,1557.0
2007-09-11,06:00:00,1557.0,1565.0,1550.0,1556.0
2007-09-17,07:00:00,1557.0,1557.0,1525.0,1541.0
2007-09-18,07:00:00,1541.0,1544.0,1525.0,1536.0
2007-09-19,07:00:00,1570.0,1575.0,1545.0,1569.0
2007-09-20,07:00:00,1569.0,1587.0,1569.0,1587.0
2007-09-24,07:00:00,1581.0,1595.0,1581.0,1595.0
2007-09-25,07:00:00,1595.0,1595.0,1595.0,1595.0
2007-10-02,07:00:00,1625.0,1645.0,1625.0,1628.0
2007-10-08,07:00:00,1635.0,1655.0,1635.0,1655.0
2007-10-09,07:00:00,1655.0,1720.0,1655.0,1709.0
2007-10-10,07:00:00,1709.0,1730.0,1709.0,1725.0
2007-10-11,07:00:00,1725.0,1750.0,1725.0,1745.0
2007-10-15,07:00:00,1675.0,1720.0,1675.0,1708.0
2007-10-16,07:00:00,1708.0,1708.0,1700.0,1700.0
2007-10-17,07:00:00,1700.0,1725.0,1700.0,1718.0
2007-10-18,07:00:00,1718.0,1718.0,1700.0,1715.0
2007-10-23,07:00:00,1700.0,1701.0,1699.0,1701.0
2007-10-25,07:00:00,1701.0,1701.0,1680.0,1680.0
2007-10-30,07:00:00,1680.0,1680.0,1680.0,1680.0
2007-10-31,07:00:00,1680.0,1680.0,1650.0,1675.0
2007-11-01,07:00:00,1675.0,1690.0,1650.0,1654.0
2007-11-05,07:00:00,1667.0,1680.0,1640.0,1670.0
2007-11-06,07:00:00,1670.0,1675.0,1670.0,1675.0
2007-11-07,07:00:00,1675.0,1690.0,1675.0,1690.0
2007-11-08,07:00:00,1690.0,1700.0,1690.0,1700.0
2007-11-13,07:00:00,1700.0,1710.0,1700.0,1705.0
2007-11-14,07:00:00,1705.0,1705.0,1705.0,1705.0
2007-11-19,07:00:00,1690.0,1690.0,1670.0,1670.0
2007-11-21,07:00:00,1670.0,1690.0,1635.0,1674.0
2007-11-22,07:00:00,1670.0,1670.0,1601.0,1625.0
2007-11-26,07:00:00,1624.0,1705.0,1600.0,1636.0
2007-11-27,07:00:00,1636.0,1645.0,1620.0,1635.0
2007-11-28,07:00:00,1635.0,1660.0,1635.0,1659.0
2007-12-03,07:00:00,1665.0,1700.0,1650.0,1669.0
2007-12-04,07:00:00,1669.0,1669.0,1669.0,1669.0
2007-12-05,07:00:00,1669.0,1690.0,1650.0,1666.0
2007-12-06,07:00:00,1666.0,1685.0,1640.0,1666.0
2007-12-10,07:00:00,1672.0,1705.0,1605.0,1687.0
2007-12-11,07:00:00,1710.0,1730.0,1700.0,1723.0
2007-12-12,07:00:00,1723.0,1729.0,1705.0,1714.0
2007-12-13,07:00:00,1714.0,1714.0,1714.0,1714.0
2007-12-17,07:00:00,1713.0,1713.0,1670.0,1699.0
2007-12-18,07:00:00,1680.0,1710.0,1670.0,1694.0
2007-12-19,07:00:00,1736.0,1736.0,1680.0,1709.0
2007-12-20,07:00:00,1728.0,1728.0,1640.0,1701.0
2007-12-24,07:00:00,1699.0,1715.0,1650.0,1686.0
2007-12-25,07:00:00,1686.0,1686.0,1674.0,1678.0
2007-12-26,07:00:00,1678.0,1678.0,1650.0,1650.0
2007-12-27,07:00:00,1620.0,1620.0,1620.0,1620.0
2007-12-31,07:00:00,1507.0,1540.0,1500.0,1504.0
2008-01-01,07:00:00,1504.0,1520.0,1504.0,1511.0
2008-01-02,07:00:00,1511.0,1525.0,1511.0,1525.0
