Date,Time,open,high,low,close
2014-11-30,06:00:00,0.8,0.99,0.79,0.88
2014-12-01,06:00:00,0.861,0.98,0.853,0.98
2014-12-04,06:00:00,0.99,1.01,0.963,0.965
2014-12-07,06:00:00,0.95,0.97,0.93,0.935
2014-12-08,06:00:00,0.93,0.93,0.888,0.928
2014-12-09,06:00:00,0.924,0.924,0.86,0.907
2014-12-10,06:00:00,0.899,0.96,0.87,0.88
2014-12-11,06:00:00,0.875,0.875,0.836,0.84
2014-12-14,06:00:00,0.83,0.836,0.771,0.79
2014-12-15,06:00:00,0.845,0.885,0.805,0.85
2014-12-16,06:00:00,0.81,0.83,0.765,0.767
2014-12-17,06:00:00,0.75,0.795,0.75,0.761
2014-12-18,06:00:00,0.809,0.866,0.809,0.831
2014-12-21,06:00:00,0.869,0.869,0.832,0.859
2014-12-22,06:00:00,0.862,0.862,0.84,0.85
2014-12-23,06:00:00,0.85,0.85,0.83,0.84
2014-12-24,06:00:00,0.841,0.845,0.827,0.839
2014-12-28,06:00:00,0.835,0.869,0.83,0.832
2014-12-29,06:00:00,0.827,0.842,0.822,0.835
2014-12-30,06:00:00,0.83,0.835,0.79,0.82
2014-12-31,06:00:00,0.82,0.826,0.817,0.817
2015-01-04,06:00:00,0.826,0.83,0.792,0.792
2015-01-05,06:00:00,0.785,0.835,0.77,0.835
2015-01-06,06:00:00,0.77,0.8,0.761,0.78
2015-01-07,06:00:00,0.78,0.802,0.754,0.802
2015-01-08,06:00:00,0.81,0.82,0.79,0.799
2015-01-11,06:00:00,0.78,0.8,0.78,0.8
2015-01-12,06:00:00,0.805,0.828,0.79,0.828
2015-01-13,06:00:00,0.787,0.807,0.785,0.807
2015-01-14,06:00:00,0.81,0.81,0.796,0.796
2015-01-15,06:00:00,0.8,0.816,0.785,0.79
2015-01-18,06:00:00,0.826,0.826,0.792,0.8
2015-01-19,06:00:00,0.809,0.809,0.787,0.795
2015-01-20,06:00:00,0.79,0.8,0.79,0.8
2015-01-21,06:00:00,0.795,0.795,0.78,0.78
2015-01-22,06:00:00,0.798,0.799,0.786,0.799
2015-01-25,06:00:00,0.799,0.799,0.799,0.799
2015-01-26,06:00:00,0.795,0.795,0.77,0.792
2015-01-27,06:00:00,0.78,0.795,0.771,0.795
2015-01-28,06:00:00,0.785,0.797,0.785,0.797
2015-01-29,06:00:00,0.785,0.798,0.77,0.798
2015-02-01,06:00:00,0.79,0.805,0.79,0.805
2015-02-02,06:00:00,0.79,0.8,0.789,0.8
2015-02-03,06:00:00,0.802,0.81,0.8,0.8
