Date,Time,open,high,low,close
2008-08-05,06:00:00,5.908955,5.908955,5.908955,5.908955
2008-08-06,06:00:00,6.332338,6.332338,6.332338,6.332338
2008-08-07,06:00:00,6.54403,6.54403,6.54403,6.54403
2008-08-11,06:00:00,6.037811,6.037811,6.037811,6.037811
2008-08-12,06:00:00,5.982587,5.982587,5.982587,5.982587
2008-08-13,06:00:00,6.194279,6.194279,6.194279,6.194279
2008-08-14,06:00:00,6.240299,6.240299,6.240299,6.240299
2008-08-18,06:00:00,5.881343,5.881343,5.881343,5.881343
2008-08-20,06:00:00,5.568408,5.568408,5.568408,5.568408
2008-08-21,06:00:00,5.384328,5.384328,5.384328,5.384328
2008-08-25,06:00:00,5.016169,5.016169,5.016169,5.016169
2008-08-26,06:00:00,4.83209,4.83209,4.83209,4.83209
2008-08-27,06:00:00,4.850497,4.850497,4.850497,4.850497
2008-08-28,06:00:00,4.795274,4.795274,4.795274,4.795274
2008-09-01,06:00:00,4.60199,4.60199,4.60199,4.60199
2008-09-02,06:00:00,4.721642,4.721642,4.721642,4.721642
2008-09-03,06:00:00,4.730846,4.730846,4.730846,4.730846
2008-09-04,06:00:00,4.528358,4.528358,4.528358,4.528358
2008-09-08,06:00:00,4.233831,4.233831,4.233831,4.233831
2008-09-09,06:00:00,4.83209,4.83209,4.83209,4.83209
2008-09-10,06:00:00,4.675622,4.675622,4.675622,4.675622
2008-09-11,06:00:00,4.60199,4.60199,4.60199,4.60199
2008-09-15,06:00:00,4.123383,4.123383,4.123383,4.123383
2008-09-16,06:00:00,3.874876,3.874876,3.874876,3.874876
2008-09-17,06:00:00,3.939304,3.939304,3.939304,3.939304
2008-09-18,06:00:00,3.819652,3.819652,3.819652,3.819652
2008-09-22,06:00:00,4.141791,4.141791,4.141791,4.141791
2008-09-23,06:00:00,4.233831,4.233831,4.233831,4.233831
2008-09-24,06:00:00,4.003731,4.003731,4.003731,4.003731
2008-09-25,06:00:00,4.086567,4.086567,4.086567,4.086567
2008-09-29,06:00:00,4.022139,4.022139,4.022139,4.022139
2008-10-06,06:00:00,3.074129,3.074129,3.074129,3.074129
2008-10-07,06:00:00,2.761194,2.761194,2.761194,2.761194
2008-10-09,06:00:00,2.439055,2.439055,2.439055,2.439055
2008-10-13,06:00:00,2.540298,2.540298,2.540298,2.540298
2008-10-14,06:00:00,2.917662,2.917662,2.917662,2.917662
2008-10-15,06:00:00,2.632338,2.632338,2.632338,2.632338
2008-10-16,06:00:00,2.374627,2.374627,2.374627,2.374627
2008-10-20,06:00:00,2.485075,2.485075,2.485075,2.485075
2008-10-21,06:00:00,2.439055,2.439055,2.439055,2.439055
2008-10-22,06:00:00,2.393035,2.393035,2.393035,2.393035
2008-10-23,06:00:00,2.521891,2.521891,2.521891,2.521891
2008-10-27,06:00:00,2.116915,2.172139,2.116915,2.116915
2008-10-28,06:00:00,1.94204,2.024876,1.932836,2.024876
2008-10-29,06:00:00,2.024876,2.162935,1.960448,1.969652
2008-10-30,06:00:00,1.978856,2.024876,1.868408,2.024876
2008-11-03,06:00:00,2.070896,2.300995,2.070896,2.199751
2008-11-04,06:00:00,2.199751,2.521891,2.199751,2.485075
2008-11-05,06:00:00,2.641542,2.853234,2.448259,2.669154
2008-11-06,06:00:00,2.540298,2.862438,2.457463,2.70597
2008-11-10,06:00:00,2.457463,2.485075,2.199751,2.282587
2008-11-11,06:00:00,2.061692,2.264179,2.061692,2.264179
2008-11-12,06:00:00,2.061692,2.061692,2.043284,2.043284
2008-11-13,06:00:00,2.024876,2.024876,1.840796,1.840796
2008-11-17,06:00:00,1.647512,1.886816,1.491045,1.840796
2008-11-18,06:00:00,1.66592,1.868408,1.656716,1.656716
2008-11-19,06:00:00,1.527861,1.66592,1.509453,1.564677
2008-11-20,06:00:00,1.417413,1.583085,1.408209,1.472637
2008-11-24,06:00:00,1.224129,1.270149,1.205721,1.205721
2008-11-25,06:00:00,1.159701,1.316169,1.141294,1.279353
2008-11-26,06:00:00,1.159701,1.325373,1.159701,1.178109
2008-11-27,06:00:00,1.150498,1.306965,1.150498,1.306965
2008-12-01,06:00:00,1.334577,1.380597,1.187313,1.352985
2008-12-11,06:00:00,1.288557,1.445025,1.242537,1.445025
2008-12-15,06:00:00,1.334577,1.334577,1.178109,1.288557
2008-12-16,06:00:00,1.178109,1.316169,1.178109,1.224129
2008-12-17,06:00:00,1.279353,1.279353,1.13209,1.178109
2008-12-18,06:00:00,1.141294,1.260945,1.141294,1.150498
2008-12-22,06:00:00,1.012438,1.012438,0.94801,0.94801
2008-12-23,06:00:00,0.938806,1.08607,0.938806,1.067662
2008-12-24,06:00:00,0.99403,1.030846,0.966418,0.966418
2008-12-25,06:00:00,0.874378,0.975622,0.874378,0.883582
2008-12-29,06:00:00,0.828358,0.984826,0.828358,0.90199
2008-12-30,06:00:00,0.874378,0.975622,0.874378,0.911194
2008-12-31,06:00:00,0.957214,0.957214,0.90199,0.911194
2009-01-05,06:00:00,0.975622,1.04005,0.94801,1.04005
2009-01-06,06:00:00,1.04005,1.04005,0.938806,0.938806
2009-01-07,06:00:00,1.012438,1.012438,0.938806,0.938806
2009-01-08,06:00:00,0.874378,0.99403,0.874378,0.892786
2009-01-12,06:00:00,0.966418,1.058458,0.966418,1.058458
2009-01-13,06:00:00,1.214925,1.214925,1.08607,1.214925
2009-01-14,06:00:00,1.113682,1.178109,1.095274,1.095274
2009-01-15,06:00:00,0.99403,1.076866,0.99403,1.012438
2009-01-19,06:00:00,0.938806,0.966418,0.938806,0.966418
2009-01-20,06:00:00,0.920398,1.012438,0.883582,0.911194
2009-01-21,06:00:00,0.874378,0.957214,0.85597,0.957214
2009-01-22,06:00:00,0.957214,1.08607,0.920398,1.058458
2009-01-26,06:00:00,0.920398,0.966418,0.920398,0.966418
2009-01-27,06:00:00,0.929602,1.030846,0.920398,0.938806
2009-01-28,06:00:00,0.938806,1.012438,0.938806,0.984826
2009-01-29,06:00:00,1.012438,1.012438,0.984826,0.984826
2009-02-02,06:00:00,0.846766,0.929602,0.846766,0.846766
2009-02-03,06:00:00,0.791542,0.966418,0.791542,0.828358
2009-02-04,06:00:00,0.938806,0.94801,0.874378,0.874378
2009-02-05,06:00:00,0.975622,0.99403,0.883582,0.883582
2009-02-09,06:00:00,0.966418,1.04005,0.966418,1.012438
2009-02-10,06:00:00,0.966418,0.966418,0.966418,0.966418
2009-02-11,06:00:00,1.08607,1.08607,0.984826,1.012438
2009-02-12,06:00:00,1.012438,1.012438,0.975622,0.975622
2009-02-16,06:00:00,1.141294,1.141294,0.938806,0.938806
2009-02-17,06:00:00,1.012438,1.012438,1.012438,1.012438
2009-02-18,06:00:00,0.911194,1.150498,0.911194,1.04005
2009-02-19,06:00:00,1.08607,1.187313,1.076866,1.150498
2009-02-23,06:00:00,1.141294,1.224129,1.113682,1.113682
2009-02-24,06:00:00,1.242537,1.242537,1.058458,1.150498
2009-02-25,06:00:00,1.058458,1.159701,1.058458,1.159701
2009-02-26,06:00:00,1.049254,1.242537,1.049254,1.076866
2009-03-02,06:00:00,1.141294,1.343781,1.113682,1.196517
2009-03-03,06:00:00,1.113682,1.150498,1.104478,1.150498
2009-03-04,06:00:00,1.13209,1.242537,1.13209,1.187313
2009-03-05,06:00:00,1.168905,1.288557,1.122886,1.205721
2009-03-09,06:00:00,1.224129,1.316169,1.205721,1.288557
2009-03-10,06:00:00,1.270149,1.288557,1.196517,1.233333
2009-03-11,06:00:00,1.168905,1.205721,1.113682,1.113682
2009-03-12,06:00:00,1.141294,1.141294,1.141294,1.141294
2009-03-16,06:00:00,1.113682,1.113682,1.067662,1.076866
2009-03-17,06:00:00,1.058458,1.104478,0.984826,1.095274
2009-03-18,06:00:00,1.104478,1.113682,1.049254,1.113682
2009-03-19,06:00:00,1.141294,1.150498,1.076866,1.076866
2009-03-23,06:00:00,1.095274,1.095274,1.058458,1.095274
