Date,Time,open,high,low,close
2007-09-13,06:00:00,2.376774,2.376774,2.376774,2.376774
2007-09-17,06:00:00,2.403183,2.403183,2.403183,2.403183
2007-09-18,06:00:00,2.469204,2.469204,2.469204,2.469204
2007-09-19,06:00:00,2.495613,2.495613,2.495613,2.495613
2007-09-20,06:00:00,2.456,2.456,2.456,2.456
2007-09-24,06:00:00,2.456,2.456,2.456,2.456
2007-09-25,06:00:00,2.469204,2.469204,2.469204,2.469204
2007-09-26,06:00:00,2.442796,2.442796,2.442796,2.442796
2007-10-01,06:00:00,2.442796,2.442796,2.442796,2.442796
2007-10-02,06:00:00,2.482408,2.482408,2.482408,2.482408
2007-10-04,06:00:00,2.522021,2.522021,2.522021,2.522021
2007-10-08,06:00:00,2.522021,2.522021,2.522021,2.522021
2007-10-10,06:00:00,2.535226,2.535226,2.535226,2.535226
2007-10-15,06:00:00,2.680473,2.680473,2.680473,2.680473
2007-10-16,06:00:00,2.614451,2.614451,2.614451,2.614451
2007-10-17,06:00:00,2.588043,2.588043,2.588043,2.588043
2007-10-18,06:00:00,2.627656,2.627656,2.627656,2.627656
2007-10-22,06:00:00,2.627656,2.627656,2.627656,2.627656
2007-10-23,06:00:00,2.654064,2.654064,2.654064,2.654064
2007-10-25,06:00:00,2.799311,2.799311,2.799311,2.799311
2007-10-29,06:00:00,2.904946,2.904946,2.904946,2.904946
2007-10-30,06:00:00,2.957763,2.957763,2.957763,2.957763
2007-11-01,06:00:00,2.944559,2.944559,2.944559,2.944559
2007-11-05,06:00:00,3.195441,3.195441,3.195441,3.195441
2007-11-06,06:00:00,3.565161,3.565161,3.565161,3.565161
2007-11-07,06:00:00,3.459526,3.459526,3.459526,3.459526
2007-11-08,06:00:00,3.59157,3.59157,3.59157,3.59157
2007-11-12,06:00:00,3.908473,3.908473,3.908473,3.908473
2007-11-13,06:00:00,3.816043,3.816043,3.816043,3.816043
2007-11-14,06:00:00,3.908473,3.908473,3.908473,3.908473
2007-11-15,06:00:00,3.934881,3.934881,3.934881,3.934881
2007-11-19,06:00:00,3.908473,3.908473,3.908473,3.908473
2007-11-20,06:00:00,3.802839,3.802839,3.802839,3.802839
2007-11-21,06:00:00,3.710408,3.710408,3.710408,3.710408
2007-11-22,06:00:00,3.697204,3.697204,3.697204,3.697204
2007-11-26,06:00:00,3.697204,3.697204,3.697204,3.697204
2007-11-27,06:00:00,3.551957,3.551957,3.551957,3.551957
2007-11-28,06:00:00,3.710408,3.710408,3.710408,3.710408
2007-11-29,06:00:00,3.723612,3.723612,3.723612,3.723612
2007-12-04,06:00:00,3.763225,3.763225,3.763225,3.763225
2007-12-05,06:00:00,3.789634,3.789634,3.789634,3.789634
2007-12-06,06:00:00,3.763225,3.763225,3.763225,3.763225
2007-12-10,06:00:00,3.736817,3.736817,3.736817,3.736817
2007-12-11,06:00:00,3.934881,3.934881,3.934881,3.934881
2007-12-12,06:00:00,3.86886,3.86886,3.86886,3.86886
2007-12-13,06:00:00,3.882064,3.882064,3.882064,3.882064
2007-12-17,06:00:00,3.882064,3.882064,3.882064,3.882064
2007-12-24,06:00:00,3.895269,3.895269,3.895269,3.895269
2007-12-25,06:00:00,3.908473,3.908473,3.908473,3.908473
2007-12-27,06:00:00,3.882064,3.882064,3.882064,3.882064
2007-12-31,06:00:00,3.855656,3.855656,3.855656,3.855656
2008-01-02,06:00:00,3.816043,3.816043,3.816043,3.816043
2008-01-03,06:00:00,3.855656,3.855656,3.855656,3.855656
2008-01-07,06:00:00,3.86886,3.86886,3.86886,3.86886
2008-01-08,06:00:00,3.908473,3.908473,3.908473,3.908473
2008-01-09,06:00:00,3.855656,3.855656,3.855656,3.855656
2008-01-14,06:00:00,3.882064,3.882064,3.882064,3.882064
2008-01-15,06:00:00,3.908473,3.908473,3.908473,3.908473
2008-01-16,06:00:00,3.855656,3.855656,3.855656,3.855656
2008-01-17,06:00:00,3.816043,3.816043,3.816043,3.816043
2008-01-21,06:00:00,3.459526,3.459526,3.459526,3.459526
2008-01-22,06:00:00,3.142624,3.142624,3.142624,3.142624
2008-01-23,06:00:00,3.604774,3.604774,3.604774,3.604774
2008-01-24,06:00:00,3.446322,3.446322,3.446322,3.446322
2008-01-28,06:00:00,3.301075,3.301075,3.301075,3.301075
2008-01-29,06:00:00,3.353892,3.353892,3.353892,3.353892
2008-01-30,06:00:00,3.340688,3.340688,3.340688,3.340688
2008-01-31,06:00:00,3.353892,3.353892,3.353892,3.353892
2008-02-04,06:00:00,3.512344,3.512344,3.512344,3.512344
2008-02-05,06:00:00,3.472731,3.472731,3.472731,3.472731
2008-02-06,06:00:00,3.380301,3.380301,3.380301,3.380301
2008-02-07,06:00:00,3.393505,3.393505,3.393505,3.393505
2008-02-11,06:00:00,3.261462,3.261462,3.261462,3.261462
2008-02-12,06:00:00,3.274666,3.274666,3.274666,3.274666
2008-02-13,06:00:00,3.314279,3.314279,3.314279,3.314279
2008-02-14,06:00:00,3.327484,3.327484,3.327484,3.327484
2008-02-18,06:00:00,3.314279,3.314279,3.314279,3.314279
2008-02-20,06:00:00,3.353892,3.353892,3.353892,3.353892
2008-02-25,06:00:00,3.631183,3.631183,3.631183,3.631183
2008-02-26,06:00:00,3.631183,3.631183,3.631183,3.631183
2008-02-27,06:00:00,3.485935,3.485935,3.485935,3.485935
2008-02-28,06:00:00,3.525548,3.525548,3.525548,3.525548
2008-03-03,06:00:00,3.380301,3.380301,3.380301,3.380301
2008-03-04,06:00:00,3.419914,3.419914,3.419914,3.419914
2008-03-05,06:00:00,3.393505,3.393505,3.393505,3.393505
2008-03-06,06:00:00,3.380301,3.380301,3.380301,3.380301
2008-03-10,06:00:00,3.367096,3.367096,3.367096,3.367096
2008-03-11,06:00:00,3.327484,3.327484,3.327484,3.327484
2008-03-12,06:00:00,3.340688,3.340688,3.340688,3.340688
2008-03-13,06:00:00,3.301075,3.301075,3.301075,3.301075
2008-03-17,06:00:00,3.169032,3.169032,3.169032,3.169032
2008-03-18,06:00:00,3.195441,3.195441,3.195441,3.195441
2008-03-19,06:00:00,3.155828,3.155828,3.155828,3.155828
2008-03-24,06:00:00,3.01058,3.01058,3.01058,3.01058
2008-03-25,06:00:00,3.182236,3.182236,3.182236,3.182236
2008-03-26,06:00:00,3.116215,3.116215,3.116215,3.116215
2008-03-27,06:00:00,3.050193,3.050193,3.050193,3.050193
2008-03-31,06:00:00,3.076602,3.076602,3.076602,3.076602
2008-04-01,06:00:00,3.155828,3.155828,3.155828,3.155828
2008-04-02,06:00:00,3.221849,3.221849,3.221849,3.221849
2008-04-03,06:00:00,3.169032,3.169032,3.169032,3.169032
2008-04-07,06:00:00,3.142624,3.142624,3.142624,3.142624
2008-04-08,06:00:00,3.10301,3.10301,3.10301,3.10301
2008-04-09,06:00:00,3.129419,3.129419,3.129419,3.129419
2008-04-10,06:00:00,3.10301,3.10301,3.10301,3.10301
2008-04-14,06:00:00,3.063397,3.063397,3.063397,3.063397
2008-04-15,06:00:00,3.142624,3.142624,3.142624,3.142624
2008-04-16,06:00:00,3.10301,3.10301,3.10301,3.10301
2008-04-17,06:00:00,3.076602,3.076602,3.076602,3.076602
2008-04-21,06:00:00,3.129419,3.129419,3.129419,3.129419
2008-04-22,06:00:00,3.10301,3.10301,3.10301,3.10301
2008-04-23,06:00:00,3.023785,3.023785,3.023785,3.023785
2008-04-28,06:00:00,2.997376,2.997376,2.997376,2.997376
2008-04-29,06:00:00,3.01058,3.01058,3.01058,3.01058
2008-04-30,06:00:00,2.970968,2.970968,2.970968,2.970968
2008-05-01,06:00:00,3.063397,3.063397,3.063397,3.063397
2008-05-05,06:00:00,3.169032,3.169032,3.169032,3.169032
2008-05-06,06:00:00,3.129419,3.129419,3.129419,3.129419
2008-05-08,06:00:00,3.063397,3.063397,3.063397,3.063397
2008-05-12,06:00:00,3.036989,3.036989,3.036989,3.036989
2008-05-13,06:00:00,3.01058,3.01058,3.01058,3.01058
2008-05-14,06:00:00,2.997376,2.997376,2.997376,2.997376
2008-05-15,06:00:00,3.023785,3.023785,3.023785,3.023785
2008-05-19,06:00:00,2.997376,2.997376,2.997376,2.997376
2008-05-20,06:00:00,2.970968,2.970968,2.970968,2.970968
2008-05-21,06:00:00,2.944559,2.944559,2.944559,2.944559
2008-05-22,06:00:00,2.984172,2.984172,2.984172,2.984172
2008-05-26,06:00:00,2.984172,2.984172,2.984172,2.984172
2008-05-27,06:00:00,2.997376,2.997376,2.997376,2.997376
2008-05-28,06:00:00,2.970968,2.970968,2.970968,2.970968
2008-06-02,06:00:00,3.050193,3.050193,3.050193,3.050193
2008-06-03,06:00:00,3.01058,3.01058,3.01058,3.01058
2008-06-04,06:00:00,3.036989,3.036989,3.036989,3.036989
2008-06-05,06:00:00,3.023785,3.023785,3.023785,3.023785
2008-06-09,06:00:00,2.997376,2.997376,2.997376,2.997376
2008-06-10,06:00:00,2.984172,2.984172,2.984172,2.984172
2008-06-12,06:00:00,2.957763,2.957763,2.957763,2.957763
2008-06-16,06:00:00,2.944559,2.944559,2.944559,2.944559
2008-06-17,06:00:00,2.904946,2.904946,2.904946,2.904946
2008-06-18,06:00:00,2.878538,2.878538,2.878538,2.878538
2008-06-19,06:00:00,2.852129,2.852129,2.852129,2.852129
2008-06-23,06:00:00,2.852129,2.852129,2.852129,2.852129
