Date,Time,open,high,low,close
2005-01-02,06:00:00,2516.2,2612.5801,2516.2,2608.1101
2005-01-03,06:00:00,2609.98,2721.5,2609.1499,2716.7
2005-01-04,06:00:00,2675.3999,2739.4299,2640.51,2652.8
2005-01-05,06:00:00,2653.8301,2672.02,2626.98,2663.9299
2005-01-06,06:00:00,2666.8,2693.49,2655.8601,2693.21
2005-01-09,06:00:00,2766.9099,2788.04,2729.27,2729.47
2005-01-10,06:00:00,2729.47,2745.24,2698.1599,2745.24
2005-01-11,06:00:00,2735.8899,2752.52,2721.7,2746.74
2005-01-12,06:00:00,2746.1299,2752.1899,2720.1201,2721.6799
2005-01-13,06:00:00,2721.6799,2722.5601,2640.3501,2656.48
2005-01-16,06:00:00,2471.9099,2582.6599,2440.2,2574.98
2005-01-17,06:00:00,2617.0801,2638.8899,2604.47,2610.8101
2005-01-18,06:00:00,2611.02,2653.21,2605.45,2636.77
2005-01-24,06:00:00,2637.3799,2690.3201,2637.3799,2655.8899
2005-01-25,06:00:00,2655.6899,2674.6399,2625.4399,2628.8
2005-01-26,06:00:00,2627.5701,2631.46,2592.99,2609.1499
2005-01-27,06:00:00,2608.95,2616.1799,2598.21,2614.5601
2005-01-30,06:00:00,2621.1899,2621.6001,2589.04,2590.0601
2005-01-31,06:00:00,2589.04,2603.6699,2583.1299,2601.24
2005-02-01,06:00:00,2602.47,2628.51,2594.1499,2625.1001
2005-02-02,06:00:00,2625.1001,2634.79,2620.05,2632.75
2005-02-03,06:00:00,2632.3401,2641.4199,2617.9199,2619.0701
2005-02-06,06:00:00,2630.75,2650.8101,2615.72,2616.1599
2005-02-07,06:00:00,2616.5701,2619.8501,2596.8701,2601.9299
2005-02-08,06:00:00,2601.3101,2627.6399,2589.26,2616.54
2005-02-10,06:00:00,2616.74,2648.6299,2612.6201,2646.21
2005-02-13,06:00:00,2648.55,2667.24,2648.55,2658.3201
2005-02-14,06:00:00,2658.1101,2665.0801,2646.8201,2651.4399
2005-02-15,06:00:00,2651.3301,2653.6699,2638.3899,2644.1299
2005-02-16,06:00:00,2666.8,2684.77,2664.78,2682.3501
2005-02-17,06:00:00,2683.1699,2706.8201,2683.1699,2702.4199
2005-02-20,06:00:00,2729.0901,2765.02,2729.0901,2748.1599
2005-02-21,06:00:00,2747.95,2756.6699,2718.8,2719.6499
2005-02-22,06:00:00,2718.99,2735.4199,2700.99,2704.6699
2005-02-23,06:00:00,2705.29,2754.29,2704.28,2754.21
2005-02-24,06:00:00,2754.01,2805.8401,2753.8101,2793.49
2005-02-27,06:00:00,2848.1299,2920.0,2845.47,2912.97
2005-02-28,06:00:00,2913.5801,2944.48,2905.6699,2916.1599
2005-03-01,06:00:00,2916.1699,3039.1101,2913.04,3021.47
2005-03-02,06:00:00,3022.8999,3109.8501,3022.8999,3092.9099
2005-03-03,06:00:00,3095.1599,3132.78,3072.98,3083.02
2005-03-06,06:00:00,3176.1899,3203.5701,3147.8,3191.1899
2005-03-07,06:00:00,3191.74,3236.6399,3191.74,3224.6201
2005-03-08,06:00:00,3225.6399,3265.2,3218.76,3241.77
2005-03-09,06:00:00,3251.6399,3295.8301,3229.54,3289.25
2005-03-10,06:00:00,3288.23,3326.5901,3288.02,3316.3101
2005-03-13,06:00:00,3377.3401,3438.9099,3377.3401,3413.1201
2005-03-14,06:00:00,3412.3,3436.3301,3406.3101,3412.22
2005-03-15,06:00:00,3412.22,3457.8301,3412.22,3427.1299
2005-03-16,06:00:00,3446.1499,3476.3401,3433.1001,3448.8101
2005-03-17,06:00:00,3447.1699,3476.8701,3447.1699,3459.03
2005-03-20,06:00:00,3459.54,3499.72,3459.3201,3474.5601
2005-03-21,06:00:00,3474.97,3485.0901,3456.1899,3464.6399
2005-03-22,06:00:00,3464.23,3506.53,3464.23,3499.1399
