Date,Time,open,high,low,close
2011-10-13,06:00:00,6.05,6.05,6.05,6.05
2011-10-16,06:00:00,6.05,6.05,6.05,6.05
2011-10-17,06:00:00,6.05,6.05,6.05,6.05
2011-10-19,06:00:00,6.05,6.05,6.05,6.05
2011-10-20,06:00:00,6.05,6.05,6.05,6.05
2011-10-23,06:00:00,6.05,6.05,6.05,6.05
2011-10-27,06:00:00,6.05,6.05,6.05,6.05
2011-10-30,06:00:00,6.05,6.05,6.05,6.05
2011-10-31,06:00:00,6.05,6.05,6.05,6.05
2011-11-01,06:00:00,6.05,6.05,6.05,6.05
2011-11-02,06:00:00,6.05,6.05,6.05,6.05
2011-11-03,06:00:00,6.05,6.05,6.05,6.05
2011-11-09,06:00:00,6.05,6.05,6.05,6.05
2011-11-10,06:00:00,6.05,6.05,6.05,6.05
2011-11-13,06:00:00,6.05,6.05,6.05,6.05
2011-11-14,06:00:00,6.05,6.05,6.05,6.05
2011-11-15,06:00:00,6.05,6.05,6.05,6.05
2011-11-16,06:00:00,6.05,6.05,6.05,6.05
2011-11-17,06:00:00,6.05,6.05,6.05,6.05
2011-11-20,06:00:00,6.05,6.05,6.05,6.05
2011-11-21,06:00:00,6.05,6.05,6.05,6.05
2011-11-22,06:00:00,6.05,6.05,6.05,6.05
2011-11-23,06:00:00,6.05,6.05,6.05,6.05
2011-11-24,06:00:00,6.05,6.05,6.05,6.05
2011-11-27,06:00:00,6.05,6.05,6.05,6.05
2011-11-28,06:00:00,6.05,6.05,6.05,6.05
2011-11-29,06:00:00,6.05,6.05,6.05,6.05
2011-11-30,06:00:00,6.05,6.05,6.05,6.05
2011-12-04,06:00:00,6.05,6.05,6.05,6.05
2011-12-05,06:00:00,6.05,6.05,6.05,6.05
2011-12-06,06:00:00,6.05,6.05,6.05,6.05
2011-12-07,06:00:00,6.05,6.05,6.05,6.05
2011-12-08,06:00:00,6.05,6.05,6.05,6.05
2011-12-11,06:00:00,6.05,6.05,6.05,6.05
2011-12-12,06:00:00,6.05,6.05,6.05,6.05
2011-12-13,06:00:00,6.05,6.05,6.05,6.05
2011-12-14,06:00:00,6.05,6.05,6.05,6.05
2011-12-15,06:00:00,6.05,6.05,6.05,6.05
2011-12-18,06:00:00,6.05,6.05,6.05,6.05
2011-12-19,06:00:00,6.05,6.05,6.05,6.05
2011-12-20,06:00:00,6.05,6.05,6.05,6.05
2011-12-21,06:00:00,6.05,6.05,6.05,6.05
2011-12-22,06:00:00,6.05,6.05,6.05,6.05
2011-12-25,06:00:00,6.05,6.05,6.05,6.05
2011-12-27,06:00:00,6.05,6.05,6.05,6.05
2011-12-28,06:00:00,6.05,6.05,6.05,6.05
2011-12-29,06:00:00,6.05,6.05,6.05,6.05
2012-01-03,06:00:00,6.05,6.05,6.05,6.05
2012-01-04,06:00:00,6.05,6.05,6.05,6.05
2012-01-05,06:00:00,6.05,6.05,6.05,6.05
2012-01-08,06:00:00,6.05,6.05,6.05,6.05
2012-01-09,06:00:00,6.05,6.05,6.05,6.05
2012-01-10,06:00:00,6.05,6.05,6.05,6.05
2012-01-11,06:00:00,6.05,6.05,6.05,6.05
2012-01-12,06:00:00,6.05,6.05,6.05,6.05
2012-07-31,06:00:00,6.05,6.05,6.05,6.05
2012-09-13,06:00:00,6.05,6.05,6.05,6.05
2012-09-16,06:00:00,6.05,6.05,6.05,6.05
2012-09-17,06:00:00,6.05,6.05,6.05,6.05
2012-09-18,06:00:00,6.05,6.05,6.05,6.05
2012-09-19,06:00:00,6.05,6.05,6.05,6.05
2012-09-20,06:00:00,6.05,6.05,6.05,6.05
2012-09-23,06:00:00,6.05,6.05,6.05,6.05
2012-09-24,06:00:00,6.05,6.05,6.05,6.05
2012-09-25,06:00:00,6.05,6.05,6.05,6.05
2012-09-26,06:00:00,6.05,6.05,6.05,6.05
2012-09-27,06:00:00,6.05,6.05,6.05,6.05
2012-09-30,06:00:00,6.05,6.05,6.05,6.05
