Date,Time,open,high,low,close
2018-01-29,06:00:00,0.76,0.76,0.665,0.76
2018-01-30,06:00:00,0.873,0.874,0.82,0.874
2018-01-31,06:00:00,0.94,0.94,0.787,0.787
2018-02-01,06:00:00,0.788,0.87,0.76,0.851
2018-02-04,06:00:00,0.85,0.96,0.85,0.96
2018-02-05,06:00:00,0.97,0.983,0.864,0.864
2018-02-06,06:00:00,0.8,0.843,0.78,0.831
2018-02-07,06:00:00,0.842,0.848,0.748,0.748
2018-02-08,06:00:00,0.757,0.758,0.72,0.75
2018-02-11,06:00:00,0.74,0.753,0.675,0.675
2018-02-12,06:00:00,0.666,0.68,0.608,0.625
2018-02-13,06:00:00,0.64,0.655,0.568,0.569
2018-02-14,06:00:00,0.57,0.593,0.536,0.59
2018-02-15,06:00:00,0.6,0.612,0.572,0.592
2018-02-18,06:00:00,0.6,0.6,0.533,0.533
2018-02-19,06:00:00,0.531,0.549,0.515,0.529
2018-02-20,06:00:00,0.53,0.534,0.515,0.53
2018-02-21,06:00:00,0.525,0.543,0.518,0.52
2018-02-22,06:00:00,0.52,0.526,0.5,0.506
2018-02-25,06:00:00,0.505,0.519,0.495,0.495
2018-02-26,06:00:00,0.492,0.498,0.47,0.497
2018-02-27,06:00:00,0.452,0.455,0.448,0.448
2018-02-28,06:00:00,0.432,0.454,0.42,0.451
2018-03-01,06:00:00,0.45,0.46,0.445,0.46
2018-03-04,06:00:00,0.46,0.494,0.457,0.49
2018-03-05,06:00:00,0.49,0.515,0.489,0.504
2018-03-06,06:00:00,0.504,0.508,0.454,0.454
2018-03-07,06:00:00,0.433,0.46,0.409,0.432
2018-03-08,06:00:00,0.438,0.449,0.43,0.44
2018-03-11,06:00:00,0.442,0.455,0.404,0.417
2018-03-12,06:00:00,0.418,0.423,0.407,0.41
2018-03-13,06:00:00,0.41,0.421,0.405,0.416
2018-03-14,06:00:00,0.422,0.426,0.415,0.421
2018-03-15,06:00:00,0.423,0.428,0.419,0.423
2018-03-18,06:00:00,0.423,0.438,0.422,0.438
2018-03-19,06:00:00,0.442,0.451,0.435,0.435
2018-03-20,06:00:00,0.433,0.435,0.427,0.43
2018-03-21,06:00:00,0.43,0.43,0.42,0.43
2018-03-22,06:00:00,0.43,0.432,0.423,0.425
2018-03-25,06:00:00,0.425,0.43,0.419,0.423
2018-03-26,06:00:00,0.421,0.423,0.405,0.41
2018-03-27,06:00:00,0.415,0.417,0.397,0.399
2018-03-28,06:00:00,0.399,0.407,0.399,0.401
2018-03-29,06:00:00,0.401,0.417,0.4,0.415
2018-04-01,06:00:00,0.415,0.425,0.411,0.415
2018-04-02,06:00:00,0.416,0.416,0.407,0.407
2018-04-03,06:00:00,0.407,0.409,0.395,0.4
2018-04-04,06:00:00,0.403,0.403,0.396,0.397
2018-04-05,06:00:00,0.4,0.408,0.397,0.406
2018-04-08,06:00:00,0.405,0.408,0.398,0.4
2018-04-09,06:00:00,0.4,0.414,0.4,0.406
2018-04-10,06:00:00,0.413,0.419,0.406,0.406
2018-04-11,06:00:00,0.408,0.409,0.404,0.404
2018-04-12,06:00:00,0.404,0.404,0.395,0.395
2018-04-15,06:00:00,0.404,0.404,0.395,0.398
2018-04-16,06:00:00,0.395,0.396,0.388,0.39
2018-04-17,06:00:00,0.386,0.389,0.368,0.373
2018-04-18,06:00:00,0.372,0.374,0.367,0.373
2018-04-19,06:00:00,0.375,0.377,0.37,0.376
2018-04-22,06:00:00,0.371,0.378,0.371,0.372
2018-04-23,06:00:00,0.372,0.381,0.368,0.373
2018-04-24,06:00:00,0.375,0.385,0.368,0.373
2018-04-25,06:00:00,0.373,0.374,0.36,0.361
2018-04-26,06:00:00,0.361,0.371,0.36,0.369
2018-04-29,06:00:00,0.37,0.373,0.365,0.368
2018-04-30,06:00:00,0.365,0.373,0.363,0.364
2018-05-01,06:00:00,0.361,0.365,0.345,0.351
2018-05-02,06:00:00,0.355,0.355,0.343,0.35
2018-05-03,06:00:00,0.35,0.353,0.346,0.35
2018-05-06,06:00:00,0.345,0.36,0.341,0.354
2018-05-07,06:00:00,0.355,0.359,0.35,0.355
2018-05-08,06:00:00,0.351,0.351,0.348,0.35
2018-05-09,06:00:00,0.35,0.361,0.35,0.356
2018-05-10,06:00:00,0.354,0.355,0.35,0.354
2018-05-13,06:00:00,0.355,0.37,0.355,0.361
2018-05-14,06:00:00,0.361,0.366,0.36,0.361
2018-05-15,06:00:00,0.361,0.4,0.36,0.38
2018-05-16,06:00:00,0.381,0.388,0.375,0.375
2018-05-17,06:00:00,0.38,0.38,0.372,0.372
2018-05-20,06:00:00,0.385,0.389,0.38,0.382
2018-05-21,06:00:00,0.389,0.389,0.38,0.38
2018-05-22,06:00:00,0.38,0.389,0.38,0.387
2018-05-23,06:00:00,0.383,0.398,0.382,0.383
2018-05-24,06:00:00,0.384,0.44,0.384,0.434
2018-05-27,06:00:00,0.431,0.459,0.42,0.423
2018-05-28,06:00:00,0.424,0.426,0.412,0.412
2018-05-29,06:00:00,0.41,0.415,0.403,0.405
2018-05-30,06:00:00,0.401,0.42,0.399,0.415
2018-05-31,06:00:00,0.42,0.424,0.406,0.406
2018-06-03,06:00:00,0.408,0.417,0.407,0.416
2018-06-04,06:00:00,0.419,0.426,0.416,0.422
2018-06-05,06:00:00,0.424,0.426,0.42,0.42
2018-06-06,06:00:00,0.42,0.423,0.413,0.413
2018-06-07,06:00:00,0.413,0.416,0.41,0.41
2018-06-10,06:00:00,0.409,0.415,0.404,0.415
2018-06-11,06:00:00,0.412,0.422,0.408,0.413
