Date,Time,open,high,low,close
2011-07-12,06:00:00,0.633,0.649,0.632,0.649
2011-07-13,06:00:00,0.648,0.655,0.648,0.655
2011-07-14,06:00:00,0.636,0.643,0.636,0.637
2011-07-17,06:00:00,0.641,0.641,0.632,0.632
2011-07-18,06:00:00,0.636,0.636,0.63,0.63
2011-07-19,06:00:00,0.63,0.63,0.63,0.63
2011-07-20,06:00:00,0.63,0.645,0.63,0.635
2011-07-21,06:00:00,0.63,0.641,0.625,0.632
2011-07-24,06:00:00,0.632,0.632,0.62,0.62
2011-07-25,06:00:00,0.64,0.64,0.61,0.61
2011-07-27,06:00:00,0.625,0.625,0.61,0.61
2011-07-28,06:00:00,0.611,0.611,0.611,0.611
2011-07-31,06:00:00,0.622,0.622,0.602,0.602
2011-08-01,06:00:00,0.608,0.625,0.608,0.625
2011-08-04,06:00:00,0.613,0.613,0.612,0.612
2011-08-07,06:00:00,0.61,0.61,0.599,0.6
2011-08-08,06:00:00,0.609,0.609,0.597,0.597
2011-08-09,06:00:00,0.552,0.589,0.552,0.567
2011-08-10,06:00:00,0.566,0.614,0.538,0.614
2011-08-11,06:00:00,0.6,0.6,0.572,0.6
2011-08-14,06:00:00,0.61,0.61,0.58,0.6
2011-08-22,06:00:00,0.58,0.58,0.56,0.56
2011-08-23,06:00:00,0.57,0.589,0.57,0.589
2011-08-24,06:00:00,0.59,0.59,0.564,0.568
2011-08-25,06:00:00,0.609,0.609,0.571,0.571
2011-08-28,06:00:00,0.58,0.58,0.573,0.573
2011-08-29,06:00:00,0.567,0.59,0.567,0.59
2011-09-07,06:00:00,0.57,0.599,0.57,0.598
2011-09-11,06:00:00,0.619,0.62,0.6,0.62
2011-09-12,06:00:00,0.6,0.61,0.582,0.582
2011-09-13,06:00:00,0.586,0.61,0.581,0.581
2011-09-14,06:00:00,0.6,0.615,0.6,0.615
2011-09-15,06:00:00,0.601,0.62,0.591,0.617
2011-09-18,06:00:00,0.583,0.617,0.583,0.59
2011-09-19,06:00:00,0.58,0.582,0.57,0.58
2011-09-20,06:00:00,0.6,0.612,0.565,0.6
2011-09-21,06:00:00,0.576,0.585,0.576,0.585
2011-09-22,06:00:00,0.575,0.578,0.575,0.575
2011-09-25,06:00:00,0.566,0.577,0.56,0.577
2011-09-26,06:00:00,0.562,0.562,0.552,0.552
2011-09-27,06:00:00,0.551,0.556,0.551,0.551
2011-09-28,06:00:00,0.555,0.555,0.55,0.552
2011-09-29,06:00:00,0.551,0.551,0.55,0.551
2011-10-02,06:00:00,0.551,0.551,0.543,0.543
2011-10-03,06:00:00,0.534,0.56,0.533,0.56
2011-10-04,06:00:00,0.523,0.537,0.523,0.537
2011-10-05,06:00:00,0.525,0.547,0.525,0.527
2011-10-09,06:00:00,0.526,0.544,0.525,0.533
2011-10-10,06:00:00,0.539,0.545,0.527,0.544
2011-10-11,06:00:00,0.53,0.53,0.53,0.53
2011-10-12,06:00:00,0.527,0.53,0.525,0.525
2011-10-13,06:00:00,0.55,0.55,0.522,0.522
2011-10-16,06:00:00,0.522,0.522,0.522,0.522
2011-10-17,06:00:00,0.501,0.502,0.501,0.502
2011-10-19,06:00:00,0.502,0.52,0.502,0.52
2011-10-20,06:00:00,0.502,0.52,0.502,0.52
2011-10-23,06:00:00,0.5,0.502,0.5,0.5
2011-10-24,06:00:00,0.496,0.496,0.484,0.484
2011-10-25,06:00:00,0.476,0.506,0.475,0.506
2011-10-26,06:00:00,0.485,0.496,0.485,0.495
2011-10-27,06:00:00,0.495,0.505,0.491,0.505
2011-10-30,06:00:00,0.518,0.535,0.518,0.53
2011-10-31,06:00:00,0.525,0.525,0.502,0.52
2011-11-01,06:00:00,0.502,0.502,0.497,0.5
2011-11-02,06:00:00,0.5,0.501,0.49,0.5
2011-11-03,06:00:00,0.5,0.5,0.5,0.5
2011-11-09,06:00:00,0.5,0.5,0.496,0.496
2011-11-10,06:00:00,0.487,0.49,0.483,0.49
2011-11-13,06:00:00,0.487,0.49,0.483,0.49
2011-11-14,06:00:00,0.485,0.5,0.485,0.49
2011-11-15,06:00:00,0.49,0.49,0.49,0.49
2011-11-16,06:00:00,0.49,0.49,0.49,0.49
2011-11-17,06:00:00,0.49,0.5,0.49,0.5
2011-11-20,06:00:00,0.483,0.483,0.463,0.48
2011-11-21,06:00:00,0.47,0.472,0.47,0.47
2011-11-22,06:00:00,0.454,0.454,0.454,0.454
2011-11-23,06:00:00,0.47,0.47,0.47,0.47
2011-11-24,06:00:00,0.47,0.47,0.47,0.47
2011-11-27,06:00:00,0.47,0.47,0.47,0.47
2011-11-28,06:00:00,0.47,0.473,0.46,0.47
2011-11-29,06:00:00,0.465,0.465,0.465,0.465
2011-11-30,06:00:00,0.465,0.465,0.465,0.465
2011-12-04,06:00:00,0.461,0.47,0.46,0.47
2011-12-05,06:00:00,0.472,0.472,0.472,0.472
2011-12-06,06:00:00,0.464,0.464,0.46,0.461
2011-12-07,06:00:00,0.453,0.453,0.453,0.453
2011-12-08,06:00:00,0.47,0.47,0.47,0.47
2011-12-11,06:00:00,0.47,0.47,0.46,0.47
2011-12-12,06:00:00,0.453,0.47,0.445,0.47
2011-12-13,06:00:00,0.45,0.455,0.45,0.455
2011-12-14,06:00:00,0.459,0.459,0.459,0.459
2011-12-15,06:00:00,0.442,0.46,0.442,0.46
2011-12-18,06:00:00,0.442,0.46,0.442,0.46
2011-12-19,06:00:00,0.442,0.443,0.441,0.442
2011-12-20,06:00:00,0.441,0.456,0.42,0.456
2011-12-21,06:00:00,0.43,0.458,0.43,0.458
2011-12-22,06:00:00,0.439,0.439,0.435,0.435
2011-12-25,06:00:00,0.43,0.45,0.43,0.45
2011-12-27,06:00:00,0.422,0.422,0.415,0.415
2011-12-28,06:00:00,0.436,0.436,0.436,0.436
2011-12-29,06:00:00,0.44,0.44,0.425,0.426
2012-01-03,06:00:00,0.426,0.426,0.426,0.426
2012-01-04,06:00:00,0.417,0.417,0.412,0.412
2012-01-05,06:00:00,0.412,0.412,0.412,0.412
2012-01-08,06:00:00,0.412,0.418,0.384,0.418
2012-01-09,06:00:00,0.418,0.418,0.418,0.418
2012-01-10,06:00:00,0.395,0.395,0.388,0.388
2012-01-11,06:00:00,0.37,0.389,0.36,0.381
2012-01-12,06:00:00,0.371,0.395,0.371,0.375
2012-01-15,06:00:00,0.371,0.371,0.36,0.37
