Date,Time,open,high,low,close
2011-07-12,06:00:00,1.84,1.85,1.82,1.84
2011-07-13,06:00:00,1.84,1.86,1.84,1.84
2011-07-14,06:00:00,1.86,1.86,1.85,1.86
2011-07-17,06:00:00,1.81,1.86,1.81,1.86
2011-07-18,06:00:00,1.82,1.83,1.82,1.83
2011-07-19,06:00:00,1.81,1.83,1.81,1.82
2011-07-20,06:00:00,1.83,1.85,1.83,1.85
2011-07-21,06:00:00,1.85,1.85,1.84,1.85
2011-07-24,06:00:00,1.8,1.85,1.8,1.8
2011-07-25,06:00:00,1.81,1.84,1.81,1.82
2011-07-26,06:00:00,1.82,1.83,1.82,1.83
2011-07-27,06:00:00,1.81,1.82,1.81,1.81
2011-07-28,06:00:00,1.8,1.81,1.8,1.81
2011-07-31,06:00:00,1.81,1.81,1.79,1.79
2011-08-01,06:00:00,1.78,1.83,1.78,1.83
2011-08-04,06:00:00,1.83,1.86,1.83,1.85
2011-08-07,06:00:00,1.8,1.8,1.68,1.79
2011-08-08,06:00:00,1.75,1.75,1.73,1.74
2011-08-09,06:00:00,1.7,1.72,1.65,1.69
2011-08-10,06:00:00,1.69,1.73,1.69,1.7
2011-08-11,06:00:00,1.7,1.73,1.65,1.71
2011-08-14,06:00:00,1.73,1.76,1.73,1.75
2011-08-15,06:00:00,1.73,1.76,1.73,1.76
2011-08-16,06:00:00,1.73,1.77,1.73,1.76
2011-08-17,06:00:00,1.75,1.76,1.75,1.75
2011-08-22,06:00:00,1.75,1.83,1.75,1.8
2011-08-23,06:00:00,1.77,1.82,1.77,1.8
2011-08-24,06:00:00,1.8,1.81,1.79,1.8
2011-08-25,06:00:00,1.8,1.8,1.79,1.8
2011-08-28,06:00:00,1.78,1.78,1.78,1.78
2011-08-29,06:00:00,1.78,1.83,1.78,1.83
2011-09-04,06:00:00,1.85,1.85,1.8,1.8
2011-09-05,06:00:00,1.8,1.8,1.78,1.8
2011-09-06,06:00:00,1.79,1.83,1.79,1.81
2011-09-07,06:00:00,1.78,1.79,1.78,1.78
2011-09-11,06:00:00,1.77,1.77,1.77,1.77
2011-09-12,06:00:00,1.77,1.78,1.76,1.77
2011-09-13,06:00:00,1.75,1.78,1.75,1.78
2011-09-14,06:00:00,1.76,1.81,1.76,1.81
2011-09-15,06:00:00,1.81,1.81,1.79,1.8
2011-09-18,06:00:00,1.81,1.81,1.8,1.81
2011-09-19,06:00:00,1.8,1.81,1.8,1.8
2011-09-20,06:00:00,1.82,1.83,1.8,1.83
2011-09-21,06:00:00,1.8,1.84,1.8,1.84
2011-09-22,06:00:00,1.8,1.8,1.8,1.8
2011-09-25,06:00:00,1.8,1.8,1.79,1.8
2011-09-26,06:00:00,1.8,1.82,1.79,1.82
2011-09-27,06:00:00,1.8,1.83,1.8,1.82
2011-09-28,06:00:00,1.81,1.83,1.8,1.83
2011-09-29,06:00:00,1.8,1.81,1.8,1.8
2011-10-02,06:00:00,1.8,1.8,1.8,1.8
2011-10-03,06:00:00,1.8,1.8,1.79,1.8
2011-10-04,06:00:00,1.77,1.79,1.77,1.77
2011-10-05,06:00:00,1.79,1.8,1.78,1.78
2011-10-06,06:00:00,1.78,1.78,1.75,1.77
2011-10-09,06:00:00,1.77,1.81,1.77,1.81
2011-10-10,06:00:00,1.81,1.81,1.81,1.81
2011-10-11,06:00:00,1.81,1.81,1.8,1.8
2011-10-12,06:00:00,1.8,1.81,1.79,1.8
2011-10-13,06:00:00,1.78,1.78,1.78,1.78
2011-10-16,06:00:00,1.77,1.8,1.77,1.8
2011-10-17,06:00:00,1.8,1.8,1.76,1.76
2011-10-19,06:00:00,1.77,1.78,1.75,1.75
2011-10-20,06:00:00,1.76,1.77,1.76,1.77
2011-10-23,06:00:00,1.74,1.76,1.74,1.76
2011-10-24,06:00:00,1.75,1.79,1.75,1.79
2011-10-25,06:00:00,1.76,1.77,1.76,1.77
2011-10-26,06:00:00,1.75,1.82,1.75,1.8
2011-10-27,06:00:00,1.8,1.82,1.8,1.82
2011-10-30,06:00:00,1.84,1.86,1.84,1.85
2011-10-31,06:00:00,1.82,1.87,1.8,1.8
2011-11-01,06:00:00,1.8,1.8,1.78,1.79
2011-11-02,06:00:00,1.78,1.8,1.76,1.76
2011-11-03,06:00:00,1.76,1.79,1.76,1.79
2011-11-09,06:00:00,1.8,1.8,1.78,1.78
2011-11-10,06:00:00,1.79,1.82,1.79,1.82
2011-11-13,06:00:00,1.81,1.83,1.81,1.82
2011-11-14,06:00:00,1.81,1.82,1.81,1.82
2011-11-15,06:00:00,1.8,1.82,1.8,1.82
2011-11-16,06:00:00,1.81,1.83,1.81,1.82
2011-11-17,06:00:00,1.81,1.83,1.81,1.82
2011-11-20,06:00:00,1.82,1.84,1.82,1.82
2011-11-21,06:00:00,1.82,1.83,1.82,1.82
2011-11-22,06:00:00,1.82,1.82,1.8,1.81
2011-11-23,06:00:00,1.78,1.8,1.78,1.8
2011-11-24,06:00:00,1.76,1.8,1.76,1.78
2011-11-27,06:00:00,1.78,1.8,1.77,1.78
2011-11-28,06:00:00,1.78,1.82,1.78,1.81
2011-11-29,06:00:00,1.79,1.8,1.78,1.79
2011-11-30,06:00:00,1.79,1.8,1.78,1.79
2011-12-04,06:00:00,1.79,1.82,1.79,1.8
2011-12-05,06:00:00,1.83,1.83,1.8,1.83
2011-12-06,06:00:00,1.83,1.84,1.8,1.84
2011-12-07,06:00:00,1.81,1.83,1.81,1.83
2011-12-08,06:00:00,1.83,1.84,1.83,1.84
