Date,Time,open,high,low,close
2006-04-27,06:00:00,5.906171,5.906171,5.906171,5.906171
2006-05-01,06:00:00,5.887026,5.887026,5.887026,5.887026
2006-05-02,06:00:00,5.848736,5.848736,5.848736,5.848736
2006-05-03,06:00:00,5.714723,5.714723,5.714723,5.714723
2006-05-04,06:00:00,5.676433,5.676433,5.676433,5.676433
2006-05-08,06:00:00,5.149951,5.149951,5.149951,5.149951
2006-05-09,06:00:00,5.197813,5.197813,5.197813,5.197813
2006-05-10,06:00:00,4.939358,4.939358,4.939358,4.939358
2006-05-11,06:00:00,4.814917,4.814917,4.814917,4.814917
2006-05-15,06:00:00,5.551992,5.551992,5.551992,5.551992
2006-05-16,06:00:00,5.523275,5.523275,5.523275,5.523275
2006-05-17,06:00:00,5.733867,5.733867,5.733867,5.733867
2006-05-18,06:00:00,5.70515,5.70515,5.70515,5.70515
2006-05-22,06:00:00,5.590282,5.590282,5.590282,5.590282
2006-05-23,06:00:00,5.666861,5.666861,5.666861,5.666861
2006-05-24,06:00:00,5.618999,5.618999,5.618999,5.618999
2006-05-25,06:00:00,5.551992,5.551992,5.551992,5.551992
2006-05-29,06:00:00,5.695578,5.695578,5.695578,5.695578
2006-05-30,06:00:00,5.609426,5.609426,5.609426,5.609426
2006-05-31,06:00:00,5.647716,5.647716,5.647716,5.647716
2006-06-01,06:00:00,5.638144,5.638144,5.638144,5.638144
2006-06-05,06:00:00,5.686006,5.686006,5.686006,5.686006
2006-06-06,06:00:00,5.666861,5.666861,5.666861,5.666861
2006-06-07,06:00:00,5.618999,5.618999,5.618999,5.618999
2006-06-08,06:00:00,5.551992,5.551992,5.551992,5.551992
2006-06-12,06:00:00,5.513703,5.513703,5.513703,5.513703
2006-06-13,06:00:00,5.494557,5.494557,5.494557,5.494557
2006-06-14,06:00:00,5.350972,5.350972,5.350972,5.350972
2006-06-15,06:00:00,5.398834,5.398834,5.398834,5.398834
2006-06-19,06:00:00,5.350972,5.350972,5.350972,5.350972
2006-06-20,06:00:00,5.341399,5.341399,5.341399,5.341399
2006-06-21,06:00:00,5.331827,5.331827,5.331827,5.331827
2006-06-22,06:00:00,5.30311,5.30311,5.30311,5.30311
2006-06-26,06:00:00,5.0638,5.0638,5.0638,5.0638
2006-06-27,06:00:00,5.073372,5.073372,5.073372,5.073372
2006-06-28,06:00:00,5.178668,5.178668,5.178668,5.178668
2006-06-29,06:00:00,5.02551,5.02551,5.02551,5.02551
2006-07-03,06:00:00,5.044655,5.044655,5.044655,5.044655
2006-07-04,06:00:00,4.901069,4.901069,4.901069,4.901069
2006-07-05,06:00:00,4.891496,4.891496,4.891496,4.891496
2006-07-06,06:00:00,4.920214,4.920214,4.920214,4.920214
2006-07-10,06:00:00,4.862779,4.862779,4.862779,4.862779
2006-07-11,06:00:00,4.853207,4.853207,4.853207,4.853207
2006-07-12,06:00:00,4.872352,4.872352,4.872352,4.872352
