Date,Time,open,high,low,close
2022-09-29,06:00:00,2.4,2.41,2.21,2.22
2022-09-30,06:00:00,2.22,2.25,2.2,2.2
2022-10-03,06:00:00,2.2,2.23,2.19,2.2
2022-10-04,06:00:00,2.21,2.29,2.21,2.28
2022-10-05,06:00:00,2.29,2.29,2.24,2.26
2022-10-06,06:00:00,2.25,2.27,2.23,2.26
2022-10-07,06:00:00,2.26,2.27,2.25,2.27
2022-10-10,06:00:00,2.26,2.26,2.24,2.26
2022-10-11,06:00:00,2.25,2.27,2.23,2.26
2022-10-12,06:00:00,2.26,2.26,2.23,2.25
2022-10-13,06:00:00,2.25,2.25,2.21,2.24
2022-10-14,06:00:00,2.24,2.25,2.23,2.24
2022-10-17,06:00:00,2.24,2.25,2.23,2.24
2022-10-18,06:00:00,2.24,2.26,2.23,2.26
2022-10-19,06:00:00,2.24,2.26,2.24,2.24
2022-10-20,06:00:00,2.23,2.26,2.23,2.24
2022-10-21,06:00:00,2.25,2.26,2.23,2.23
2022-10-24,06:00:00,2.24,2.3,2.24,2.3
2022-10-25,06:00:00,2.3,2.3,2.26,2.28
2022-10-26,06:00:00,2.28,2.29,2.26,2.26
2022-10-27,06:00:00,2.25,2.31,2.25,2.31
2022-10-28,06:00:00,2.28,2.3,2.27,2.29
2022-10-31,06:00:00,2.29,2.31,2.28,2.29
2022-11-01,06:00:00,2.3,2.3,2.25,2.26
2022-11-02,06:00:00,2.27,2.28,2.25,2.28
2022-11-03,06:00:00,2.29,2.36,2.28,2.33
2022-11-04,06:00:00,2.32,2.35,2.32,2.34
2022-11-07,06:00:00,2.34,2.34,2.31,2.34
2022-11-08,06:00:00,2.33,2.34,2.32,2.33
2022-11-09,06:00:00,2.34,2.35,2.32,2.34
2022-11-10,06:00:00,2.34,2.34,2.3,2.33
2022-11-11,06:00:00,2.34,2.34,2.32,2.34
2022-11-14,06:00:00,2.33,2.35,2.32,2.33
2022-11-15,06:00:00,2.32,2.34,2.25,2.29
2022-11-16,06:00:00,2.29,2.29,2.25,2.26
2022-11-17,06:00:00,2.29,2.29,2.25,2.26
2022-11-18,06:00:00,2.27,2.27,2.25,2.27
2022-11-21,06:00:00,2.27,2.27,2.24,2.24
2022-11-22,06:00:00,2.24,2.26,2.24,2.25
2022-11-23,06:00:00,2.25,2.26,2.24,2.26
2022-11-24,06:00:00,2.26,2.3,2.26,2.3
2022-11-25,06:00:00,2.3,2.33,2.29,2.3
2022-11-28,06:00:00,2.29,2.29,2.26,2.27
2022-11-29,06:00:00,2.26,2.31,2.26,2.3
2022-11-30,06:00:00,2.3,2.34,2.29,2.34
2022-12-05,06:00:00,2.34,2.37,2.3,2.34
2022-12-06,06:00:00,2.34,2.36,2.33,2.35
2022-12-07,06:00:00,2.33,2.36,2.31,2.31
2022-12-08,06:00:00,2.31,2.33,2.31,2.33
2022-12-09,06:00:00,2.33,2.38,2.33,2.38
2022-12-12,06:00:00,2.38,2.44,2.35,2.38
2022-12-13,06:00:00,2.38,2.45,2.38,2.45
2022-12-14,06:00:00,2.42,2.45,2.41,2.44
2022-12-15,06:00:00,2.46,2.58,2.43,2.47
2022-12-16,06:00:00,2.48,2.54,2.47,2.47
2022-12-19,06:00:00,2.47,2.53,2.47,2.5
2022-12-20,06:00:00,2.5,2.52,2.49,2.51
2022-12-21,06:00:00,2.5,2.63,2.49,2.6
2022-12-22,06:00:00,2.6,2.6,2.54,2.58
2022-12-23,06:00:00,2.55,2.59,2.51,2.51
2022-12-26,06:00:00,2.53,2.56,2.53,2.54
2022-12-27,06:00:00,2.56,2.56,2.52,2.54
2022-12-28,06:00:00,2.55,2.55,2.51,2.53
2022-12-29,06:00:00,2.51,2.54,2.49,2.49
2022-12-30,06:00:00,2.53,2.53,2.48,2.48
2023-01-02,06:00:00,2.48,2.51,2.48,2.5
2023-01-03,06:00:00,2.5,2.51,2.48,2.5
2023-01-04,06:00:00,2.52,2.52,2.49,2.5
2023-01-05,06:00:00,2.5,2.52,2.49,2.51
2023-01-06,06:00:00,2.52,2.53,2.49,2.53
2023-01-09,06:00:00,2.53,2.58,2.5,2.55
2023-01-10,06:00:00,2.55,2.57,2.53,2.53
2023-01-11,06:00:00,2.53,2.66,2.53,2.6
2023-01-12,06:00:00,2.58,2.73,2.58,2.68
2023-01-13,06:00:00,2.67,2.7,2.63,2.64
2023-01-16,06:00:00,2.66,2.7,2.63,2.69
2023-01-17,06:00:00,2.69,2.75,2.69,2.75
