Date,Time,open,high,low,close
2003-05-06,06:00:00,0.754495,0.754495,0.754495,0.754495
2003-05-07,06:00:00,0.722005,0.722005,0.722005,0.722005
2003-05-26,06:00:00,0.718395,0.718395,0.718395,0.718395
2003-05-28,06:00:00,0.714785,0.714785,0.714785,0.714785
2003-06-04,06:00:00,0.711175,0.711175,0.711175,0.711175
2003-06-09,06:00:00,0.722005,0.722005,0.722005,0.722005
2003-06-10,06:00:00,0.7202,0.7202,0.7202,0.7202
2003-06-11,06:00:00,0.714785,0.714785,0.714785,0.714785
2003-06-12,06:00:00,0.71659,0.71659,0.71659,0.71659
2003-06-13,06:00:00,0.71298,0.71298,0.71298,0.71298
2003-06-19,06:00:00,0.70937,0.70937,0.70937,0.70937
2003-06-25,06:00:00,0.71659,0.71659,0.71659,0.71659
2003-06-30,06:00:00,0.714785,0.714785,0.714785,0.714785
2003-07-10,06:00:00,0.71659,0.71659,0.71659,0.71659
2003-07-14,06:00:00,0.722005,0.722005,0.722005,0.722005
2003-07-15,06:00:00,0.729225,0.729225,0.729225,0.729225
2003-07-16,06:00:00,0.73825,0.73825,0.73825,0.73825
2003-07-21,06:00:00,0.72381,0.72381,0.72381,0.72381
2003-07-22,06:00:00,0.729225,0.729225,0.729225,0.729225
2003-07-23,06:00:00,0.73103,0.73103,0.73103,0.73103
2003-07-25,06:00:00,0.736445,0.736445,0.736445,0.736445
2003-07-28,06:00:00,0.74186,0.74186,0.74186,0.74186
2003-07-29,06:00:00,0.7563,0.7563,0.7563,0.7563
2003-07-30,06:00:00,0.76352,0.76352,0.76352,0.76352
2003-08-04,06:00:00,0.761715,0.761715,0.761715,0.761715
2003-08-05,06:00:00,0.76352,0.76352,0.76352,0.76352
2003-08-06,06:00:00,0.758105,0.758105,0.758105,0.758105
2003-08-11,06:00:00,0.754495,0.754495,0.754495,0.754495
2003-08-13,06:00:00,0.758105,0.758105,0.758105,0.758105
2003-08-15,06:00:00,0.768935,0.768935,0.768935,0.768935
2003-08-21,06:00:00,0.77074,0.77074,0.77074,0.77074
2003-08-26,06:00:00,0.76713,0.76713,0.76713,0.76713
2003-08-29,06:00:00,0.765325,0.765325,0.765325,0.765325
2003-09-01,06:00:00,0.761715,0.761715,0.761715,0.761715
2003-09-02,06:00:00,0.765325,0.765325,0.765325,0.765325
2003-09-04,06:00:00,0.78157,0.78157,0.78157,0.78157
2003-09-08,06:00:00,0.812255,0.812255,0.812255,0.812255
2003-09-10,06:00:00,0.82489,0.82489,0.82489,0.82489
2003-09-11,06:00:00,0.8285,0.8285,0.8285,0.8285
2003-09-12,06:00:00,0.830305,0.830305,0.830305,0.830305
2003-09-18,06:00:00,0.812255,0.812255,0.812255,0.812255
2003-09-19,06:00:00,0.81406,0.81406,0.81406,0.81406
2003-09-23,06:00:00,0.812255,0.812255,0.812255,0.812255
2003-09-26,06:00:00,0.808645,0.808645,0.808645,0.808645
2003-09-29,06:00:00,0.812255,0.812255,0.812255,0.812255
2003-09-30,06:00:00,0.81045,0.81045,0.81045,0.81045
2003-10-01,06:00:00,0.80323,0.80323,0.80323,0.80323
2003-10-06,06:00:00,0.801425,0.801425,0.801425,0.801425
2003-10-13,06:00:00,0.79962,0.79962,0.79962,0.79962
2003-10-17,06:00:00,0.79601,0.79601,0.79601,0.79601
2003-10-21,06:00:00,0.794205,0.794205,0.794205,0.794205
2003-10-23,06:00:00,0.79601,0.79601,0.79601,0.79601
2003-10-29,06:00:00,0.794205,0.794205,0.794205,0.794205
2003-10-30,06:00:00,0.786985,0.786985,0.786985,0.786985
2003-11-10,06:00:00,0.794205,0.794205,0.794205,0.794205
2003-11-19,06:00:00,0.790595,0.790595,0.790595,0.790595
2003-12-08,06:00:00,0.794205,0.794205,0.794205,0.794205
2003-12-09,06:00:00,0.786985,0.786985,0.786985,0.786985
2003-12-11,06:00:00,0.78879,0.78879,0.78879,0.78879
2003-12-12,06:00:00,0.790595,0.790595,0.790595,0.790595
2003-12-15,06:00:00,0.7924,0.7924,0.7924,0.7924
2003-12-16,06:00:00,0.78879,0.78879,0.78879,0.78879
2003-12-19,06:00:00,0.794205,0.794205,0.794205,0.794205
2003-12-29,06:00:00,0.77435,0.77435,0.77435,0.77435
2003-12-31,06:00:00,0.786985,0.786985,0.786985,0.786985
2004-01-07,06:00:00,0.79601,0.79601,0.79601,0.79601
2004-01-08,06:00:00,0.794205,0.794205,0.794205,0.794205
2004-01-13,06:00:00,0.79601,0.79601,0.79601,0.79601
2004-01-14,06:00:00,0.860991,0.860991,0.860991,0.860991
2004-01-15,06:00:00,0.846551,0.846551,0.846551,0.846551
2004-01-19,06:00:00,0.81406,0.81406,0.81406,0.81406
2004-01-20,06:00:00,0.805035,0.805035,0.805035,0.805035
2004-01-22,06:00:00,0.80684,0.80684,0.80684,0.80684
2004-01-23,06:00:00,0.823085,0.823085,0.823085,0.823085
2004-01-26,06:00:00,0.830305,0.830305,0.830305,0.830305
2004-01-28,06:00:00,0.83572,0.83572,0.83572,0.83572
2004-01-29,06:00:00,0.837525,0.837525,0.837525,0.837525
2004-02-05,06:00:00,0.866406,0.866406,0.866406,0.866406
2004-02-06,06:00:00,0.873626,0.873626,0.873626,0.873626
2004-02-09,06:00:00,0.877236,0.877236,0.877236,0.877236
2004-02-10,06:00:00,0.868211,0.868211,0.868211,0.868211
2004-02-11,06:00:00,0.860991,0.860991,0.860991,0.860991
2004-02-12,06:00:00,0.855576,0.855576,0.855576,0.855576
2004-02-13,06:00:00,0.851966,0.851966,0.851966,0.851966
2004-02-16,06:00:00,0.855576,0.855576,0.855576,0.855576
2004-02-17,06:00:00,0.85016,0.85016,0.85016,0.85016
2004-02-19,06:00:00,0.864601,0.864601,0.864601,0.864601
2004-02-20,06:00:00,0.866406,0.866406,0.866406,0.866406
2004-02-23,06:00:00,0.855576,0.855576,0.855576,0.855576
2004-02-26,06:00:00,0.848355,0.848355,0.848355,0.848355
2004-03-01,06:00:00,0.866406,0.866406,0.866406,0.866406
2004-03-03,06:00:00,0.859186,0.859186,0.859186,0.859186
2004-03-04,06:00:00,0.866406,0.866406,0.866406,0.866406
2004-03-08,06:00:00,0.893481,0.893481,0.893481,0.893481
2004-03-10,06:00:00,0.886261,0.886261,0.886261,0.886261
2004-03-12,06:00:00,0.884456,0.884456,0.884456,0.884456
2004-03-15,06:00:00,0.889871,0.889871,0.889871,0.889871
2004-03-18,06:00:00,0.898896,0.898896,0.898896,0.898896
2004-03-24,06:00:00,0.889871,0.889871,0.889871,0.889871
2004-03-29,06:00:00,0.902506,0.902506,0.902506,0.902506
2004-04-13,06:00:00,0.794205,0.794205,0.794205,0.794205
2004-04-15,06:00:00,0.833915,0.833915,0.833915,0.833915
2004-04-16,06:00:00,0.864601,0.864601,0.864601,0.864601
2004-04-19,06:00:00,0.871821,0.871821,0.871821,0.871821
2004-04-22,06:00:00,0.880846,0.880846,0.880846,0.880846
2004-04-26,06:00:00,0.84294,0.84294,0.84294,0.84294
2004-04-27,06:00:00,0.837525,0.837525,0.837525,0.837525
2004-04-28,06:00:00,0.837525,0.837525,0.837525,0.837525
2004-04-29,06:00:00,0.830305,0.830305,0.830305,0.830305
2004-04-30,06:00:00,0.83211,0.83211,0.83211,0.83211
2004-05-03,06:00:00,0.830305,0.830305,0.830305,0.830305
2004-05-07,06:00:00,0.82128,0.82128,0.82128,0.82128
2004-05-10,06:00:00,0.797815,0.797815,0.797815,0.797815
2004-05-11,06:00:00,0.79601,0.79601,0.79601,0.79601
2004-05-12,06:00:00,0.794205,0.794205,0.794205,0.794205
2004-05-17,06:00:00,0.805035,0.805035,0.805035,0.805035
2004-05-18,06:00:00,0.797815,0.797815,0.797815,0.797815
2004-05-21,06:00:00,0.78518,0.78518,0.78518,0.78518
2004-05-24,06:00:00,0.794205,0.794205,0.794205,0.794205
2004-05-27,06:00:00,0.78879,0.78879,0.78879,0.78879
2004-06-01,06:00:00,0.790595,0.790595,0.790595,0.790595
2004-06-02,06:00:00,0.783375,0.783375,0.783375,0.783375
2004-06-03,06:00:00,0.786985,0.786985,0.786985,0.786985
2004-06-04,06:00:00,0.779765,0.779765,0.779765,0.779765
2004-06-07,06:00:00,0.776155,0.776155,0.776155,0.776155
2004-06-10,06:00:00,0.761715,0.761715,0.761715,0.761715
2004-06-11,06:00:00,0.776155,0.776155,0.776155,0.776155
2004-06-14,06:00:00,0.76352,0.76352,0.76352,0.76352
2004-06-15,06:00:00,0.83211,0.83211,0.83211,0.83211
2004-06-16,06:00:00,0.8285,0.8285,0.8285,0.8285
2004-06-17,06:00:00,0.815865,0.815865,0.815865,0.815865
2004-06-18,06:00:00,0.794205,0.794205,0.794205,0.794205
2004-06-21,06:00:00,0.786985,0.786985,0.786985,0.786985
2004-06-24,06:00:00,0.7924,0.7924,0.7924,0.7924
2004-06-25,06:00:00,0.81767,0.81767,0.81767,0.81767
2004-06-28,06:00:00,0.801425,0.801425,0.801425,0.801425
2004-06-29,06:00:00,0.81406,0.81406,0.81406,0.81406
2004-06-30,06:00:00,0.812255,0.812255,0.812255,0.812255
2004-07-01,06:00:00,0.815865,0.815865,0.815865,0.815865
2004-07-02,06:00:00,0.819475,0.819475,0.819475,0.819475
2004-07-05,06:00:00,0.830305,0.830305,0.830305,0.830305
2004-07-06,06:00:00,0.902506,0.902506,0.902506,0.902506
2004-07-07,06:00:00,0.969291,0.969291,0.969291,0.969291
2004-07-08,06:00:00,0.987341,0.987341,0.987341,0.987341
2004-07-12,06:00:00,0.944021,0.944021,0.944021,0.944021
2004-07-13,06:00:00,0.922361,0.922361,0.922361,0.922361
