Date,Time,open,high,low,close
2011-10-30,06:00:00,2.9,2.95,2.9,2.92
2011-10-30,07:00:00,2.93,2.97,2.93,2.95
2011-10-30,08:00:00,2.96,2.97,2.95,2.97
2011-10-30,09:00:00,2.95,2.97,2.93,2.95
2011-10-30,10:00:00,2.95,2.95,2.95,2.95
2011-10-31,06:00:00,2.97,2.97,2.93,2.93
2011-10-31,07:00:00,2.95,2.95,2.94,2.95
2011-10-31,08:00:00,2.97,2.97,2.97,2.97
2011-10-31,09:00:00,2.97,2.98,2.95,2.95
2011-10-31,10:00:00,2.95,2.95,2.95,2.95
2011-11-01,06:00:00,2.95,2.97,2.95,2.95
2011-11-01,07:00:00,2.95,2.95,2.93,2.93
2011-11-01,08:00:00,2.93,2.93,2.93,2.93
2011-11-01,09:00:00,2.91,2.96,2.9,2.91
2011-11-01,10:00:00,2.91,2.91,2.91,2.91
2011-11-02,06:00:00,2.88,2.89,2.88,2.88
2011-11-02,07:00:00,2.9,2.9,2.89,2.9
2011-11-02,09:00:00,2.9,2.95,2.9,2.9
2011-11-02,10:00:00,2.9,2.9,2.9,2.9
2011-11-03,06:00:00,2.95,2.95,2.95,2.95
2011-11-03,07:00:00,2.94,2.94,2.94,2.94
2011-11-03,08:00:00,2.91,2.91,2.82,2.87
2011-11-03,09:00:00,2.87,2.94,2.86,2.94
2011-11-03,10:00:00,2.94,2.94,2.94,2.94
2011-11-09,06:00:00,2.9,2.9,2.9,2.9
2011-11-09,07:00:00,2.93,2.93,2.93,2.93
2011-11-09,08:00:00,2.92,2.92,2.92,2.92
2011-11-09,09:00:00,2.94,2.97,2.94,2.97
2011-11-09,10:00:00,2.97,2.97,2.97,2.97
2011-11-10,06:00:00,2.9,2.9,2.9,2.9
2011-11-10,07:00:00,2.94,2.94,2.9,2.9
2011-11-10,08:00:00,2.9,2.91,2.9,2.91
2011-11-10,09:00:00,2.91,2.94,2.91,2.92
2011-11-10,10:00:00,2.92,2.92,2.92,2.92
2011-11-13,08:00:00,2.93,2.93,2.93,2.93
2011-11-13,09:00:00,2.92,2.92,2.92,2.92
2011-11-13,10:00:00,2.92,2.92,2.92,2.92
2011-11-14,06:00:00,2.91,2.91,2.9,2.9
2011-11-14,07:00:00,2.9,2.9,2.9,2.9
2011-11-14,08:00:00,2.88,2.9,2.88,2.9
2011-11-14,09:00:00,2.9,2.9,2.9,2.9
