Date,Time,open,high,low,close
2017-11-22,06:00:00,5.61,5.86,5.6,5.81
2017-11-22,07:00:00,5.81,5.93,5.8,5.88
2017-11-22,08:00:00,5.86,5.89,5.83,5.83
2017-11-22,09:00:00,5.83,5.85,5.77,5.77
2017-11-23,06:00:00,5.82,5.84,5.79,5.82
2017-11-23,07:00:00,5.82,5.82,5.78,5.8
2017-11-23,08:00:00,5.81,5.81,5.79,5.8
2017-11-23,09:00:00,5.79,5.79,5.75,5.75
2017-11-23,10:00:00,5.75,5.75,5.75,5.75
2017-11-26,06:00:00,5.76,5.79,5.67,5.7
2017-11-26,07:00:00,5.71,5.71,5.69,5.71
2017-11-26,08:00:00,5.72,5.76,5.72,5.75
2017-11-26,09:00:00,5.74,5.78,5.73,5.78
2017-11-27,06:00:00,5.78,5.79,5.74,5.75
2017-11-27,07:00:00,5.76,5.83,5.76,5.82
2017-11-27,08:00:00,5.82,5.86,5.82,5.85
2017-11-27,09:00:00,5.85,5.85,5.83,5.85
2017-11-28,06:00:00,5.83,5.9,5.83,5.89
2017-11-28,07:00:00,5.89,5.89,5.83,5.83
2017-11-28,08:00:00,5.83,5.85,5.81,5.81
2017-11-28,09:00:00,5.81,5.81,5.77,5.8
2017-11-29,06:00:00,5.81,5.81,5.77,5.78
2017-11-29,07:00:00,5.77,5.77,5.74,5.75
2017-11-29,08:00:00,5.75,5.76,5.67,5.7
2017-11-29,09:00:00,5.7,5.7,5.6,5.6
2017-11-29,10:00:00,5.6,5.6,5.6,5.6
2017-12-04,06:00:00,5.65,5.65,5.62,5.62
2017-12-04,07:00:00,5.62,5.65,5.6,5.65
2017-12-04,08:00:00,5.65,5.65,5.62,5.64
2017-12-04,09:00:00,5.63,5.64,5.61,5.63
2017-12-05,06:00:00,5.62,5.62,5.56,5.58
2017-12-05,07:00:00,5.59,5.6,5.57,5.59
2017-12-05,08:00:00,5.6,5.62,5.59,5.6
2017-12-05,09:00:00,5.6,5.63,5.58,5.62
2017-12-06,06:00:00,5.57,5.61,5.57,5.6
2017-12-06,07:00:00,5.58,5.59,5.56,5.56
2017-12-06,08:00:00,5.56,5.56,5.55,5.56
2017-12-06,09:00:00,5.56,5.56,5.52,5.55
2017-12-07,06:00:00,5.52,5.54,5.48,5.49
2017-12-07,07:00:00,5.5,5.5,5.43,5.44
2017-12-07,08:00:00,5.44,5.45,5.41,5.42
2017-12-07,09:00:00,5.42,5.42,5.34,5.34
2017-12-10,06:00:00,5.36,5.36,5.35,5.35
2017-12-10,07:00:00,5.36,5.4,5.34,5.36
2017-12-10,08:00:00,5.36,5.36,5.31,5.34
2017-12-10,09:00:00,5.34,5.35,5.31,5.35
2017-12-11,06:00:00,5.4,5.49,5.4,5.43
2017-12-11,07:00:00,5.42,5.45,5.41,5.45
2017-12-11,08:00:00,5.48,5.51,5.48,5.5
2017-12-11,09:00:00,5.49,5.51,5.49,5.49
2017-12-12,06:00:00,5.49,5.55,5.49,5.55
2017-12-12,07:00:00,5.51,5.51,5.5,5.5
2017-12-12,08:00:00,5.5,5.5,5.49,5.49
2017-12-12,09:00:00,5.49,5.54,5.49,5.5
2017-12-13,06:00:00,5.45,5.5,5.45,5.47
2017-12-13,07:00:00,5.44,5.45,5.4,5.45
2017-12-13,08:00:00,5.45,5.45,5.4,5.4
2017-12-13,09:00:00,5.4,5.4,5.38,5.38
2017-12-14,06:00:00,5.38,5.38,5.35,5.35
2017-12-14,07:00:00,5.37,5.37,5.35,5.35
2017-12-14,08:00:00,5.35,5.4,5.35,5.36
2017-12-14,09:00:00,5.38,5.38,5.3,5.3
2017-12-17,06:00:00,5.3,5.31,5.28,5.28
2017-12-17,07:00:00,5.29,5.31,5.29,5.3
2017-12-17,08:00:00,5.3,5.33,5.3,5.31
2017-12-17,09:00:00,5.32,5.32,5.31,5.31
2017-12-18,06:00:00,5.31,5.31,5.31,5.31
2017-12-18,07:00:00,5.31,5.37,5.31,5.34
2017-12-18,08:00:00,5.33,5.33,5.31,5.31
2017-12-18,09:00:00,5.31,5.32,5.3,5.32
2017-12-19,06:00:00,5.32,5.32,5.3,5.3
2017-12-19,07:00:00,5.3,5.35,5.29,5.3
2017-12-19,08:00:00,5.29,5.29,5.27,5.27
2017-12-19,09:00:00,5.27,5.27,5.22,5.22
2017-12-20,06:00:00,5.21,5.21,5.15,5.17
2017-12-20,07:00:00,5.17,5.17,5.13,5.16
2017-12-20,08:00:00,5.16,5.17,5.15,5.15
2017-12-20,09:00:00,5.15,5.17,5.15,5.15
2017-12-21,06:00:00,5.15,5.19,5.13,5.13
2017-12-21,07:00:00,5.19,5.19,5.13,5.15
2017-12-21,08:00:00,5.15,5.15,5.1,5.14
2017-12-21,09:00:00,5.14,5.15,5.08,5.08
2017-12-24,06:00:00,5.13,5.13,5.13,5.13
2017-12-24,07:00:00,5.07,5.08,5.06,5.08
2017-12-24,08:00:00,5.08,5.12,5.05,5.12
2017-12-24,09:00:00,5.1,5.14,5.1,5.13
2017-12-26,06:00:00,5.11,5.11,5.11,5.11
2017-12-26,07:00:00,5.1,5.1,5.07,5.07
2017-12-26,08:00:00,5.07,5.08,5.01,5.07
2017-12-26,09:00:00,5.07,5.07,5.03,5.03
2017-12-27,06:00:00,5.09,5.09,5.0,5.02
2017-12-27,07:00:00,5.02,5.03,5.02,5.03
2017-12-27,08:00:00,5.03,5.05,5.03,5.04
2017-12-27,09:00:00,5.03,5.05,5.0,5.02
2017-12-28,06:00:00,5.02,5.09,5.02,5.03
2017-12-28,07:00:00,5.02,5.08,5.02,5.06
2017-12-28,08:00:00,5.05,5.06,5.04,5.06
2017-12-28,09:00:00,5.06,5.09,5.06,5.09
2018-01-03,06:00:00,5.28,5.35,5.28,5.35
2018-01-03,07:00:00,5.32,5.42,5.32,5.42
2018-01-03,08:00:00,5.43,5.5,5.43,5.47
