Date,Time,open,high,low,close
2018-01-29,06:00:00,0.76,0.76,0.665,0.76
2018-01-30,06:00:00,0.873,0.874,0.82,0.874
2018-01-30,07:00:00,0.874,0.874,0.873,0.874
2018-01-30,08:00:00,0.874,0.874,0.874,0.874
2018-01-31,06:00:00,0.94,0.94,0.822,0.889
2018-01-31,07:00:00,0.88,0.885,0.865,0.883
2018-01-31,08:00:00,0.879,0.882,0.831,0.831
2018-01-31,09:00:00,0.832,0.839,0.787,0.787
2018-02-01,06:00:00,0.788,0.818,0.76,0.803
2018-02-01,07:00:00,0.8,0.802,0.781,0.79
2018-02-01,08:00:00,0.781,0.799,0.767,0.791
2018-02-01,09:00:00,0.796,0.87,0.793,0.851
2018-02-04,06:00:00,0.85,0.95,0.85,0.91
2018-02-04,07:00:00,0.91,0.928,0.9,0.925
2018-02-04,08:00:00,0.928,0.934,0.924,0.932
2018-02-04,09:00:00,0.929,0.96,0.918,0.96
2018-02-05,06:00:00,0.97,0.983,0.925,0.939
2018-02-05,07:00:00,0.934,0.948,0.906,0.916
2018-02-05,08:00:00,0.914,0.914,0.864,0.864
2018-02-05,09:00:00,0.864,0.864,0.864,0.864
2018-02-06,06:00:00,0.8,0.827,0.78,0.811
2018-02-06,07:00:00,0.81,0.818,0.785,0.793
2018-02-06,08:00:00,0.793,0.822,0.793,0.819
2018-02-06,09:00:00,0.82,0.843,0.812,0.831
2018-02-07,06:00:00,0.842,0.848,0.79,0.79
2018-02-07,07:00:00,0.79,0.807,0.79,0.8
2018-02-07,08:00:00,0.796,0.796,0.748,0.748
2018-02-07,09:00:00,0.748,0.758,0.748,0.748
2018-02-07,10:00:00,0.748,0.748,0.748,0.748
2018-02-08,06:00:00,0.757,0.758,0.72,0.748
2018-02-08,07:00:00,0.748,0.754,0.738,0.745
2018-02-08,08:00:00,0.74,0.755,0.735,0.75
2018-02-08,09:00:00,0.75,0.756,0.742,0.75
2018-02-11,06:00:00,0.74,0.753,0.715,0.721
2018-02-11,07:00:00,0.718,0.723,0.675,0.683
2018-02-11,08:00:00,0.68,0.68,0.675,0.675
2018-02-11,09:00:00,0.675,0.675,0.675,0.675
2018-02-12,06:00:00,0.666,0.679,0.643,0.65
2018-02-12,07:00:00,0.657,0.68,0.65,0.68
2018-02-12,08:00:00,0.678,0.678,0.65,0.659
2018-02-12,09:00:00,0.655,0.655,0.608,0.625
2018-02-12,10:00:00,0.625,0.625,0.625,0.625
2018-02-13,06:00:00,0.64,0.655,0.625,0.635
2018-02-13,07:00:00,0.633,0.643,0.59,0.59
2018-02-13,08:00:00,0.581,0.599,0.571,0.578
2018-02-13,09:00:00,0.576,0.582,0.568,0.569
2018-02-13,10:00:00,0.569,0.569,0.569,0.569
2018-02-14,06:00:00,0.57,0.593,0.538,0.544
2018-02-14,07:00:00,0.544,0.57,0.536,0.554
2018-02-14,08:00:00,0.554,0.584,0.554,0.567
2018-02-14,09:00:00,0.566,0.593,0.557,0.59
2018-02-15,06:00:00,0.6,0.612,0.587,0.595
2018-02-15,07:00:00,0.594,0.597,0.588,0.592
2018-02-15,08:00:00,0.589,0.605,0.572,0.6
2018-02-15,09:00:00,0.6,0.605,0.59,0.592
2018-02-18,06:00:00,0.6,0.6,0.577,0.584
2018-02-18,07:00:00,0.581,0.581,0.553,0.556
2018-02-18,08:00:00,0.558,0.567,0.539,0.54
2018-02-18,09:00:00,0.538,0.539,0.533,0.533
2018-02-19,06:00:00,0.531,0.545,0.515,0.538
2018-02-19,07:00:00,0.538,0.549,0.535,0.54
2018-02-19,08:00:00,0.539,0.546,0.53,0.53
2018-02-19,09:00:00,0.529,0.533,0.52,0.529
2018-02-19,10:00:00,0.529,0.529,0.529,0.529
2018-02-20,06:00:00,0.53,0.534,0.525,0.533
2018-02-20,07:00:00,0.528,0.531,0.523,0.529
2018-02-20,08:00:00,0.526,0.527,0.515,0.526
2018-02-20,09:00:00,0.521,0.533,0.516,0.53
2018-02-21,06:00:00,0.525,0.539,0.518,0.536
2018-02-21,07:00:00,0.532,0.538,0.53,0.538
2018-02-21,08:00:00,0.538,0.543,0.529,0.534
2018-02-21,09:00:00,0.533,0.536,0.52,0.52
2018-02-21,10:00:00,0.52,0.52,0.52,0.52
2018-02-22,06:00:00,0.52,0.526,0.504,0.515
2018-02-22,07:00:00,0.511,0.515,0.507,0.507
2018-02-22,08:00:00,0.51,0.512,0.5,0.506
2018-02-22,09:00:00,0.505,0.511,0.502,0.506
2018-02-25,06:00:00,0.505,0.519,0.5,0.511
2018-02-25,07:00:00,0.513,0.513,0.504,0.509
2018-02-25,08:00:00,0.507,0.512,0.503,0.512
2018-02-25,09:00:00,0.509,0.51,0.495,0.495
2018-02-26,06:00:00,0.492,0.498,0.488,0.488
2018-02-26,07:00:00,0.487,0.487,0.475,0.48
2018-02-26,08:00:00,0.478,0.483,0.47,0.473
2018-02-26,09:00:00,0.474,0.497,0.47,0.497
2018-02-27,06:00:00,0.452,0.455,0.448,0.448
2018-02-27,07:00:00,0.448,0.448,0.448,0.448
2018-02-27,08:00:00,0.448,0.448,0.448,0.448
2018-02-27,09:00:00,0.448,0.448,0.448,0.448
2018-02-28,06:00:00,0.432,0.452,0.42,0.446
2018-02-28,07:00:00,0.444,0.454,0.437,0.453
2018-02-28,08:00:00,0.453,0.453,0.44,0.446
2018-02-28,09:00:00,0.445,0.452,0.439,0.451
2018-03-01,06:00:00,0.45,0.455,0.445,0.452
2018-03-01,07:00:00,0.451,0.453,0.447,0.452
2018-03-01,08:00:00,0.452,0.453,0.448,0.45
