Date,Time,open,high,low,close
2011-10-30,06:00:00,0.623,0.634,0.616,0.634
2011-10-30,07:00:00,0.633,0.633,0.633,0.633
2011-10-30,08:00:00,0.633,0.638,0.633,0.637
2011-10-30,09:00:00,0.631,0.64,0.63,0.64
2011-10-30,10:00:00,0.64,0.64,0.64,0.64
2011-10-31,06:00:00,0.643,0.643,0.635,0.635
2011-10-31,07:00:00,0.626,0.635,0.619,0.63
2011-10-31,08:00:00,0.62,0.629,0.611,0.629
2011-10-31,09:00:00,0.618,0.63,0.617,0.63
2011-10-31,10:00:00,0.63,0.63,0.63,0.63
2011-11-01,07:00:00,0.607,0.608,0.605,0.605
2011-11-01,08:00:00,0.605,0.605,0.604,0.604
2011-11-01,09:00:00,0.612,0.612,0.612,0.612
2011-11-01,10:00:00,0.612,0.612,0.612,0.612
2011-11-02,06:00:00,0.601,0.617,0.601,0.617
2011-11-02,07:00:00,0.602,0.602,0.601,0.601
2011-11-02,08:00:00,0.615,0.615,0.606,0.615
2011-11-02,09:00:00,0.608,0.615,0.608,0.615
2011-11-02,10:00:00,0.615,0.615,0.615,0.615
2011-11-03,08:00:00,0.606,0.606,0.606,0.606
2011-11-03,09:00:00,0.615,0.615,0.615,0.615
2011-11-03,10:00:00,0.615,0.615,0.615,0.615
2011-11-09,09:00:00,0.61,0.61,0.61,0.61
2011-11-09,10:00:00,0.61,0.61,0.61,0.61
2011-11-10,08:00:00,0.609,0.61,0.6,0.6
2011-11-10,10:00:00,0.6,0.6,0.6,0.6
2011-11-13,10:00:00,0.62,0.62,0.62,0.62
2011-11-14,09:00:00,0.606,0.619,0.606,0.619
2011-11-14,10:00:00,0.619,0.619,0.619,0.619
2011-11-15,06:00:00,0.6,0.62,0.6,0.62
2011-11-15,08:00:00,0.61,0.61,0.606,0.606
2011-11-15,09:00:00,0.606,0.616,0.606,0.616
2011-11-15,10:00:00,0.616,0.616,0.616,0.616
2011-11-16,06:00:00,0.607,0.608,0.607,0.608
2011-11-16,08:00:00,0.608,0.608,0.603,0.603
2011-11-16,09:00:00,0.615,0.615,0.615,0.615
2011-11-16,10:00:00,0.615,0.615,0.615,0.615
2011-11-17,08:00:00,0.606,0.606,0.605,0.605
2011-11-17,09:00:00,0.605,0.606,0.605,0.606
2011-11-17,10:00:00,0.606,0.606,0.606,0.606
2011-11-20,06:00:00,0.612,0.612,0.601,0.601
2011-11-20,07:00:00,0.601,0.601,0.585,0.585
2011-11-20,08:00:00,0.6,0.6,0.6,0.6
2011-11-20,09:00:00,0.6,0.607,0.594,0.607
2011-11-20,10:00:00,0.607,0.607,0.607,0.607
2011-11-21,07:00:00,0.592,0.592,0.592,0.592
2011-11-21,09:00:00,0.597,0.597,0.596,0.596
2011-11-21,10:00:00,0.596,0.596,0.596,0.596
2011-11-22,07:00:00,0.585,0.601,0.585,0.601
2011-11-22,08:00:00,0.595,0.595,0.594,0.594
2011-11-22,09:00:00,0.593,0.599,0.593,0.595
2011-11-22,10:00:00,0.595,0.595,0.595,0.595
2011-11-23,08:00:00,0.586,0.588,0.585,0.586
2011-11-23,09:00:00,0.596,0.596,0.596,0.596
2011-11-23,10:00:00,0.596,0.596,0.596,0.596
2011-11-24,09:00:00,0.593,0.597,0.59,0.597
2011-11-24,10:00:00,0.597,0.597,0.597,0.597
2011-11-27,08:00:00,0.595,0.595,0.595,0.595
2011-11-27,09:00:00,0.596,0.596,0.591,0.591
2011-11-27,10:00:00,0.591,0.591,0.591,0.591
2011-11-28,07:00:00,0.585,0.585,0.585,0.585
2011-11-28,08:00:00,0.597,0.597,0.597,0.597
2011-11-28,09:00:00,0.597,0.6,0.597,0.6
2011-11-28,10:00:00,0.6,0.6,0.6,0.6
2011-11-29,09:00:00,0.59,0.597,0.588,0.597
2011-11-29,10:00:00,0.597,0.597,0.597,0.597
2011-11-30,08:00:00,0.588,0.588,0.585,0.585
2011-11-30,09:00:00,0.585,0.592,0.585,0.592
2011-11-30,10:00:00,0.597,0.597,0.592,0.592
2011-12-04,06:00:00,0.6,0.615,0.6,0.603
2011-12-04,07:00:00,0.605,0.605,0.604,0.604
2011-12-04,08:00:00,0.61,0.61,0.61,0.61
2011-12-04,09:00:00,0.61,0.613,0.61,0.613
2011-12-04,10:00:00,0.613,0.613,0.613,0.613
2011-12-05,07:00:00,0.603,0.603,0.602,0.602
2011-12-05,09:00:00,0.605,0.605,0.6,0.604
2011-12-05,10:00:00,0.604,0.604,0.604,0.604
2011-12-06,06:00:00,0.58,0.597,0.572,0.597
2011-12-06,09:00:00,0.597,0.599,0.587,0.599
2011-12-06,10:00:00,0.599,0.599,0.599,0.599
2011-12-07,06:00:00,0.601,0.601,0.601,0.601
2011-12-07,07:00:00,0.601,0.601,0.588,0.588
2011-12-07,08:00:00,0.59,0.599,0.582,0.582
2011-12-07,09:00:00,0.597,0.597,0.597,0.597
2011-12-07,10:00:00,0.597,0.597,0.597,0.597
2011-12-08,07:00:00,0.583,0.586,0.58,0.585
2011-12-08,09:00:00,0.597,0.597,0.597,0.597
2011-12-08,10:00:00,0.597,0.597,0.597,0.597
2011-12-11,06:00:00,0.598,0.598,0.598,0.598
2011-12-11,07:00:00,0.598,0.598,0.598,0.598
2011-12-11,09:00:00,0.59,0.59,0.589,0.589
2011-12-11,10:00:00,0.589,0.589,0.589,0.589
2011-12-12,07:00:00,0.585,0.6,0.58,0.6
2011-12-12,08:00:00,0.58,0.58,0.572,0.572
2011-12-12,09:00:00,0.59,0.597,0.59,0.593
2011-12-12,10:00:00,0.593,0.593,0.593,0.593
2011-12-13,06:00:00,0.581,0.581,0.58,0.58
2011-12-13,07:00:00,0.585,0.585,0.585,0.585
2011-12-13,08:00:00,0.592,0.592,0.592,0.592
2011-12-13,10:00:00,0.592,0.592,0.592,0.592
2011-12-14,09:00:00,0.583,0.595,0.583,0.595
2011-12-14,10:00:00,0.595,0.595,0.595,0.595
2011-12-15,09:00:00,0.588,0.59,0.576,0.58
2011-12-15,10:00:00,0.58,0.58,0.58,0.58
2011-12-18,10:00:00,0.579,0.579,0.579,0.579
2011-12-19,08:00:00,0.57,0.586,0.56,0.57
2011-12-19,09:00:00,0.57,0.58,0.56,0.58
2011-12-19,10:00:00,0.58,0.58,0.58,0.58
2011-12-20,06:00:00,0.545,0.545,0.545,0.545
2011-12-20,09:00:00,0.574,0.575,0.574,0.575
2011-12-20,10:00:00,0.575,0.575,0.575,0.575
2011-12-21,06:00:00,0.575,0.58,0.57,0.57
2011-12-21,07:00:00,0.57,0.57,0.57,0.57
2011-12-21,08:00:00,0.57,0.57,0.57,0.57
2011-12-21,10:00:00,0.57,0.57,0.57,0.57
2011-12-22,09:00:00,0.54,0.57,0.54,0.57
2011-12-22,10:00:00,0.57,0.57,0.57,0.57
2011-12-25,08:00:00,0.56,0.56,0.56,0.56
2011-12-25,09:00:00,0.56,0.56,0.553,0.553
