Date,Time,open,high,low,close
2014-11-30,06:00:00,0.8,0.99,0.8,0.86
2014-11-30,07:00:00,0.86,0.86,0.79,0.81
2014-11-30,08:00:00,0.818,0.86,0.8,0.85
2014-11-30,09:00:00,0.845,0.91,0.845,0.874
2014-11-30,10:00:00,0.88,0.88,0.88,0.88
2014-12-01,06:00:00,0.861,0.9,0.853,0.89
2014-12-01,07:00:00,0.89,0.93,0.89,0.92
2014-12-01,08:00:00,0.925,0.955,0.925,0.93
2014-12-01,09:00:00,0.944,0.974,0.943,0.97
2014-12-01,10:00:00,0.98,0.98,0.98,0.98
2014-12-04,06:00:00,0.99,1.01,0.98,0.997
2014-12-04,07:00:00,0.993,0.996,0.985,0.99
2014-12-04,08:00:00,0.99,0.99,0.963,0.963
2014-12-04,09:00:00,0.965,0.985,0.963,0.985
2014-12-04,10:00:00,0.965,0.965,0.965,0.965
2014-12-07,06:00:00,0.95,0.97,0.95,0.97
2014-12-07,07:00:00,0.96,0.96,0.93,0.95
2014-12-07,08:00:00,0.95,0.951,0.943,0.945
2014-12-07,09:00:00,0.945,0.949,0.93,0.93
2014-12-07,10:00:00,0.935,0.935,0.935,0.935
2014-12-08,06:00:00,0.93,0.93,0.918,0.923
2014-12-08,07:00:00,0.923,0.928,0.916,0.918
2014-12-08,08:00:00,0.918,0.925,0.888,0.89
2014-12-08,09:00:00,0.89,0.928,0.889,0.928
2014-12-08,10:00:00,0.928,0.928,0.928,0.928
2014-12-09,06:00:00,0.924,0.924,0.86,0.888
2014-12-09,07:00:00,0.91,0.91,0.888,0.888
2014-12-09,08:00:00,0.888,0.888,0.86,0.87
2014-12-09,09:00:00,0.886,0.908,0.886,0.908
2014-12-09,10:00:00,0.907,0.907,0.907,0.907
2014-12-10,06:00:00,0.899,0.96,0.87,0.906
2014-12-10,07:00:00,0.91,0.91,0.89,0.9
2014-12-10,08:00:00,0.891,0.891,0.881,0.881
2014-12-10,09:00:00,0.881,0.89,0.875,0.89
2014-12-10,10:00:00,0.88,0.88,0.88,0.88
