Date,Time,open,high,low,close
2011-10-30,06:00:00,0.587785,0.587785,0.573511,0.573511
2011-10-30,07:00:00,0.583587,0.595343,0.583587,0.595343
2011-10-30,08:00:00,0.592824,0.595343,0.592824,0.594503
2011-10-30,09:00:00,0.589465,0.591984,0.586106,0.586106
2011-10-30,10:00:00,0.586106,0.586106,0.586106,0.586106
2011-10-31,06:00:00,0.583587,0.583587,0.580228,0.580228
2011-10-31,07:00:00,0.583587,0.587785,0.579388,0.587785
2011-10-31,08:00:00,0.586946,0.587785,0.580228,0.583587
2011-10-31,09:00:00,0.583587,0.583587,0.581068,0.581068
2011-10-31,10:00:00,0.581068,0.581068,0.581068,0.581068
2011-11-01,06:00:00,0.570992,0.570992,0.570992,0.570992
2011-11-01,07:00:00,0.571831,0.571831,0.570992,0.570992
2011-11-01,08:00:00,0.57519,0.579388,0.57519,0.579388
2011-11-01,09:00:00,0.579388,0.586106,0.579388,0.586106
2011-11-01,10:00:00,0.586106,0.586106,0.586106,0.586106
2011-11-02,06:00:00,0.562595,0.562595,0.562595,0.562595
2011-11-02,07:00:00,0.583587,0.584427,0.571831,0.584427
2011-11-02,08:00:00,0.572671,0.57435,0.572671,0.57435
2011-11-02,09:00:00,0.57603,0.57603,0.57603,0.57603
2011-11-02,10:00:00,0.57603,0.57603,0.57603,0.57603
2011-11-03,06:00:00,0.571831,0.571831,0.562595,0.562595
2011-11-03,08:00:00,0.573511,0.573511,0.573511,0.573511
2011-11-03,09:00:00,0.57603,0.591144,0.57603,0.591144
2011-11-03,10:00:00,0.591144,0.591144,0.591144,0.591144
2011-11-09,10:00:00,0.591144,0.591144,0.591144,0.591144
2011-11-10,07:00:00,0.587785,0.587785,0.587785,0.587785
2011-11-10,08:00:00,0.586946,0.586946,0.570992,0.570992
2011-11-10,09:00:00,0.570992,0.587785,0.570992,0.587785
2011-11-10,10:00:00,0.587785,0.587785,0.587785,0.587785
