Date,Time,open,high,low,close
2022-09-29,06:00:00,2.4,2.41,2.25,2.27
2022-09-29,07:00:00,2.27,2.28,2.23,2.23
2022-09-29,08:00:00,2.23,2.26,2.22,2.24
2022-09-29,09:00:00,2.25,2.26,2.24,2.24
2022-09-29,10:00:00,2.24,2.25,2.21,2.22
2022-09-30,06:00:00,2.22,2.25,2.21,2.22
2022-09-30,07:00:00,2.22,2.24,2.22,2.22
2022-09-30,08:00:00,2.22,2.23,2.22,2.23
2022-09-30,09:00:00,2.22,2.23,2.21,2.23
2022-09-30,10:00:00,2.22,2.22,2.2,2.2
2022-10-03,06:00:00,2.2,2.23,2.2,2.22
2022-10-03,07:00:00,2.22,2.23,2.2,2.2
2022-10-03,08:00:00,2.2,2.21,2.19,2.2
2022-10-03,09:00:00,2.2,2.21,2.2,2.21
2022-10-03,10:00:00,2.2,2.21,2.19,2.2
2022-10-04,06:00:00,2.21,2.28,2.21,2.27
2022-10-04,07:00:00,2.26,2.29,2.26,2.27
2022-10-04,08:00:00,2.28,2.28,2.26,2.27
2022-10-04,09:00:00,2.26,2.27,2.26,2.27
2022-10-04,10:00:00,2.27,2.28,2.24,2.28
2022-10-05,06:00:00,2.29,2.29,2.27,2.28
2022-10-05,07:00:00,2.28,2.28,2.26,2.27
2022-10-05,08:00:00,2.27,2.27,2.24,2.25
2022-10-05,09:00:00,2.25,2.26,2.24,2.26
2022-10-05,10:00:00,2.26,2.26,2.24,2.26
2022-10-06,06:00:00,2.25,2.26,2.24,2.24
2022-10-06,07:00:00,2.25,2.25,2.24,2.24
2022-10-06,08:00:00,2.25,2.26,2.23,2.26
2022-10-06,09:00:00,2.26,2.27,2.25,2.26
2022-10-06,10:00:00,2.27,2.27,2.25,2.26
2022-10-07,06:00:00,2.26,2.27,2.25,2.25
2022-10-07,07:00:00,2.26,2.26,2.25,2.26
2022-10-07,08:00:00,2.26,2.27,2.25,2.26
2022-10-07,09:00:00,2.27,2.27,2.26,2.27
2022-10-07,10:00:00,2.26,2.27,2.26,2.27
2022-10-10,06:00:00,2.26,2.26,2.25,2.25
2022-10-10,07:00:00,2.26,2.26,2.24,2.25
2022-10-10,08:00:00,2.25,2.26,2.24,2.25
2022-10-10,09:00:00,2.24,2.26,2.24,2.26
2022-10-10,10:00:00,2.25,2.26,2.25,2.26
2022-10-11,06:00:00,2.25,2.26,2.24,2.25
2022-10-11,07:00:00,2.24,2.25,2.23,2.24
2022-10-11,08:00:00,2.24,2.25,2.24,2.25
2022-10-11,09:00:00,2.25,2.26,2.24,2.26
2022-10-11,10:00:00,2.25,2.27,2.25,2.26
2022-10-12,06:00:00,2.26,2.26,2.24,2.24
2022-10-12,07:00:00,2.25,2.25,2.23,2.24
2022-10-12,08:00:00,2.24,2.25,2.23,2.25
2022-10-12,09:00:00,2.25,2.25,2.24,2.25
2022-10-12,10:00:00,2.25,2.25,2.24,2.25
2022-10-13,06:00:00,2.25,2.25,2.24,2.25
2022-10-13,07:00:00,2.24,2.25,2.23,2.24
2022-10-13,08:00:00,2.24,2.25,2.23,2.23
2022-10-13,09:00:00,2.23,2.24,2.23,2.24
2022-10-13,10:00:00,2.23,2.24,2.21,2.24
2022-10-14,06:00:00,2.24,2.25,2.23,2.24
2022-10-14,07:00:00,2.23,2.24,2.23,2.23
2022-10-14,08:00:00,2.24,2.25,2.24,2.25
2022-10-14,09:00:00,2.24,2.25,2.24,2.25
2022-10-14,10:00:00,2.25,2.25,2.23,2.24
2022-10-17,06:00:00,2.24,2.25,2.23,2.24
2022-10-17,07:00:00,2.24,2.24,2.23,2.24
2022-10-17,08:00:00,2.24,2.25,2.23,2.23
2022-10-17,09:00:00,2.24,2.24,2.23,2.23
2022-10-17,10:00:00,2.23,2.25,2.23,2.24
2022-10-18,06:00:00,2.24,2.24,2.23,2.23
2022-10-18,07:00:00,2.24,2.25,2.23,2.24
2022-10-18,08:00:00,2.24,2.26,2.24,2.25
2022-10-18,09:00:00,2.25,2.26,2.24,2.26
2022-10-18,10:00:00,2.26,2.26,2.25,2.26
2022-10-19,06:00:00,2.24,2.26,2.24,2.26
2022-10-19,07:00:00,2.25,2.25,2.24,2.24
2022-10-19,08:00:00,2.25,2.25,2.24,2.25
2022-10-19,09:00:00,2.25,2.26,2.24,2.24
2022-10-19,10:00:00,2.25,2.25,2.24,2.24
2022-10-20,06:00:00,2.23,2.25,2.23,2.25
2022-10-20,07:00:00,2.24,2.25,2.24,2.25
2022-10-20,08:00:00,2.24,2.25,2.24,2.25
2022-10-20,09:00:00,2.24,2.25,2.24,2.25
2022-10-20,10:00:00,2.25,2.26,2.24,2.24
2022-10-21,06:00:00,2.25,2.26,2.23,2.25
2022-10-21,07:00:00,2.25,2.25,2.24,2.24
2022-10-21,08:00:00,2.25,2.25,2.24,2.24
2022-10-21,09:00:00,2.24,2.25,2.23,2.24
2022-10-21,10:00:00,2.24,2.26,2.23,2.23
2022-10-24,06:00:00,2.24,2.26,2.24,2.26
2022-10-24,07:00:00,2.26,2.26,2.25,2.25
2022-10-24,08:00:00,2.25,2.26,2.25,2.25
2022-10-24,09:00:00,2.26,2.27,2.25,2.25
2022-10-24,10:00:00,2.27,2.3,2.25,2.3
2022-10-25,06:00:00,2.3,2.3,2.26,2.27
2022-10-25,07:00:00,2.27,2.29,2.26,2.27
2022-10-25,08:00:00,2.27,2.28,2.27,2.27
2022-10-25,09:00:00,2.27,2.28,2.27,2.27
2022-10-25,10:00:00,2.28,2.29,2.27,2.28
2022-10-26,06:00:00,2.28,2.29,2.27,2.28
2022-10-26,07:00:00,2.28,2.29,2.27,2.27
2022-10-26,08:00:00,2.27,2.29,2.27,2.27
2022-10-26,09:00:00,2.27,2.28,2.26,2.26
2022-10-26,10:00:00,2.26,2.27,2.26,2.26
2022-10-27,06:00:00,2.25,2.27,2.25,2.27
2022-10-27,07:00:00,2.27,2.27,2.26,2.26
2022-10-27,08:00:00,2.27,2.3,2.26,2.29
2022-10-27,09:00:00,2.29,2.3,2.28,2.3
2022-10-27,10:00:00,2.3,2.31,2.29,2.31
2022-10-28,06:00:00,2.28,2.3,2.28,2.3
2022-10-28,07:00:00,2.29,2.29,2.28,2.28
2022-10-28,08:00:00,2.28,2.29,2.27,2.28
2022-10-28,09:00:00,2.29,2.29,2.28,2.28
2022-10-28,10:00:00,2.29,2.29,2.28,2.29
2022-10-31,06:00:00,2.29,2.3,2.28,2.29
2022-10-31,07:00:00,2.29,2.3,2.29,2.3
2022-10-31,08:00:00,2.29,2.3,2.29,2.3
2022-10-31,09:00:00,2.29,2.3,2.28,2.28
2022-10-31,10:00:00,2.29,2.31,2.28,2.29
