Date,Time,open,high,low,close
2023-03-05,08:00:00,1870,1890,1870,1890
2023-03-05,13:00:00,1898,1898,1898,1898
2023-03-06,14:00:00,1910,1910,1910,1910
2023-03-06,15:00:00,1910,1910,1910,1910
2023-03-08,15:00:00,1920,1920,1920,1920
2023-03-09,15:00:00,1920,1920,1920,1920
2023-03-12,13:00:00,1920,1920,1920,1920
2023-03-13,08:00:00,1920,1920,1920,1920
2023-03-13,15:00:00,1920,1920,1920,1920
2023-03-14,08:00:00,1857,1857,1833,1833
2023-03-14,12:00:00,1839,1839,1839,1839
2023-03-14,15:00:00,1918,1918,1918,1918
2023-03-15,08:00:00,1919,1919,1919,1919
2023-03-15,10:00:00,1919,1919,1919,1919
2023-03-15,15:00:00,1919,1919,1919,1919
2023-03-16,15:00:00,1920,1978,1920,1968
2023-03-19,12:00:00,1880,1880,1871,1871
2023-03-19,13:00:00,1942,1942,1942,1942
2023-03-20,08:00:00,1978,1978,1978,1978
2023-03-20,15:00:00,1978,1978,1978,1978
2023-03-21,15:00:00,1983,1983,1983,1983
2023-03-22,15:00:00,1983,1983,1983,1983
2023-03-23,07:00:00,1950,1950,1950,1950
2023-03-23,08:00:00,1950,1950,1950,1950
2023-03-23,11:00:00,1900,1900,1900,1900
2023-03-23,12:00:00,1899,1944,1899,1943
2023-03-23,15:00:00,1944,1944,1944,1944
2023-03-26,12:00:00,1947,1947,1947,1947
2023-03-27,07:00:00,1902,1902,1891,1891
2023-03-27,08:00:00,1948,1948,1948,1948
2023-03-27,09:00:00,1949,1949,1948,1948
2023-03-27,14:00:00,1949,1949,1949,1949
2023-03-28,09:00:00,1948,1948,1948,1948
2023-03-28,14:00:00,1948,1948,1948,1948
2023-03-29,14:00:00,1937,1937,1937,1937
2023-03-30,14:00:00,1946,1946,1946,1946
2023-04-02,07:00:00,1990,1993,1966,1993
2023-04-02,08:00:00,1993,1993,1966,1966
2023-04-02,09:00:00,1966,1966,1966,1966
2023-04-02,10:00:00,1966,1966,1966,1966
2023-04-02,12:00:00,1911,1911,1911,1911
2023-04-03,14:00:00,1994,1994,1994,1994
2023-04-04,14:00:00,1994,1994,1994,1994
2023-04-09,11:00:00,1994,1994,1994,1994
2023-04-10,11:00:00,1994,1994,1994,1994
2023-04-13,14:00:00,1994,1994,1994,1994
2023-04-16,12:00:00,1903,1974,1878,1974
2023-04-17,07:00:00,1970,1970,1970,1970
2023-04-17,08:00:00,1970,1970,1970,1970
2023-04-17,09:00:00,1934,1934,1930,1930
2023-04-17,10:00:00,1930,1930,1930,1930
2023-04-17,11:00:00,1930,1930,1930,1930
2023-04-17,12:00:00,1930,1930,1930,1930
2023-04-17,13:00:00,1930,1930,1908,1919
2023-04-17,14:00:00,1930,1930,1930,1930
2023-04-18,07:00:00,1970,1970,1970,1970
2023-04-18,08:00:00,1969,1969,1937,1937
2023-04-18,09:00:00,1937,1937,1937,1937
2023-04-18,10:00:00,1937,1937,1937,1937
2023-04-18,11:00:00,1937,1937,1937,1937
