Date,Time,open,high,low,close
2011-10-30,06:00:00,0.518,0.535,0.518,0.535
2011-10-30,08:00:00,0.53,0.53,0.53,0.53
2011-10-30,10:00:00,0.53,0.53,0.53,0.53
2011-10-31,06:00:00,0.525,0.525,0.525,0.525
2011-10-31,07:00:00,0.512,0.512,0.502,0.502
2011-10-31,08:00:00,0.52,0.52,0.52,0.52
2011-10-31,09:00:00,0.52,0.52,0.52,0.52
2011-10-31,10:00:00,0.52,0.52,0.52,0.52
2011-11-01,06:00:00,0.502,0.502,0.502,0.502
2011-11-01,07:00:00,0.502,0.502,0.497,0.5
2011-11-01,08:00:00,0.5,0.5,0.5,0.5
2011-11-01,10:00:00,0.5,0.5,0.5,0.5
2011-11-02,07:00:00,0.5,0.501,0.49,0.49
2011-11-02,09:00:00,0.5,0.5,0.5,0.5
2011-11-02,10:00:00,0.5,0.5,0.5,0.5
2011-11-03,09:00:00,0.5,0.5,0.5,0.5
2011-11-03,10:00:00,0.5,0.5,0.5,0.5
2011-11-09,07:00:00,0.5,0.5,0.5,0.5
2011-11-09,09:00:00,0.496,0.496,0.496,0.496
2011-11-09,10:00:00,0.496,0.496,0.496,0.496
2011-11-10,07:00:00,0.487,0.487,0.483,0.483
2011-11-10,09:00:00,0.49,0.49,0.49,0.49
2011-11-10,10:00:00,0.49,0.49,0.49,0.49
2011-11-13,10:00:00,0.49,0.49,0.49,0.49
2011-11-14,07:00:00,0.485,0.5,0.485,0.5
2011-11-14,08:00:00,0.49,0.49,0.49,0.49
2011-11-14,10:00:00,0.49,0.49,0.49,0.49
2011-11-15,10:00:00,0.49,0.49,0.49,0.49
2011-11-16,08:00:00,0.49,0.49,0.49,0.49
2011-11-16,10:00:00,0.49,0.49,0.49,0.49
2011-11-17,07:00:00,0.49,0.49,0.49,0.49
2011-11-17,09:00:00,0.49,0.5,0.49,0.5
2011-11-17,10:00:00,0.5,0.5,0.5,0.5
2011-11-20,09:00:00,0.483,0.483,0.463,0.48
2011-11-20,10:00:00,0.48,0.48,0.48,0.48
2011-11-21,06:00:00,0.47,0.47,0.47,0.47
2011-11-21,09:00:00,0.472,0.472,0.47,0.47
2011-11-21,10:00:00,0.47,0.47,0.47,0.47
2011-11-22,07:00:00,0.454,0.454,0.454,0.454
2011-11-22,10:00:00,0.454,0.454,0.454,0.454
2011-11-23,06:00:00,0.47,0.47,0.47,0.47
2011-11-23,08:00:00,0.47,0.47,0.47,0.47
2011-11-23,09:00:00,0.47,0.47,0.47,0.47
2011-11-23,10:00:00,0.47,0.47,0.47,0.47
