Date,Time,open,high,low,close
2011-10-30,06:00:00,1.84,1.85,1.84,1.84
2011-10-30,07:00:00,1.84,1.85,1.84,1.84
2011-10-30,08:00:00,1.84,1.86,1.84,1.86
2011-10-30,09:00:00,1.86,1.86,1.85,1.85
2011-10-30,10:00:00,1.85,1.85,1.85,1.85
2011-10-31,06:00:00,1.82,1.82,1.8,1.8
2011-10-31,07:00:00,1.8,1.82,1.8,1.8
2011-10-31,08:00:00,1.82,1.82,1.81,1.81
2011-10-31,09:00:00,1.81,1.87,1.8,1.8
2011-10-31,10:00:00,1.8,1.8,1.8,1.8
2011-11-01,06:00:00,1.8,1.8,1.79,1.79
2011-11-01,07:00:00,1.79,1.79,1.78,1.79
2011-11-01,08:00:00,1.8,1.8,1.8,1.8
2011-11-01,09:00:00,1.79,1.79,1.79,1.79
2011-11-01,10:00:00,1.79,1.79,1.79,1.79
2011-11-02,06:00:00,1.78,1.78,1.78,1.78
2011-11-02,07:00:00,1.78,1.78,1.77,1.77
2011-11-02,08:00:00,1.77,1.77,1.76,1.76
2011-11-02,09:00:00,1.77,1.8,1.76,1.76
2011-11-02,10:00:00,1.76,1.76,1.76,1.76
2011-11-03,06:00:00,1.76,1.76,1.76,1.76
2011-11-03,09:00:00,1.76,1.76,1.76,1.76
2011-11-03,10:00:00,1.79,1.79,1.79,1.79
2011-11-09,07:00:00,1.8,1.8,1.79,1.79
2011-11-09,08:00:00,1.79,1.8,1.79,1.8
2011-11-09,09:00:00,1.8,1.8,1.78,1.78
2011-11-09,10:00:00,1.78,1.78,1.78,1.78
2011-11-10,07:00:00,1.79,1.79,1.79,1.79
2011-11-10,09:00:00,1.8,1.82,1.8,1.82
2011-11-10,10:00:00,1.82,1.82,1.82,1.82
2011-11-13,08:00:00,1.83,1.83,1.83,1.83
2011-11-13,09:00:00,1.82,1.82,1.82,1.82
2011-11-13,10:00:00,1.82,1.82,1.82,1.82
2011-11-14,06:00:00,1.81,1.81,1.81,1.81
2011-11-14,07:00:00,1.81,1.81,1.81,1.81
2011-11-14,09:00:00,1.82,1.82,1.82,1.82
2011-11-14,10:00:00,1.82,1.82,1.82,1.82
2011-11-15,06:00:00,1.8,1.82,1.8,1.82
2011-11-15,08:00:00,1.82,1.82,1.82,1.82
2011-11-15,09:00:00,1.82,1.82,1.82,1.82
2011-11-15,10:00:00,1.82,1.82,1.82,1.82
2011-11-16,06:00:00,1.81,1.81,1.81,1.81
2011-11-16,07:00:00,1.81,1.81,1.81,1.81
2011-11-16,08:00:00,1.82,1.83,1.82,1.83
2011-11-16,09:00:00,1.82,1.82,1.82,1.82
2011-11-16,10:00:00,1.82,1.82,1.82,1.82
2011-11-17,06:00:00,1.81,1.81,1.81,1.81
2011-11-17,07:00:00,1.81,1.83,1.81,1.83
2011-11-17,08:00:00,1.82,1.82,1.82,1.82
2011-11-17,09:00:00,1.82,1.82,1.82,1.82
2011-11-17,10:00:00,1.82,1.82,1.82,1.82
2011-11-20,06:00:00,1.82,1.82,1.82,1.82
2011-11-20,07:00:00,1.82,1.84,1.82,1.84
2011-11-20,08:00:00,1.83,1.83,1.83,1.83
2011-11-20,09:00:00,1.82,1.82,1.82,1.82
2011-11-20,10:00:00,1.82,1.82,1.82,1.82
2011-11-21,06:00:00,1.82,1.82,1.82,1.82
2011-11-21,07:00:00,1.82,1.82,1.82,1.82
2011-11-21,08:00:00,1.83,1.83,1.83,1.83
2011-11-21,09:00:00,1.83,1.83,1.82,1.82
2011-11-21,10:00:00,1.82,1.82,1.82,1.82
2011-11-22,06:00:00,1.82,1.82,1.8,1.8
2011-11-22,08:00:00,1.8,1.82,1.8,1.82
2011-11-22,09:00:00,1.8,1.81,1.8,1.81
2011-11-22,10:00:00,1.81,1.81,1.81,1.81
2011-11-23,07:00:00,1.78,1.8,1.78,1.8
2011-11-23,08:00:00,1.8,1.8,1.79,1.8
2011-11-23,09:00:00,1.8,1.8,1.78,1.8
2011-11-23,10:00:00,1.8,1.8,1.8,1.8
