Date,Time,open,high,low,close
2011-10-30,06:00:00,1379.95,1400.25,1379.95,1396.5
2011-10-30,07:00:00,1397.17,1415.36,1396.6,1412.09
2011-10-30,08:00:00,1412.15,1426.28,1412.03,1423.06
2011-10-30,09:00:00,1422.34,1422.35,1412.41,1415.78
2011-10-31,06:00:00,1415.78,1416.18,1401.69,1401.69
2011-10-31,07:00:00,1401.66,1403.07,1398.13,1399.77
2011-10-31,08:00:00,1400.68,1406.9,1399.52,1403.62
2011-10-31,09:00:00,1404.58,1410.66,1404.58,1408.06
2011-11-01,06:00:00,1408.06,1408.06,1388.44,1389.34
2011-11-01,07:00:00,1385.71,1387.4,1376.08,1379.07
2011-11-01,08:00:00,1379.36,1382.11,1378.25,1380.27
2011-11-01,09:00:00,1381.18,1386.06,1377.9,1382.65
2011-11-01,10:00:00,1382.71,1382.71,1382.71,1382.71
2011-11-02,06:00:00,1382.71,1382.71,1370.13,1371.03
2011-11-02,07:00:00,1370.73,1383.95,1370.71,1383.95
2011-11-02,08:00:00,1383.87,1384.98,1381.35,1381.59
2011-11-02,09:00:00,1380.68,1386.22,1378.31,1378.49
2011-11-02,10:00:00,1377.48,1377.48,1377.48,1377.48
2011-11-03,06:00:00,1377.48,1380.18,1375.92,1377.58
2011-11-03,07:00:00,1376.67,1378.11,1371.3,1371.3
2011-11-03,08:00:00,1371.19,1372.75,1366.56,1369.74
2011-11-03,09:00:00,1369.8,1382.81,1362.99,1382.81
2011-11-03,10:00:00,1384.28,1384.28,1384.28,1384.28
2011-11-09,06:00:00,1384.28,1394.01,1384.28,1390.55
2011-11-09,07:00:00,1391.22,1392.08,1389.05,1389.94
2011-11-09,08:00:00,1389.78,1389.89,1387.29,1388.07
2011-11-09,09:00:00,1389.03,1392.1,1386.57,1389.98
2011-11-09,10:00:00,1390.07,1390.07,1390.07,1390.07
2011-11-10,06:00:00,1390.07,1390.07,1375.28,1375.28
2011-11-10,07:00:00,1376.81,1378.28,1374.48,1375.88
2011-11-10,08:00:00,1376.24,1379.04,1374.47,1375.36
2011-11-10,09:00:00,1374.85,1382.72,1374.83,1382.72
2011-11-13,06:00:00,1382.72,1388.44,1382.72,1384.97
2011-11-13,07:00:00,1384.92,1396.71,1384.26,1393.45
2011-11-13,08:00:00,1392.95,1396.6,1391.01,1391.66
2011-11-13,09:00:00,1392.62,1396.54,1390.16,1392.71
2011-11-14,06:00:00,1392.71,1393.82,1388.66,1391.72
2011-11-14,07:00:00,1391.21,1391.9,1389.29,1391.35
2011-11-14,08:00:00,1390.59,1392.97,1390.45,1390.51
2011-11-14,09:00:00,1390.66,1391.61,1386.99,1387.81
2011-11-15,06:00:00,1387.81,1387.81,1380.5,1384.18
2011-11-15,07:00:00,1385.09,1390.95,1385.09,1390.22
2011-11-15,08:00:00,1389.84,1389.85,1382.78,1387.69
2011-11-15,09:00:00,1387.67,1390.59,1385.24,1388.23
2011-11-16,06:00:00,1388.23,1388.89,1382.28,1383.24
2011-11-16,07:00:00,1382.33,1386.44,1381.15,1385.91
2011-11-16,08:00:00,1385.77,1385.77,1380.97,1385.44
2011-11-16,09:00:00,1386.4,1388.56,1385.6,1387.13
2011-11-17,06:00:00,1387.13,1387.13,1382.04,1382.51
2011-11-17,07:00:00,1382.49,1382.49,1380.26,1380.52
