Date,Time,open,high,low,close
2023-03-07,10:00:00,0.659,0.659,0.659,0.659
2023-03-08,09:00:00,0.599,0.65,0.599,0.65
2023-03-14,07:00:00,0.599,0.599,0.599,0.599
2023-03-14,08:00:00,0.639,0.639,0.639,0.639
2023-03-17,07:00:00,0.615,0.615,0.615,0.615
2023-03-21,08:00:00,0.6,0.61,0.6,0.603
2023-03-21,09:00:00,0.61,0.61,0.61,0.61
2023-03-22,06:00:00,0.61,0.615,0.61,0.615
2023-03-22,09:00:00,0.6,0.6,0.6,0.6
2023-03-31,10:00:00,0.6,0.6,0.6,0.6
2023-04-03,06:00:00,0.54,0.54,0.54,0.54
2023-04-03,07:00:00,0.609,0.609,0.609,0.609
2023-04-04,08:00:00,0.62,0.689,0.62,0.689
2023-04-05,06:00:00,0.65,0.65,0.65,0.65
2023-04-05,07:00:00,0.65,0.686,0.65,0.686
2023-04-05,10:00:00,0.65,0.669,0.65,0.669
2023-04-06,06:00:00,0.66,0.66,0.66,0.66
2023-04-06,08:00:00,0.603,0.603,0.603,0.603
2023-04-06,09:00:00,0.638,0.638,0.604,0.604
2023-04-07,06:00:00,0.61,0.61,0.603,0.603
2023-04-07,07:00:00,0.603,0.603,0.603,0.603
2023-04-10,06:00:00,0.603,0.603,0.6,0.6
2023-04-11,06:00:00,0.563,0.563,0.55,0.55
2023-04-11,07:00:00,0.551,0.551,0.551,0.551
2023-04-11,08:00:00,0.6,0.6,0.6,0.6
2023-04-12,07:00:00,0.602,0.602,0.602,0.602
2023-04-13,06:00:00,0.6,0.6,0.6,0.6
2023-04-14,09:00:00,0.6,0.603,0.6,0.603
2023-04-17,10:00:00,0.602,0.602,0.6,0.6
2023-04-18,10:00:00,0.6,0.6,0.6,0.6
2023-04-19,06:00:00,0.6,0.6,0.6,0.6
2023-04-24,10:00:00,0.553,0.553,0.553,0.553
2023-04-26,06:00:00,0.603,0.603,0.523,0.526
2023-04-26,07:00:00,0.6,0.6,0.6,0.6
2023-04-26,08:00:00,0.528,0.528,0.528,0.528
2023-04-27,08:00:00,0.529,0.529,0.529,0.529
2023-04-28,08:00:00,0.585,0.585,0.585,0.585
2023-04-28,10:00:00,0.593,0.593,0.593,0.593
2023-05-01,08:00:00,0.534,0.534,0.534,0.534
2023-05-01,10:00:00,0.601,0.601,0.601,0.601
2023-05-03,10:00:00,0.601,0.601,0.601,0.601
2023-05-04,06:00:00,0.6,0.601,0.6,0.601
2023-05-04,07:00:00,0.601,0.601,0.601,0.601
2023-05-04,08:00:00,0.6,0.6,0.6,0.6
2023-05-04,09:00:00,0.602,0.603,0.602,0.603
2023-05-04,10:00:00,0.634,0.634,0.634,0.634
2023-05-05,07:00:00,0.571,0.571,0.571,0.571
2023-05-05,09:00:00,0.63,0.63,0.63,0.63
2023-05-05,10:00:00,0.628,0.63,0.628,0.63
2023-05-08,06:00:00,0.574,0.639,0.574,0.639
2023-05-08,07:00:00,0.635,0.635,0.63,0.63
2023-05-08,08:00:00,0.631,0.669,0.631,0.669
2023-05-08,10:00:00,0.633,0.633,0.633,0.633
2023-05-11,06:00:00,0.601,0.601,0.601,0.601
2023-05-12,06:00:00,0.548,0.659,0.541,0.659
2023-05-12,07:00:00,0.64,0.64,0.64,0.64
2023-05-12,08:00:00,0.595,0.595,0.595,0.595
2023-05-12,09:00:00,0.59,0.59,0.59,0.59
2023-05-12,10:00:00,0.59,0.59,0.59,0.59
2023-05-16,07:00:00,0.55,0.63,0.55,0.63
2023-05-16,09:00:00,0.625,0.625,0.625,0.625
2023-05-17,06:00:00,0.563,0.634,0.563,0.634
2023-05-17,07:00:00,0.631,0.631,0.631,0.631
2023-05-19,06:00:00,0.568,0.568,0.568,0.568
2023-05-19,07:00:00,0.629,0.629,0.629,0.629
2023-05-19,08:00:00,0.629,0.629,0.629,0.629
2023-05-19,10:00:00,0.568,0.628,0.568,0.628
2023-05-23,08:00:00,0.58,0.58,0.58,0.58
2023-05-23,09:00:00,0.6,0.61,0.6,0.61
2023-05-24,07:00:00,0.549,0.549,0.549,0.549
2023-05-25,06:00:00,0.631,0.631,0.631,0.631
2023-05-25,07:00:00,0.63,0.63,0.63,0.63
2023-05-25,10:00:00,0.571,0.571,0.57,0.57
2023-05-26,06:00:00,0.627,0.628,0.627,0.628
2023-05-26,07:00:00,0.628,0.628,0.627,0.627
