Date,Time,open,high,low,close
2021-12-08,07:00:00,115.4,127.6,115.4,118.0
2021-12-09,07:00:00,118.0,126.0,116.6,126.0
2021-12-12,07:00:00,127.0,130.60001,125.6,127.0
2021-12-13,07:00:00,127.6,128.39999,126.0,126.4
2021-12-14,07:00:00,126.2,126.2,123.8,125.8
2021-12-15,07:00:00,125.6,127.8,124.6,127.0
2021-12-16,07:00:00,127.4,128.2,125.2,125.2
2021-12-19,07:00:00,125.0,126.4,124.8,125.4
2021-12-20,07:00:00,125.0,125.8,124.8,125.6
2021-12-21,07:00:00,125.4,126.4,125.2,125.8
2021-12-22,07:00:00,125.8,126.0,124.6,124.6
2021-12-23,07:00:00,124.4,125.2,123.0,123.6
2021-12-26,07:00:00,123.6,124.2,122.8,123.6
2021-12-27,07:00:00,123.2,123.4,122.2,122.2
2021-12-28,07:00:00,122.2,125.6,122.2,125.2
2021-12-29,07:00:00,124.8,126.2,123.0,123.0
2021-12-30,07:00:00,123.2,126.4,123.2,125.8
2022-01-02,07:00:00,125.8,127.6,125.6,126.4
2022-01-03,07:00:00,126.4,126.6,124.8,125.0
2022-01-04,07:00:00,125.0,126.2,125.0,125.4
2022-01-05,07:00:00,125.6,126.0,125.0,125.0
2022-01-06,07:00:00,125.0,125.6,124.6,125.0
2022-01-09,07:00:00,125.2,125.6,125.0,125.2
2022-01-10,07:00:00,125.2,130.0,125.2,129.60001
2022-01-11,07:00:00,129.8,142.39999,129.0,142.39999
2022-01-12,07:00:00,142.0,144.19999695,138.3999939,139.0
2022-01-13,07:00:00,138.8,141.8,138.2,140.39999
2022-01-16,07:00:00,141.0,153.0,141.0,151.2
2022-01-17,07:00:00,152.2,163.0,152.2,160.0
2022-01-18,07:00:00,160.60001,169.60001,160.60001,168.60001
2022-01-19,07:00:00,169.60001,173.39999,160.2,163.0
2022-01-20,07:00:00,163.0,164.2,159.60001,160.0
2022-01-23,07:00:00,159.60001,163.2,157.0,162.39999
2022-01-24,07:00:00,163.2,165.0,159.39999,160.0
2022-01-25,07:00:00,160.39999,162.60001,159.0,160.2
2022-01-26,07:00:00,160.39999,163.0,160.0,160.39999
2022-01-27,07:00:00,160.8,161.60001,160.0,160.60001
2022-01-30,07:00:00,161.0,162.0,160.0,160.2
2022-01-31,07:00:00,160.39999,164.60001,160.0,162.0
2022-02-01,07:00:00,162.2,163.39999,160.2,160.8
2022-02-02,07:00:00,160.8,163.0,160.39999,160.60001
2022-02-03,07:00:00,160.8,161.39999,160.2,160.2
2022-02-06,07:00:00,160.39999,161.2,159.2,160.2
2022-02-07,07:00:00,160.2,160.39999,159.39999,159.39999
2022-02-08,07:00:00,159.60001,162.8,159.60001,162.0
2022-02-09,07:00:00,162.60001,162.60001,160.60001,161.0
2022-02-10,07:00:00,161.0,162.39999,161.0,162.2
2022-02-13,07:00:00,160.60001,160.8,157.2,159.60001
2022-02-14,07:00:00,159.39999,160.2,158.0,159.39999
2022-02-15,07:00:00,159.39999,159.60001,158.60001,159.0
2022-02-16,07:00:00,159.2,162.0,159.2,160.2
2022-02-17,07:00:00,161.60001,162.39999,159.60001,159.60001
2022-02-20,07:00:00,160.0,161.60001,158.8,160.8
2022-02-21,07:00:00,160.8,164.39999,160.39999,161.0
2022-02-23,07:00:00,161.0,162.60001,160.39999,161.0
2022-02-24,07:00:00,159.0,159.8,157.39999,157.39999
2022-02-27,07:00:00,159.0,160.0,158.8,158.8
2022-02-28,07:00:00,158.60001,160.39999,158.39999,160.2
2022-03-01,07:00:00,160.0,167.8,160.0,165.0
2022-03-02,07:00:00,165.39999,168.60001,162.8,163.0
2022-03-03,07:00:00,164.60001,164.60001,161.2,161.2
2022-03-06,07:00:00,163.0,164.39999,160.39999,160.60001
2022-03-07,07:00:00,161.2,163.39999,159.2,163.39999
2022-03-08,07:00:00,164.39999,171.8,164.2,167.60001
2022-03-09,07:00:00,167.60001,170.0,163.39999,164.2
2022-03-10,07:00:00,163.2,167.2,163.0,164.0
2022-03-13,07:00:00,164.0,165.0,163.0,163.0
2022-03-14,07:00:00,163.60001,163.60001,160.8,161.0
2022-03-15,07:00:00,162.0,162.0,160.0,161.2
2022-03-16,07:00:00,161.2,163.2,161.0,161.39999
2022-03-17,07:00:00,161.2,164.0,161.0,162.39999
2022-03-20,07:00:00,162.39999,166.8,161.39999,166.39999
2022-03-21,07:00:00,166.39999,175.39999,166.39999,170.8
2022-03-22,07:00:00,171.8,173.8,170.39999,172.8
2022-03-23,07:00:00,173.0,176.39999,172.60001,176.0
2022-03-24,07:00:00,176.2,178.8,171.8,172.60001
2022-03-27,07:00:00,173.0,187.39999,173.0,186.0
2022-03-28,07:00:00,186.39999,193.60001,186.39999,188.2
2022-03-29,07:00:00,188.8,190.0,185.39999,186.0
2022-03-30,07:00:00,186.2,190.60001,185.60001,188.8
2022-03-31,07:00:00,189.60001,194.39999,189.60001,191.0
2022-04-03,07:00:00,191.39999,192.39999,189.2,189.2
2022-04-04,07:00:00,189.60001,199.60001,189.0,199.0
2022-04-05,07:00:00,199.8,218.8,199.8,216.2
2022-04-06,07:00:00,216.39999,228.2,194.60001,195.39999
2022-04-07,07:00:00,194.8,198.0,186.0,191.60001
2022-04-10,07:00:00,194.60001,198.39999,191.8,195.0
2022-04-11,07:00:00,197.60001,197.60001,190.39999,191.39999
2022-04-12,07:00:00,191.39999,194.2,190.60001,191.0
2022-04-13,07:00:00,191.39999,196.0,189.0,190.60001
2022-04-14,07:00:00,190.8,192.0,187.2,189.0
2022-04-17,07:00:00,189.0,190.60001,187.2,188.8
2022-04-18,07:00:00,188.8,191.8,188.39999,190.0
2022-04-19,07:00:00,190.2,190.39999,188.39999,188.39999
2022-04-20,07:00:00,188.39999,190.60001,187.8,189.0
2022-04-21,07:00:00,189.8,193.2,188.39999,191.2
2022-04-24,07:00:00,191.0,196.39999,189.0,195.0
2022-04-25,07:00:00,196.8,197.8,193.8,195.0
2022-04-26,07:00:00,195.39999,197.0,192.8,195.0
2022-04-27,07:00:00,196.0,200.0,195.39999,199.60001
2022-04-28,07:00:00,200.8,205.39999,200.8,202.2
2022-05-08,07:00:00,202.2,205.2,197.60001,200.8
2022-05-09,07:00:00,200.8,211.8,200.39999,205.8
2022-05-10,07:00:00,205.8,210.60001,204.60001,209.0
2022-05-11,07:00:00,209.60001,210.8,207.2,207.8
2022-05-12,07:00:00,207.60001,207.60001,197.2,197.2
2022-05-15,07:00:00,195.0,205.60001,191.2,203.2
2022-05-16,07:00:00,203.2,211.39999,203.2,208.60001
2022-05-17,07:00:00,209.8,217.0,208.60001,212.0
2022-05-18,07:00:00,214.60001,216.0,212.39999,213.60001
2022-05-19,07:00:00,211.0,211.0,203.8,204.60001
2022-05-22,07:00:00,205.8,211.39999,204.8,207.0
2022-05-23,07:00:00,208.0,211.60001,208.0,209.2
2022-05-24,07:00:00,209.2,212.2,207.0,209.0
2022-05-25,07:00:00,210.8,214.2,209.2,211.60001
2022-05-26,07:00:00,213.60001,219.0,212.8,218.39999
2022-05-29,07:00:00,219.60001,223.39999,219.60001,223.2
2022-05-30,07:00:00,224.0,230.0,223.8,230.0
2022-05-31,07:00:00,231.0,233.2,224.60001,233.2
2022-06-01,07:00:00,233.0,234.0,226.39999,228.8
2022-06-02,07:00:00,229.0,229.2,222.0,224.60001
2022-06-05,07:00:00,224.60001,224.60001,220.2,221.0
2022-06-06,07:00:00,221.0,225.0,220.8,224.0
2022-06-07,07:00:00,222.60001,222.8,216.8,218.2
2022-06-08,07:00:00,218.2,218.2,206.60001,208.0
2022-06-09,07:00:00,207.0,214.39999,206.0,214.39999
2022-06-12,07:00:00,214.0,214.0,209.0,209.2
2022-06-13,07:00:00,210.0,213.8,204.0,208.8
2022-06-14,07:00:00,205.8,210.2,195.8,199.8
2022-06-15,07:00:00,201.0,204.39999,199.60001,201.39999
2022-06-16,07:00:00,201.39999,203.8,192.0,198.0
2022-06-19,07:00:00,193.0,194.0,186.0,186.8
2022-06-20,07:00:00,185.2,188.0,173.2,174.0
2022-06-21,07:00:00,175.39999,184.2,175.39999,181.0
2022-06-22,07:00:00,180.0,180.0,169.60001,170.8
2022-06-23,07:00:00,171.0,177.0,167.0,169.0
2022-06-26,07:00:00,176.0,176.0,170.2,171.0
2022-06-27,07:00:00,171.39999,175.39999,169.0,175.0
