Date,Time,open,high,low,close
1985-02-28,07:00:00,1013.0,1013.0,1013.0,1013.0
1985-03-03,07:00:00,1010.4,1010.4,1010.4,1010.4
1985-03-04,07:00:00,1009.1,1009.1,1009.1,1009.1
1985-03-05,07:00:00,1007.8,1007.8,1007.8,1007.8
1985-03-06,07:00:00,1006.5,1006.5,1006.5,1006.5
1985-03-07,07:00:00,1005.2,1005.2,1005.2,1005.2
1985-03-10,07:00:00,1002.6,1002.6,1002.6,1002.6
1985-03-11,07:00:00,1001.3,1001.3,1001.3,1001.3
1985-03-12,07:00:00,1000.0,1000.0,1000.0,1000.0
1985-03-13,07:00:00,998.70001,998.70001,998.70001,998.70001
1985-03-14,07:00:00,997.40002,997.40002,997.40002,997.40002
1985-03-17,07:00:00,994.79999,994.79999,994.79999,994.79999
1985-03-18,07:00:00,993.5,993.5,993.5,993.5
1985-03-19,07:00:00,992.20001,992.20001,992.20001,992.20001
1985-03-20,07:00:00,990.90002,990.90002,990.90002,990.90002
1985-03-21,07:00:00,989.59998,989.59998,989.59998,989.59998
1985-03-24,07:00:00,987.0,987.0,987.0,987.0
1985-03-25,07:00:00,985.70001,985.70001,985.70001,985.70001
1985-03-26,07:00:00,984.40002,984.40002,984.40002,984.40002
1985-03-27,07:00:00,983.09998,983.09998,983.09998,983.09998
1985-03-28,07:00:00,981.79999,981.79999,981.79999,981.79999
1985-03-31,07:00:00,979.29999,979.29999,979.29999,979.29999
1985-04-01,07:00:00,978.0,978.0,978.0,978.0
1985-04-02,07:00:00,976.70001,976.70001,976.70001,976.70001
1985-04-03,07:00:00,975.40002,975.40002,975.40002,975.40002
1985-04-04,07:00:00,974.09998,974.09998,974.09998,974.09998
1985-04-07,07:00:00,971.5,971.5,971.5,971.5
1985-04-08,07:00:00,970.20001,970.20001,970.20001,970.20001
1985-04-09,07:00:00,968.90002,968.90002,968.90002,968.90002
1985-04-10,07:00:00,967.59998,967.59998,967.59998,967.59998
1985-04-11,07:00:00,966.29999,966.29999,966.29999,966.29999
1985-04-14,07:00:00,963.70001,963.70001,963.70001,963.70001
1985-04-15,07:00:00,962.40002,962.40002,962.40002,962.40002
1985-04-16,07:00:00,961.09998,961.09998,961.09998,961.09998
1985-04-17,07:00:00,959.79999,959.79999,959.79999,959.79999
1985-04-18,07:00:00,958.5,958.5,958.5,958.5
1985-04-21,07:00:00,955.90002,955.90002,955.90002,955.90002
1985-04-22,07:00:00,954.59998,954.59998,954.59998,954.59998
1985-04-23,07:00:00,953.29999,953.29999,953.29999,953.29999
1985-04-24,07:00:00,952.0,952.0,952.0,952.0
1985-04-25,07:00:00,950.70001,950.70001,950.70001,950.70001
1985-04-28,07:00:00,948.09998,948.09998,948.09998,948.09998
1985-04-29,07:00:00,946.79999,946.79999,946.79999,946.79999
1985-04-30,07:00:00,945.5,945.5,945.5,945.5
1985-05-01,07:00:00,944.20001,944.20001,944.20001,944.20001
1985-05-02,07:00:00,942.90002,942.90002,942.90002,942.90002
