Date,Time,open,high,low,close
2015-06-25,08:00:00,55.0,55.0,55.0,55.0
2015-06-25,09:00:00,55.0,55.0,55.0,55.0
2015-06-25,10:00:00,55.0,55.0,55.0,55.0
2015-06-25,11:00:00,55.0,55.0,55.0,55.0
2015-06-28,08:00:00,60.5,60.5,60.5,60.5
2015-06-28,09:00:00,60.5,60.5,60.5,60.5
2015-06-28,10:00:00,60.5,60.5,60.5,60.5
2015-06-28,11:00:00,60.5,60.5,60.5,60.5
2015-06-28,12:00:00,60.5,60.5,60.5,60.5
2015-06-29,08:00:00,66.5,66.5,66.5,66.5
2015-06-29,09:00:00,66.5,66.5,66.5,66.5
2015-06-29,10:00:00,66.5,66.5,66.5,66.5
2015-06-29,11:00:00,66.5,66.5,66.5,66.5
2015-06-29,12:00:00,66.5,66.5,66.5,66.5
2015-06-30,08:00:00,72.75,72.75,69.25,70.75
2015-06-30,09:00:00,71.0,72.25,70.0,71.25
2015-06-30,10:00:00,71.25,73.0,71.0,73.0
2015-06-30,11:00:00,73.0,73.0,73.0,73.0
2015-06-30,12:00:00,73.0,73.0,73.0,73.0
2015-07-01,08:00:00,73.5,78.75,72.25,77.0
2015-07-01,09:00:00,76.5,79.25,76.0,79.0
2015-07-01,10:00:00,79.25,80.25,76.25,76.75
2015-07-01,11:00:00,77.0,78.25,74.25,75.0
2015-07-01,12:00:00,75.0,75.75,74.25,74.5
2015-07-02,08:00:00,74.5,75.25,73.5,74.75
2015-07-02,09:00:00,74.75,75.5,74.25,74.5
2015-07-02,10:00:00,74.5,74.75,71.75,72.5
2015-07-02,11:00:00,72.75,74.75,72.5,73.75
2015-07-02,12:00:00,74.0,74.0,72.25,72.5
2015-07-05,08:00:00,71.75,72.25,70.75,71.5
2015-07-05,09:00:00,71.75,72.25,71.5,72.25
2015-07-05,10:00:00,72.5,74.75,72.5,74.5
2015-07-05,11:00:00,74.5,75.0,73.0,74.25
2015-07-05,12:00:00,74.25,75.25,74.0,74.5
2015-07-06,08:00:00,74.0,75.0,73.0,73.5
2015-07-06,09:00:00,73.75,74.25,73.5,73.75
2015-07-06,10:00:00,73.75,74.75,73.5,74.0
2015-07-06,11:00:00,74.0,75.0,73.75,74.0
2015-07-06,12:00:00,73.75,74.25,72.25,72.5
2015-07-07,08:00:00,72.75,73.0,71.0,71.5
2015-07-07,09:00:00,71.25,72.0,71.25,72.0
2015-07-07,10:00:00,72.0,72.25,71.5,71.75
2015-07-07,11:00:00,71.75,72.0,71.0,71.25
2015-07-07,12:00:00,71.25,71.5,71.0,71.25
2015-07-08,08:00:00,71.0,71.5,70.5,71.0
2015-07-08,09:00:00,71.0,72.0,71.0,71.5
2015-07-08,10:00:00,71.5,71.5,70.75,71.0
