Date,Time,open,high,low,close
2011-12-18,08:00:00,6253.662,6282.812,6250.904,6281.934
2011-12-18,09:00:00,6281.926,6282.103,6255.396,6261.704
2011-12-18,10:00:00,6261.739,6275.862,6258.212,6266.453
2011-12-18,11:00:00,6266.436,6274.795,6252.256,6254.153
2011-12-18,12:00:00,6254.145,6258.073,6250.282,6256.969
2011-12-19,08:00:00,6267.791,6269.76,6251.942,6257.233
2011-12-19,09:00:00,6257.2,6278.496,6252.733,6277.528
2011-12-19,10:00:00,6275.503,6276.668,6265.213,6267.828
2011-12-19,11:00:00,6268.463,6274.977,6258.47,6258.857
2011-12-19,12:00:00,6258.811,6272.577,6258.79,6272.543
2011-12-20,08:00:00,6275.915,6277.95,6260.848,6272.968
2011-12-20,09:00:00,6272.947,6277.059,6266.308,6267.529
2011-12-20,10:00:00,6267.49,6281.018,6263.103,6278.772
2011-12-20,11:00:00,6277.806,6282.39,6270.216,6279.048
2011-12-20,12:00:00,6278.97,6281.413,6270.197,6278.786
2011-12-21,08:00:00,6288.279,6329.069,6288.279,6322.843
2011-12-21,09:00:00,6323.101,6334.644,6320.433,6329.924
2011-12-21,10:00:00,6330.215,6335.892,6322.583,6322.583
2011-12-21,11:00:00,6322.339,6325.947,6316.02,6320.163
2011-12-21,12:00:00,6322.157,6329.149,6318.639,6324.739
2011-12-25,08:00:00,6384.515,6393.787,6366.276,6374.523
2011-12-25,09:00:00,6374.53,6384.836,6371.909,6378.383
2011-12-25,10:00:00,6377.999,6389.999,6377.407,6389.916
2011-12-25,11:00:00,6389.936,6389.936,6373.364,6377.154
2011-12-25,12:00:00,6377.119,6377.875,6369.088,6375.995
2011-12-26,08:00:00,6382.334,6400.743,6380.906,6392.528
2011-12-26,09:00:00,6392.489,6396.242,6372.358,6375.602
2011-12-26,10:00:00,6375.909,6394.716,6371.012,6394.044
2011-12-26,11:00:00,6392.051,6399.494,6386.235,6396.802
2011-12-26,12:00:00,6396.814,6408.374,6393.715,6402.802
2011-12-27,08:00:00,6414.22,6422.411,6393.006,6400.827
2011-12-27,09:00:00,6400.797,6403.739,6390.843,6402.269
2011-12-27,10:00:00,6402.291,6426.83,6398.443,6422.45
2011-12-27,11:00:00,6422.463,6426.079,6413.428,6414.894
2011-12-27,12:00:00,6414.882,6417.757,6391.837,6398.717
2011-12-28,08:00:00,6401.402,6410.202,6384.931,6390.583
2011-12-28,09:00:00,6390.215,6394.46,6383.511,6385.9
2011-12-28,10:00:00,6385.877,6406.261,6381.971,6405.988
2011-12-28,11:00:00,6405.949,6409.989,6398.085,6402.308
2011-12-28,12:00:00,6402.321,6414.373,6399.929,6411.254
2012-01-01,08:00:00,6418.16,6418.408,6402.487,6409.014
2012-01-01,09:00:00,6409.648,6417.233,6404.055,6410.769
2012-01-01,10:00:00,6411.205,6414.346,6403.313,6407.369
2012-01-01,11:00:00,6407.383,6415.501,6386.015,6386.022
2012-01-01,12:00:00,6386.014,6390.936,6372.702,6386.337
2012-01-02,08:00:00,6386.167,6397.598,6378.385,6389.647
2012-01-02,09:00:00,6389.617,6394.279,6376.835,6377.557
2012-01-02,10:00:00,6377.524,6390.677,6377.431,6388.791
2012-01-02,11:00:00,6388.836,6394.957,6384.116,6392.182
2012-01-02,12:00:00,6392.152,6398.68,6390.638,6393.283
2012-01-03,08:00:00,6398.718,6418.973,6398.12,6409.752
2012-01-03,09:00:00,6409.768,6424.152,6407.314,6416.973
2012-01-03,10:00:00,6417.028,6424.759,6414.163,6420.011
2012-01-03,11:00:00,6420.044,6422.489,6409.847,6409.961
2012-01-03,12:00:00,6409.943,6415.828,6406.33,6410.034
2012-01-04,08:00:00,6413.443,6420.873,6397.358,6398.703
2012-01-04,09:00:00,6398.691,6405.142,6392.336,6401.351
2012-01-04,10:00:00,6401.342,6416.032,6399.449,6408.699
2012-01-04,11:00:00,6408.722,6409.989,6398.745,6400.168
2012-01-04,12:00:00,6400.15,6406.502,6394.457,6405.26
2012-01-08,08:00:00,6452.816,6465.215,6448.101,6457.153
2012-01-08,09:00:00,6457.172,6463.198,6453.368,6457.701
2012-01-08,10:00:00,6457.621,6471.058,6455.318,6458.935
2012-01-08,11:00:00,6458.96,6463.803,6452.125,6454.216
2012-01-08,12:00:00,6453.815,6464.809,6453.542,6461.344
2012-01-09,08:00:00,6468.048,6470.741,6438.729,6446.081
2012-01-09,09:00:00,6443.948,6448.266,6433.725,6437.116
2012-01-09,10:00:00,6437.096,6452.251,6434.626,6438.884
2012-01-09,11:00:00,6436.898,6446.285,6430.353,6442.128
2012-01-09,12:00:00,6442.105,6443.952,6435.679,6438.463
2012-01-10,08:00:00,6441.623,6451.406,6439.835,6446.263
2012-01-10,09:00:00,6441.797,6457.035,6441.762,6454.656
2012-01-10,10:00:00,6454.642,6460.839,6451.667,6458.589
2012-01-10,11:00:00,6458.579,6477.166,6455.614,6468.611
2012-01-10,12:00:00,6468.576,6479.154,6462.675,6466.435
2012-01-11,08:00:00,6476.973,6491.111,6466.418,6489.938
2012-01-11,09:00:00,6489.917,6492.846,6482.093,6492.055
2012-01-11,10:00:00,6491.875,6497.915,6479.403,6484.376
2012-01-11,11:00:00,6484.312,6488.212,6472.227,6474.391
2012-01-11,12:00:00,6474.792,6489.891,6471.304,6485.739
2012-01-15,08:00:00,6494.896,6500.701,6469.26,6469.368
2012-01-15,09:00:00,6469.356,6480.512,6466.476,6478.401
2012-01-15,10:00:00,6478.431,6487.379,6476.34,6483.138
2012-01-15,11:00:00,6483.124,6485.72,6476.281,6480.49
2012-01-15,12:00:00,6480.502,6492.255,6479.235,6489.239
2012-01-16,08:00:00,6491.961,6492.089,6465.319,6472.3
2012-01-16,09:00:00,6472.265,6489.607,6470.802,6487.636
2012-01-16,10:00:00,6487.626,6487.731,6474.81,6478.131
2012-01-16,11:00:00,6478.125,6480.399,6403.126,6423.52
