Date,Time,open,high,low,close
2021-05-02,21:00:00,91.297,91.297,91.297,91.297
2021-05-02,22:00:00,91.248,91.272,91.246,91.271
2021-05-02,22:15:00,91.269,91.273,91.254,91.259
2021-05-02,22:30:00,91.259,91.266,91.252,91.259
2021-05-02,22:45:00,91.263,91.263,91.241,91.254
2021-05-02,23:00:00,91.257,91.263,91.24,91.259
2021-05-02,23:15:00,91.259,91.259,91.245,91.25
2021-05-02,23:30:00,91.253,91.253,91.236,91.238
2021-05-02,23:45:00,91.241,91.252,91.231,91.246
2021-05-03,00:00:00,91.253,91.3,91.253,91.258
2021-05-03,00:15:00,91.261,91.264,91.222,91.227
2021-05-03,00:30:00,91.227,91.246,91.222,91.228
2021-05-03,00:45:00,91.228,91.239,91.206,91.207
2021-05-03,01:00:00,91.21,91.241,91.194,91.224
2021-05-03,01:15:00,91.227,91.236,91.21,91.217
2021-05-03,01:30:00,91.217,91.242,91.21,91.225
2021-05-03,01:45:00,91.229,91.266,91.225,91.261
2021-05-03,02:00:00,91.263,91.3,91.257,91.292
2021-05-03,02:15:00,91.294,91.304,91.279,91.297
2021-05-03,02:30:00,91.296,91.306,91.29,91.304
2021-05-03,02:45:00,91.306,91.328,91.296,91.322
2021-05-03,03:00:00,91.322,91.325,91.303,91.304
2021-05-03,03:15:00,91.308,91.32,91.3,91.311
2021-05-03,03:30:00,91.315,91.316,91.299,91.304
2021-05-03,03:45:00,91.304,91.306,91.292,91.303
2021-05-03,04:00:00,91.307,91.325,91.301,91.313
2021-05-03,04:15:00,91.314,91.337,91.313,91.337
2021-05-03,04:30:00,91.337,91.344,91.327,91.328
2021-05-03,04:45:00,91.328,91.33,91.313,91.32
2021-05-03,05:00:00,91.323,91.339,91.317,91.322
2021-05-03,05:15:00,91.321,91.36,91.321,91.356
2021-05-03,05:30:00,91.357,91.368,91.332,91.336
2021-05-03,05:45:00,91.338,91.353,91.332,91.335
2021-05-03,06:00:00,91.337,91.387,91.335,91.361
2021-05-03,06:15:00,91.361,91.376,91.328,91.328
2021-05-03,06:30:00,91.332,91.369,91.314,91.316
2021-05-03,06:45:00,91.319,91.343,91.226,91.237
2021-05-03,07:00:00,91.242,91.248,91.21,91.21
2021-05-03,07:15:00,91.214,91.257,91.198,91.25
