Date,Time,open,high,low,close
2020-01-01,23:00:00,61.6,61.6,61.36,61.45
2020-01-01,23:30:00,61.45,61.47,61.32,61.33
2020-01-02,00:00:00,61.33,61.37,61.29,61.36
2020-01-02,00:30:00,61.35,61.37,61.33,61.37
2020-01-02,01:00:00,61.37,61.43,61.26,61.28
2020-01-02,01:30:00,61.27,61.33,61.27,61.3
2020-01-02,02:00:00,61.3,61.34,61.29,61.31
2020-01-02,02:30:00,61.31,61.34,61.29,61.3
2020-01-02,03:00:00,61.3,61.32,61.23,61.23
2020-01-02,03:30:00,61.24,61.26,61.23,61.25
2020-01-02,04:00:00,61.25,61.26,61.23,61.24
2020-01-02,04:30:00,61.25,61.25,61.23,61.23
2020-01-02,05:00:00,61.23,61.24,61.2,61.2
2020-01-02,05:30:00,61.2,61.25,61.19,61.24
2020-01-02,06:00:00,61.23,61.25,61.14,61.2
2020-01-02,06:30:00,61.2,61.25,61.19,61.22
2020-01-02,07:00:00,61.23,61.31,61.2,61.3
2020-01-02,07:30:00,61.29,61.33,61.25,61.33
2020-01-02,08:00:00,61.33,61.4,61.28,61.35
2020-01-02,08:30:00,61.36,61.45,61.33,61.42
2020-01-02,09:00:00,61.42,61.45,61.24,61.25
2020-01-02,09:30:00,61.25,61.26,61.08,61.21
2020-01-02,10:00:00,61.2,61.29,61.14,61.24
2020-01-02,10:30:00,61.24,61.29,61.08,61.1
2020-01-02,11:00:00,61.11,61.24,61.03,61.16
2020-01-02,11:30:00,61.17,61.2,60.95,61.14
2020-01-02,12:00:00,61.14,61.23,61.1,61.16
2020-01-02,12:30:00,61.16,61.18,61.0,61.05
2020-01-02,13:00:00,61.05,61.14,60.91,61.05
2020-01-02,13:30:00,61.05,61.16,61.04,61.14
2020-01-02,14:00:00,61.15,61.32,61.03,61.12
2020-01-02,14:30:00,61.12,61.3,61.03,61.17
2020-01-02,15:00:00,61.17,61.37,60.7,60.93
2020-01-02,15:30:00,60.94,61.19,60.83,61.18
2020-01-02,16:00:00,61.18,61.22,60.85,60.9
2020-01-02,16:30:00,60.9,60.9,60.64,60.87
2020-01-02,17:00:00,60.87,60.88,60.77,60.82
2020-01-02,17:30:00,60.81,60.95,60.79,60.89
2020-01-02,18:00:00,60.9,60.94,60.83,60.91
2020-01-02,18:30:00,60.92,61.0,60.87,60.96
2020-01-02,19:00:00,60.96,61.27,60.95,61.15
2020-01-02,19:30:00,61.15,61.26,61.13,61.15
2020-01-02,20:00:00,61.16,61.17,61.09,61.11
2020-01-02,20:30:00,61.11,61.15,61.1,61.14
2020-01-02,21:00:00,61.15,61.2,61.13,61.18
2020-01-02,21:30:00,61.17,61.2,61.14,61.18
2020-01-02,23:00:00,61.18,61.2,61.14,61.19
2020-01-02,23:30:00,61.19,61.19,61.14,61.15
2020-01-03,00:00:00,61.14,61.17,61.13,61.15
2020-01-03,00:30:00,61.16,61.18,61.15,61.17
2020-01-03,01:00:00,61.17,61.62,61.14,61.55
2020-01-03,01:30:00,61.55,62.32,61.51,62.3
2020-01-03,02:00:00,62.3,63.84,62.13,63.55
2020-01-03,02:30:00,63.56,63.59,62.81,62.87
2020-01-03,03:00:00,62.88,63.03,62.69,62.91
2020-01-03,03:30:00,62.91,62.93,62.74,62.83
2020-01-03,04:00:00,62.83,62.94,62.8,62.91
2020-01-03,04:30:00,62.92,63.06,62.92,63.03
2020-01-03,05:00:00,63.03,63.12,62.93,63.1
2020-01-03,05:30:00,63.09,63.15,62.83,62.89
2020-01-03,06:00:00,62.88,62.93,62.82,62.88
2020-01-03,06:30:00,62.88,62.92,62.85,62.85
2020-01-03,07:00:00,62.86,62.99,62.83,62.95
2020-01-03,07:30:00,62.95,63.11,62.93,63.01
2020-01-03,08:00:00,63.01,63.11,62.9,62.93
2020-01-03,08:30:00,62.93,63.14,62.88,63.13
2020-01-03,09:00:00,63.13,63.4,63.08,63.36
2020-01-03,09:30:00,63.35,63.38,63.23,63.35
2020-01-03,10:00:00,63.35,63.74,63.32,63.71
2020-01-03,10:30:00,63.71,64.09,63.63,63.74
2020-01-03,11:00:00,63.74,63.88,63.41,63.57
2020-01-03,11:30:00,63.58,63.87,63.53,63.62
2020-01-03,12:00:00,63.62,63.65,63.24,63.41
2020-01-03,12:30:00,63.4,63.52,63.32,63.43
2020-01-03,13:00:00,63.43,63.68,63.24,63.26
2020-01-03,13:30:00,63.27,63.43,63.11,63.4
2020-01-03,14:00:00,63.41,63.53,63.3,63.32
2020-01-03,14:30:00,63.33,63.5,63.14,63.48
2020-01-03,15:00:00,63.48,63.6,63.35,63.43
2020-01-03,15:30:00,63.43,63.51,63.2,63.24
2020-01-03,16:00:00,63.26,63.52,62.22,62.53
2020-01-03,16:30:00,62.52,62.72,62.33,62.55
2020-01-03,17:00:00,62.57,62.69,62.47,62.54
2020-01-03,17:30:00,62.54,62.84,62.52,62.64
2020-01-03,18:00:00,62.64,62.83,62.59,62.7
2020-01-03,18:30:00,62.7,63.39,62.65,63.04
2020-01-03,19:00:00,63.05,63.31,62.84,63.03
2020-01-03,19:30:00,63.03,63.09,62.93,62.99
2020-01-03,20:00:00,62.99,63.11,62.97,63.04
2020-01-03,20:30:00,63.06,63.06,62.96,62.97
2020-01-03,21:00:00,62.96,63.02,62.96,63.01
2020-01-03,21:30:00,63.01,63.08,62.99,63.04
2020-01-05,23:00:00,63.71,64.27,63.6,63.84
2020-01-05,23:30:00,63.83,63.94,63.6,63.85
2020-01-06,00:00:00,63.85,63.94,63.75,63.89
2020-01-06,00:30:00,63.89,63.92,63.86,63.88
2020-01-06,01:00:00,63.88,64.3,63.8,64.3
2020-01-06,01:30:00,64.29,64.42,64.19,64.41
2020-01-06,02:00:00,64.41,64.44,64.34,64.35
2020-01-06,02:30:00,64.36,64.38,64.25,64.36
2020-01-06,03:00:00,64.36,64.48,64.36,64.45
2020-01-06,03:30:00,64.46,64.72,64.45,64.57
2020-01-06,04:00:00,64.58,64.6,64.47,64.49
2020-01-06,04:30:00,64.5,64.57,64.49,64.57
2020-01-06,05:00:00,64.56,64.58,64.46,64.47
2020-01-06,05:30:00,64.46,64.49,64.18,64.32
2020-01-06,06:00:00,64.33,64.37,64.25,64.31
2020-01-06,06:30:00,64.31,64.4,64.28,64.3
2020-01-06,07:00:00,64.3,64.33,64.07,64.13
2020-01-06,07:30:00,64.14,64.24,64.12,64.13
2020-01-06,08:00:00,64.14,64.19,64.04,64.13
2020-01-06,08:30:00,64.13,64.33,64.04,64.19
2020-01-06,09:00:00,64.19,64.19,63.89,63.89
