Date,Time,open,high,low,close
2021-12-20,01:00:00,777.5,778.0,775.75,777.5
2021-12-20,01:05:00,777.25,777.25,775.75,775.75
2021-12-20,01:10:00,775.5,775.5,774.5,775.5
2021-12-20,01:15:00,775.25,776.0,775.0,775.25
2021-12-20,01:20:00,775.0,775.25,774.0,774.0
2021-12-20,01:25:00,774.0,774.25,773.5,774.0
2021-12-20,01:30:00,774.0,775.0,774.0,774.5
2021-12-20,01:35:00,774.5,774.5,774.25,774.5
2021-12-20,01:40:00,774.5,774.5,773.0,773.0
2021-12-20,01:45:00,773.5,773.5,773.0,773.5
2021-12-20,01:50:00,773.25,774.0,773.25,774.0
2021-12-20,01:55:00,774.0,774.0,773.5,773.75
2021-12-20,02:00:00,773.5,773.5,773.25,773.5
2021-12-20,02:05:00,773.25,773.25,772.5,772.5
2021-12-20,02:10:00,772.0,772.0,771.25,772.0
2021-12-20,02:15:00,772.0,772.25,772.0,772.25
2021-12-20,02:20:00,772.0,772.0,771.75,772.0
2021-12-20,02:25:00,771.75,772.0,771.5,771.75
2021-12-20,02:30:00,772.25,772.75,771.5,771.5
2021-12-20,02:35:00,771.75,771.75,771.0,771.0
2021-12-20,02:40:00,771.0,771.75,771.0,771.5
2021-12-20,02:45:00,771.25,771.25,770.5,771.0
2021-12-20,02:50:00,770.5,770.75,770.5,770.75
2021-12-20,02:55:00,770.5,771.25,770.5,771.25
2021-12-20,03:00:00,771.25,771.75,771.25,771.75
2021-12-20,03:05:00,771.25,771.25,771.0,771.25
2021-12-20,03:10:00,771.25,771.5,771.0,771.25
2021-12-20,03:15:00,771.25,771.75,771.25,771.75
2021-12-20,03:20:00,771.75,771.75,771.75,771.75
2021-12-20,03:25:00,772.0,772.5,772.0,772.5
2021-12-20,03:30:00,772.5,772.5,772.0,772.0
2021-12-20,03:35:00,771.5,772.0,771.5,772.0
2021-12-20,03:40:00,771.75,771.75,771.75,771.75
2021-12-20,03:45:00,771.5,772.0,771.5,772.0
2021-12-20,03:50:00,771.5,771.75,771.5,771.75
2021-12-20,03:55:00,771.5,771.5,771.5,771.5
2021-12-20,04:00:00,771.5,771.5,771.5,771.5
2021-12-20,04:05:00,771.5,771.5,770.5,770.5
2021-12-20,04:10:00,770.5,770.5,769.25,769.5
2021-12-20,04:15:00,769.5,769.75,769.5,769.75
2021-12-20,04:20:00,769.75,770.0,769.75,770.0
2021-12-20,04:25:00,769.5,769.75,769.5,769.75
2021-12-20,04:30:00,769.5,770.0,769.5,770.0
2021-12-20,04:35:00,769.5,769.5,769.5,769.5
2021-12-20,04:40:00,769.25,769.25,769.25,769.25
2021-12-20,04:45:00,769.5,769.5,769.25,769.25
2021-12-20,04:50:00,769.5,769.75,769.0,769.0
2021-12-20,04:55:00,769.0,769.0,768.5,768.5
2021-12-20,05:00:00,768.5,768.5,768.0,768.0
2021-12-20,05:05:00,768.0,768.5,768.0,768.5
2021-12-20,05:10:00,768.75,769.5,768.75,769.0
2021-12-20,05:15:00,768.75,768.75,768.75,768.75
2021-12-20,05:20:00,768.75,769.0,768.75,769.0
2021-12-20,05:25:00,768.75,769.0,768.75,768.75
2021-12-20,05:35:00,768.75,769.0,768.5,768.75
2021-12-20,05:40:00,768.75,768.75,768.25,768.25
2021-12-20,05:45:00,768.25,768.5,768.25,768.25
2021-12-20,05:50:00,768.5,768.5,768.5,768.5
2021-12-20,05:55:00,768.25,768.5,768.0,768.5
2021-12-20,06:00:00,768.5,769.0,768.5,769.0
2021-12-20,06:05:00,769.0,769.0,768.75,768.75
2021-12-20,06:10:00,768.5,768.75,768.5,768.75
2021-12-20,06:15:00,768.5,768.75,768.5,768.75
2021-12-20,06:20:00,768.5,768.75,768.5,768.75
2021-12-20,06:25:00,768.75,768.75,768.5,768.75
2021-12-20,06:30:00,768.75,768.75,768.5,768.5
2021-12-20,06:35:00,768.75,769.25,768.75,769.0
2021-12-20,06:40:00,768.75,768.75,768.25,768.25
2021-12-20,06:45:00,768.0,768.0,766.5,766.5
2021-12-20,06:50:00,766.75,768.0,766.75,768.0
2021-12-20,06:55:00,768.0,768.0,767.75,768.0
2021-12-20,07:00:00,768.25,768.5,768.0,768.25
2021-12-20,07:05:00,768.0,769.0,767.75,769.0
2021-12-20,07:10:00,769.0,769.0,768.5,769.0
2021-12-20,07:15:00,769.25,769.75,769.25,769.5
2021-12-20,07:20:00,769.25,769.5,769.25,769.25
2021-12-20,07:25:00,769.0,769.0,768.25,768.75
2021-12-20,07:30:00,769.0,771.0,769.0,771.0
2021-12-20,07:35:00,771.0,771.5,770.5,770.5
2021-12-20,07:40:00,770.5,771.25,770.5,771.25
2021-12-20,07:45:00,771.0,771.0,770.25,770.25
2021-12-20,07:50:00,770.75,770.75,770.5,770.5
2021-12-20,07:55:00,771.0,771.0,770.75,771.0
2021-12-20,08:00:00,770.75,770.75,769.25,769.25
2021-12-20,08:05:00,769.25,769.75,769.0,769.75
2021-12-20,08:10:00,770.0,770.0,769.5,769.75
2021-12-20,08:15:00,769.5,769.5,769.25,769.5
2021-12-20,08:20:00,769.75,769.75,768.25,768.5
2021-12-20,08:25:00,768.25,768.5,768.0,768.5
2021-12-20,08:30:00,768.5,768.5,767.75,768.0
2021-12-20,08:35:00,768.0,768.0,766.75,767.5
2021-12-20,08:40:00,767.25,767.5,764.0,766.0
2021-12-20,08:45:00,766.25,766.75,765.5,765.75
2021-12-20,08:50:00,765.75,766.5,765.5,765.75
2021-12-20,08:55:00,765.5,766.25,764.5,764.75
2021-12-20,09:00:00,765.0,765.5,764.5,765.0
2021-12-20,09:05:00,765.0,765.25,764.5,764.75
2021-12-20,09:10:00,764.75,764.75,764.25,764.75
2021-12-20,09:15:00,765.0,766.0,765.0,765.25
2021-12-20,09:20:00,765.25,765.25,762.75,762.75
2021-12-20,09:25:00,763.0,764.75,762.75,764.75
2021-12-20,09:30:00,764.5,765.25,764.5,764.5
2021-12-20,09:35:00,764.75,766.0,764.5,764.5
2021-12-20,09:40:00,764.5,764.75,764.0,764.0
2021-12-20,09:45:00,763.75,764.25,759.0,759.25
2021-12-20,09:50:00,759.5,759.75,757.75,759.75
2021-12-20,09:55:00,759.5,761.25,759.5,761.25
2021-12-20,10:00:00,761.5,763.0,761.5,762.5
2021-12-20,10:05:00,762.5,763.0,762.5,762.5
2021-12-20,10:10:00,762.75,763.25,762.5,762.5
2021-12-20,10:15:00,762.75,763.25,762.75,762.75
2021-12-20,10:20:00,762.75,764.0,762.5,762.75
2021-12-20,10:25:00,763.25,764.0,762.75,762.75
2021-12-20,10:30:00,762.75,763.0,760.5,761.5
2021-12-20,10:35:00,761.25,762.25,761.25,761.75
2021-12-20,10:40:00,761.75,762.25,761.0,761.0
2021-12-20,10:45:00,761.5,761.5,761.5,761.5
2021-12-20,10:50:00,761.25,761.25,760.25,761.25
2021-12-20,10:55:00,761.25,761.5,760.25,760.25
2021-12-20,11:00:00,760.25,761.5,760.25,760.75
2021-12-20,11:05:00,761.0,761.0,760.5,760.5
2021-12-20,11:10:00,760.75,761.25,760.0,761.0
2021-12-20,11:15:00,761.25,761.75,761.0,761.5
2021-12-20,11:20:00,761.5,762.75,761.25,762.5
2021-12-20,11:25:00,762.5,763.0,762.0,763.0
2021-12-20,11:30:00,763.25,763.75,763.25,763.5
2021-12-20,11:35:00,763.25,763.75,763.0,763.75
2021-12-20,11:40:00,763.5,764.0,763.5,764.0
2021-12-20,11:45:00,764.0,764.5,763.5,763.5
2021-12-20,11:50:00,763.25,763.25,762.75,762.75
2021-12-20,11:55:00,762.75,763.5,762.75,763.5
2021-12-20,12:00:00,763.75,764.0,763.75,764.0
2021-12-20,12:05:00,763.75,764.0,763.25,764.0
2021-12-20,12:10:00,763.5,763.5,762.75,762.75
2021-12-20,12:15:00,762.75,763.25,762.75,763.25
2021-12-20,12:20:00,763.25,763.25,762.75,762.75
2021-12-20,12:25:00,763.0,763.25,763.0,763.0
2021-12-20,12:30:00,763.25,763.75,763.25,763.75
2021-12-20,12:35:00,764.25,764.75,763.75,764.0
2021-12-20,12:40:00,764.0,764.0,763.25,763.5
2021-12-20,12:45:00,763.5,764.0,762.75,764.0
2021-12-20,12:50:00,764.0,764.5,763.75,763.75
2021-12-20,12:55:00,763.75,765.25,762.75,765.0
2021-12-20,13:00:00,765.25,765.25,764.25,764.75
2021-12-20,13:05:00,764.5,765.75,764.5,765.75
2021-12-20,13:10:00,765.75,766.5,765.5,766.25
2021-12-20,13:15:00,766.5,767.25,766.5,767.25
2021-12-20,13:20:00,767.25,767.75,767.0,767.25
2021-12-20,13:25:00,767.0,767.25,766.5,767.25
2021-12-20,13:30:00,767.25,767.25,765.0,765.0
2021-12-20,13:35:00,765.0,765.25,764.0,764.25
2021-12-20,13:40:00,764.25,764.75,763.75,764.25
2021-12-20,14:30:00,764.0,769.0,763.25,764.75
2021-12-20,14:35:00,764.5,768.0,764.0,767.75
2021-12-20,14:40:00,767.75,768.0,766.0,766.5
2021-12-20,14:45:00,766.0,767.0,765.0,766.25
2021-12-20,14:50:00,766.25,766.5,764.25,765.0
2021-12-20,14:55:00,765.0,766.75,765.0,766.5
2021-12-20,15:00:00,766.5,769.5,766.25,769.5
2021-12-20,15:05:00,769.5,769.75,768.5,769.5
2021-12-20,15:10:00,769.5,772.5,768.5,772.25
2021-12-20,15:15:00,772.0,772.0,771.0,771.25
2021-12-20,15:20:00,771.0,772.25,769.25,771.5
2021-12-20,15:25:00,771.75,773.75,771.25,772.5
2021-12-20,15:30:00,772.25,772.75,771.0,771.75
2021-12-20,15:35:00,771.5,772.25,771.25,771.25
2021-12-20,15:40:00,771.25,774.75,771.25,774.5
2021-12-20,15:45:00,774.5,775.0,773.0,774.0
2021-12-20,15:50:00,774.0,775.25,771.75,772.75
2021-12-20,15:55:00,772.75,773.5,770.5,771.25
2021-12-20,16:00:00,771.5,771.5,769.5,770.5
2021-12-20,16:05:00,770.25,770.5,769.5,769.75
2021-12-20,16:10:00,770.0,771.0,769.75,770.75
2021-12-20,16:15:00,771.0,772.25,771.0,771.75
2021-12-20,16:20:00,771.5,771.75,770.75,771.5
2021-12-20,16:25:00,771.5,771.75,770.75,771.25
2021-12-20,16:30:00,771.25,774.75,771.25,774.5
