Date,Time,open,high,low,close
1975-01-01,23:00:00,184.0,184.8,173.9,175.1
1975-01-02,23:00:00,173.0,175.5,170.5,174.7
1975-01-05,23:00:00,172.0,174.5,167.5,174.4
1975-01-06,23:00:00,171.0,174.0,168.5,173.4
1975-01-07,23:00:00,176.0,180.0,176.0,177.4
1975-01-08,23:00:00,179.0,179.1,177.0,178.3
1975-01-09,23:00:00,177.0,181.3,176.5,181.3
1975-01-12,23:00:00,181.0,181.0,178.6,178.6
1975-01-13,23:00:00,177.0,178.6,176.5,178.6
1975-01-14,23:00:00,178.8,179.4,177.3,177.3
1975-01-15,23:00:00,177.0,177.0,174.6,175.1
1975-01-16,23:00:00,174.7,175.8,172.1,172.1
1975-01-19,23:00:00,173.6,176.2,173.6,176.2
1975-01-20,23:00:00,173.7,173.7,173.7,173.7
1975-01-21,23:00:00,175.9,175.9,174.3,174.3
1975-01-22,23:00:00,177.0,178.9,176.4,176.4
1975-01-23,23:00:00,179.0,180.0,177.8,179.5
1975-01-26,23:00:00,180.0,180.0,176.8,176.8
1975-01-27,23:00:00,177.3,177.3,175.4,176.0
1975-01-28,23:00:00,177.4,179.1,177.4,179.1
1975-01-29,23:00:00,179.7,180.7,178.0,178.3
1975-01-30,23:00:00,178.0,178.4,177.0,178.0
1975-02-02,23:00:00,179.1,179.7,178.1,178.3
1975-02-03,23:00:00,176.5,177.5,175.6,177.3
1975-02-04,23:00:00,177.2,177.7,176.5,176.7
1975-02-05,23:00:00,174.9,176.7,174.1,176.3
1975-02-06,23:00:00,177.2,177.4,176.4,177.3
1975-02-09,23:00:00,176.0,176.4,175.5,175.6
1975-02-10,23:00:00,176.3,177.1,171.3,176.8
1975-02-12,23:00:00,180.5,186.7,180.2,185.8
1975-02-13,23:00:00,186.0,186.8,182.5,184.9
1975-02-17,23:00:00,182.0,185.7,181.7,185.4
1975-02-18,23:00:00,186.0,188.0,185.5,185.6
1975-02-19,23:00:00,185.7,188.4,185.4,187.7
1975-02-20,23:00:00,188.0,188.5,185.0,186.0
1975-02-23,22:00:00,186.7,187.5,186.7,186.9
1975-02-24,22:00:00,189.0,189.0,184.1,184.4
1975-02-25,22:00:00,185.5,185.7,183.2,185.2
1975-02-26,22:00:00,184.2,184.9,181.4,182.5
1975-02-27,22:00:00,183.0,183.0,181.0,183.0
1975-03-02,22:00:00,183.3,187.5,182.2,182.6
1975-03-03,22:00:00,181.5,185.0,177.0,177.0
1975-03-04,22:00:00,177.0,180.1,176.4,178.7
1975-03-05,22:00:00,179.8,181.4,179.8,180.6
1975-03-06,22:00:00,179.5,179.5,176.8,178.0
1975-03-09,22:00:00,177.1,177.8,176.1,177.2
1975-03-10,22:00:00,179.1,180.5,178.7,180.0
1975-03-11,22:00:00,178.0,178.7,177.6,178.1
1975-03-12,22:00:00,178.9,180.0,178.9,179.5
1975-03-13,22:00:00,178.4,178.7,178.1,178.7
1975-03-16,22:00:00,178.5,179.3,177.6,179.0
1975-03-17,22:00:00,179.0,179.5,178.3,178.6
1975-03-18,22:00:00,179.2,179.4,178.5,179.2
1975-03-19,22:00:00,178.8,178.8,175.0,175.5
1975-03-20,22:00:00,176.5,177.0,175.5,175.6
1975-03-23,22:00:00,176.8,178.8,175.2,175.9
1975-03-24,22:00:00,177.2,177.2,175.7,176.2
1975-03-25,22:00:00,176.5,178.2,176.5,178.1
1975-03-26,22:00:00,177.8,178.0,175.4,176.0
1975-03-30,22:00:00,178.2,179.7,178.0,179.5
1975-03-31,22:00:00,179.7,179.7,178.4,179.1
1975-04-01,22:00:00,179.6,179.9,177.9,178.1
1975-04-02,22:00:00,177.5,177.5,176.0,177.1
1975-04-03,22:00:00,175.5,175.9,173.3,173.8
1975-04-06,22:00:00,174.5,174.5,173.0,174.1
1975-04-07,22:00:00,175.2,175.6,174.4,174.5
1975-04-08,22:00:00,174.0,174.7,173.3,174.5
1975-04-09,22:00:00,173.7,173.7,172.1,173.1
1975-04-10,22:00:00,173.3,173.3,172.2,172.7
1975-04-13,22:00:00,169.0,169.7,165.8,166.2
1975-04-14,22:00:00,163.0,165.7,162.3,164.6
1975-04-15,22:00:00,166.5,167.4,166.1,166.5
1975-04-16,22:00:00,167.5,170.2,166.9,169.5
1975-04-17,22:00:00,170.8,171.0,168.4,169.0
1975-04-20,22:00:00,166.0,166.4,164.9,165.7
1975-04-21,22:00:00,165.1,168.0,165.0,166.7
1975-04-22,22:00:00,166.9,169.5,165.8,168.8
1975-04-23,22:00:00,168.5,168.5,166.5,167.0
1975-04-24,22:00:00,166.5,167.2,166.0,166.8
1975-04-27,22:00:00,166.4,167.7,166.3,166.3
1975-04-28,22:00:00,167.5,168.4,167.3,167.8
1975-04-29,22:00:00,167.3,168.0,166.5,166.8
1975-04-30,22:00:00,167.0,167.0,165.5,165.5
1975-05-01,22:00:00,166.2,166.5,165.0,165.0
