Date,Time,open,high,low,close
1985-11-08,0:00:00,129.22,129.67,128.91,129.14
1985-11-10,22:00:00,129.38,129.46,129.23,129.3
1985-11-12,0:00:00,129.33,129.53,128.65,128.65
1985-11-13,0:00:00,128.72,129.01,128.58,128.94
1985-11-14,0:00:00,128.6,128.82,128.5,128.53
1985-11-15,0:00:00,128.72,129.15,128.71,129.03
1985-11-17,22:00:00,129.07,129.12,128.54,128.56
1985-11-19,0:00:00,128.37,128.52,127.92,128.34
1985-11-20,0:00:00,127.96,128.85,127.88,128.54
1985-11-21,0:00:00,127.48,127.8,127.1,127.1
1985-11-22,0:00:00,127.39,127.53,126.54,126.54
1985-11-24,22:00:00,126.5,126.81,126.48,126.48
1985-11-26,0:00:00,126.82,126.85,125.79,125.92
1985-11-27,0:00:00,126.03,126.41,125.42,125.9
1985-11-28,0:00:00,125.95,126.98,124.93,125.18
1985-11-29,0:00:00,125.1,125.16,124.77,124.99
1985-12-01,22:00:00,124.51,125.57,124.42,125.32
1985-12-03,0:00:00,126.16,126.32,125.76,125.87
1985-12-04,0:00:00,125.22,125.41,125.19,125.34
1985-12-05,0:00:00,125.9,125.96,125.41,125.43
1985-12-06,0:00:00,125.74,125.94,125.57,125.69
1985-12-08,22:00:00,126.07,126.33,126.03,126.19
1985-12-10,0:00:00,126.75,126.84,126.56,126.66
1985-12-11,0:00:00,127.4,127.68,126.53,126.65
1985-12-12,0:00:00,126.13,126.2,125.62,125.98
1985-12-13,0:00:00,125.82,126.17,125.69,126.13
1985-12-15,22:00:00,126.15,126.34,125.75,125.78
1985-12-17,0:00:00,125.75,125.84,125.33,125.64
1985-12-18,0:00:00,126.17,126.58,126.06,126.48
1985-12-19,0:00:00,126.39,126.5,125.98,126.19
1985-12-20,0:00:00,126.22,126.33,125.83,125.85
1985-12-22,22:00:00,125.88,125.93,125.69,125.89
1985-12-24,0:00:00,125.87,125.94,125.7,125.73
1985-12-25,0:00:00,125.48,126.62,123.55,123.55
1985-12-26,0:00:00,125.86,125.91,125.73,125.81
1985-12-27,0:00:00,125.17,125.81,124.26,125.81
1985-12-29,22:00:00,124.12,124.3,124.01,124.04
1985-12-31,0:00:00,123.65,123.67,123.45,123.46
1986-01-01,0:00:00,123.94,124.9,121.91,121.91
1986-01-02,0:00:00,123.43,123.8,122.68,122.76
1986-01-03,0:00:00,124.21,124.55,124.15,124.5
1986-01-05,22:00:00,124.68,124.69,123.71,123.72
1986-01-07,0:00:00,123.26,123.6,123.05,123.5
1986-01-08,0:00:00,123.53,124.42,123.49,124.42
1986-01-09,0:00:00,124.27,124.71,122.91,123.22
1986-01-10,0:00:00,123.92,124.27,123.46,124.16
1986-01-12,22:00:00,124.77,125.21,124.23,124.46
1986-01-14,0:00:00,124.78,124.91,124.38,124.67
1986-01-15,0:00:00,124.59,124.64,124.1,124.3
1986-01-16,0:00:00,124.06,124.55,124.04,124.53
1986-01-17,0:00:00,124.45,124.57,124.2,124.41
1986-01-19,22:00:00,124.84,124.93,124.52,124.6
1986-01-21,0:00:00,124.46,124.63,124.18,124.51
1986-01-22,0:00:00,124.85,124.97,123.88,124.75
1986-01-23,0:00:00,124.51,124.72,124.37,124.45
1986-01-24,0:00:00,123.1,123.41,122.68,122.78
1986-01-26,22:00:00,122.6,122.78,122.35,122.45
1986-01-28,0:00:00,122.28,122.39,122.1,122.13
1986-01-29,0:00:00,121.84,121.95,121.67,121.85
1986-01-30,0:00:00,121.85,121.87,121.08,121.15
1986-01-31,0:00:00,121.65,121.87,121.48,121.52
1986-02-02,22:00:00,121.78,122.41,121.76,122.03
1986-02-04,0:00:00,123.08,123.26,122.72,122.89
1986-02-05,0:00:00,122.53,122.57,121.51,121.63
1986-02-06,0:00:00,121.49,122.06,121.08,121.81
1986-02-07,0:00:00,121.77,122.3,121.67,121.97
1986-02-09,22:00:00,121.07,121.23,120.62,120.81
1986-02-11,0:00:00,120.58,120.68,120.4,120.6
1986-02-12,0:00:00,119.83,120.29,119.81,120.09
1986-02-13,0:00:00,120.12,120.17,119.04,119.14
1986-02-14,0:00:00,119.35,119.36,118.8,118.82
1986-02-16,22:00:00,117.59,119.25,115.15,115.15
1986-02-18,0:00:00,119.06,119.07,118.01,118.05
1986-02-19,0:00:00,117.33,117.64,115.86,117.19
1986-02-20,0:00:00,116.97,117.46,116.51,117.1
1986-02-21,0:00:00,117.94,117.97,117.21,117.22
1986-02-23,22:00:00,116.48,116.86,115.83,115.86
1986-02-25,0:00:00,115.16,115.4,114.6,115.17
1986-02-26,0:00:00,114.98,115.22,114.38,114.77
1986-02-27,0:00:00,114.53,114.7,114.3,114.38
1986-02-28,0:00:00,114.53,115.2,114.21,115.08
1986-03-02,22:00:00,114.94,115.11,114.3,114.38
1986-03-04,0:00:00,114.23,114.23,113.66,113.73
1986-03-05,0:00:00,115.5,116.56,114.53,116.1
1986-03-06,0:00:00,115.35,115.68,115.05,115.25
