Date,Time,open,high,low,close
1970-02-02,01:00:00,143.375,143.75,142.875,143.625
1970-02-03,01:00:00,143.625,144.375,143.625,144.125
1970-02-04,01:00:00,144.25,144.25,143.375,144.0
1970-02-05,01:00:00,143.75,144.5,143.5,144.125
1970-02-06,01:00:00,144.25,145.0,144.25,144.625
1970-02-09,01:00:00,144.75,146.75,144.75,146.625
1970-02-10,01:00:00,147.5,148.125,147.125,147.875
1970-02-11,01:00:00,148.5,150.0,148.5,149.75
1970-02-12,01:00:00,150.5,150.625,149.5,149.625
1970-02-13,01:00:00,149.5,150.5,149.0,149.875
1970-02-16,01:00:00,145.375,147.875,145.375,147.375
1970-02-17,01:00:00,147.75,147.75,146.5,147.125
1970-02-18,01:00:00,148.0,149.125,147.875,149.0
1970-02-19,01:00:00,149.25,149.25,147.0,148.25
1970-02-20,01:00:00,148.125,148.875,147.625,148.625
1970-02-24,01:00:00,148.75,149.75,148.5,148.625
1970-02-25,01:00:00,148.75,148.875,147.25,147.75
1970-02-26,01:00:00,148.0,148.375,147.0,147.625
1970-02-27,01:00:00,147.875,148.625,147.0,147.25
1970-03-02,01:00:00,146.75,147.75,146.0,146.25
1970-03-03,01:00:00,146.375,146.625,145.75,146.0
1970-03-04,01:00:00,145.875,147.25,145.75,146.75
1970-03-05,01:00:00,146.875,147.375,146.375,146.625
1970-03-06,01:00:00,146.5,147.125,146.25,146.375
1970-03-09,01:00:00,146.25,146.375,145.125,145.125
1970-03-10,01:00:00,145.0,145.875,144.875,145.25
1970-03-11,01:00:00,145.375,147.5,145.375,147.375
1970-03-12,01:00:00,148.0,148.25,146.875,147.125
1970-03-13,01:00:00,147.0,147.25,146.625,147.125
1970-03-16,01:00:00,146.75,147.625,146.5,147.375
1970-03-17,01:00:00,146.875,147.0,144.375,144.375
1970-03-18,01:00:00,144.125,144.875,143.5,143.625
1970-03-19,01:00:00,143.75,144.75,143.75,144.25
1970-03-20,01:00:00,143.875,144.0,142.875,143.25
1970-03-23,01:00:00,143.0,144.875,143.0,144.625
1970-03-24,01:00:00,144.75,144.875,144.375,144.375
1970-03-25,01:00:00,144.375,145.0,144.25,144.875
1970-03-26,01:00:00,145.0,145.625,145.0,145.375
1970-03-30,01:00:00,145.375,145.375,144.0,144.125
1970-03-31,01:00:00,143.875,144.375,143.625,144.25
1970-04-01,01:00:00,144.625,145.0,144.5,144.5
1970-04-02,01:00:00,144.625,145.25,144.5,145.125
1970-04-03,01:00:00,145.375,145.5,144.75,145.125
1970-04-06,01:00:00,145.0,146.5,145.0,146.5
1970-04-07,01:00:00,146.625,147.625,146.625,147.5
1970-04-08,01:00:00,148.0,148.125,146.5,147.0
1970-04-09,01:00:00,147.125,147.75,146.0,146.375
1970-04-10,01:00:00,146.25,146.875,146.0,146.375
1970-04-13,01:00:00,146.25,146.375,145.5,145.875
1970-04-14,01:00:00,146.5,147.5,146.125,147.5
1970-04-15,01:00:00,147.875,149.25,147.5,149.25
1970-04-16,01:00:00,150.125,150.25,149.75,150.125
1970-04-17,01:00:00,140.625,140.75,138.875,139.25
1970-04-20,01:00:00,139.0,139.375,138.625,139.0
1970-04-21,01:00:00,139.25,140.625,139.25,140.125
1970-04-22,01:00:00,140.5,140.625,139.75,140.0
1970-04-23,01:00:00,139.75,140.25,139.625,139.875
1970-04-24,01:00:00,140.5,143.0,140.25,142.5
1970-04-27,00:00:00,142.125,144.0,141.75,143.375
1970-04-28,00:00:00,143.5,144.375,142.5,142.625
1970-04-29,00:00:00,142.125,143.25,141.75,143.0
1970-04-30,00:00:00,142.875,143.75,142.25,142.25
1970-05-01,00:00:00,142.5,142.5,141.5,141.75
1970-05-04,00:00:00,141.0,141.125,139.125,139.875
1970-05-05,00:00:00,139.25,139.625,138.25,138.625
1970-05-06,00:00:00,138.625,138.875,136.375,136.5
1970-05-07,00:00:00,136.625,137.625,136.25,137.125
1970-05-08,00:00:00,137.125,137.75,137.125,137.375
1970-05-11,00:00:00,137.25,137.5,135.5,135.5
1970-05-12,00:00:00,136.125,136.875,135.875,136.625
1970-05-13,00:00:00,136.75,137.0,135.625,136.375
1970-05-14,00:00:00,136.25,139.5,135.125,135.375
1970-05-15,00:00:00,135.625,136.125,135.625,136.0
1970-05-18,00:00:00,136.0,137.25,134.625,137.125
1970-05-19,00:00:00,137.75,137.875,135.25,135.375
1970-05-20,00:00:00,135.0,135.625,133.75,135.5
1970-05-21,00:00:00,136.0,137.25,135.5,137.0
1970-05-22,00:00:00,137.125,138.0,136.375,137.875
1970-05-25,00:00:00,138.0,138.25,136.625,137.0
1970-05-26,00:00:00,137.0,137.5,134.875,135.375
1970-05-27,00:00:00,135.625,136.25,134.75,135.25
1970-05-28,00:00:00,135.5,136.375,134.0,134.5
1970-06-01,00:00:00,134.625,134.875,134.25,134.75
1970-06-02,00:00:00,134.25,135.25,134.125,135.125
1970-06-03,00:00:00,135.5,136.0,135.375,135.875
1970-06-04,00:00:00,135.5,135.75,135.0,135.25
1970-06-05,00:00:00,135.25,135.375,134.375,134.625
1970-06-08,00:00:00,134.125,134.75,133.25,134.75
1970-06-09,00:00:00,134.625,135.5,134.375,135.125
1970-06-10,00:00:00,135.0,136.125,135.0,135.875
1970-06-11,00:00:00,136.25,139.375,136.25,138.0
1970-06-12,00:00:00,138.75,139.625,138.375,139.375
1970-06-15,00:00:00,139.875,140.375,138.25,138.5
1970-06-16,00:00:00,138.375,138.625,137.25,137.375
1970-06-17,00:00:00,139.375,139.5,138.625,139.125
1970-06-18,00:00:00,138.625,140.0,138.5,139.0
1970-06-19,00:00:00,139.5,139.875,139.25,139.5
1970-06-22,00:00:00,139.25,139.375,139.0,139.0
1970-06-23,00:00:00,138.75,140.875,138.75,140.375
1970-06-24,00:00:00,140.375,141.125,140.25,140.375
1970-06-25,00:00:00,140.75,143.25,140.625,143.0
1970-06-26,00:00:00,143.75,143.75,141.875,142.25
1970-06-29,00:00:00,142.125,145.5,141.875,143.75
1970-06-30,00:00:00,144.75,144.75,142.0,142.0
1970-07-01,00:00:00,141.875,142.0,138.75,138.875
1970-07-02,00:00:00,138.375,140.0,138.25,139.5
1970-07-06,00:00:00,139.75,141.25,139.75,140.375
1970-07-07,00:00:00,140.5,141.75,140.5,141.5
1970-07-08,00:00:00,142.0,144.25,142.0,143.75
1970-07-09,00:00:00,144.25,144.5,143.375,143.5
1970-07-10,00:00:00,144.0,144.125,143.125,143.5
1970-07-13,00:00:00,145.5,146.0,144.25,144.75
1970-07-14,00:00:00,144.625,144.625,143.375,143.375
1970-07-15,00:00:00,143.625,144.875,142.5,144.625
1970-07-16,00:00:00,145.0,145.375,144.0,144.125
1970-07-17,00:00:00,144.75,145.0,143.125,143.5
1970-07-20,00:00:00,143.125,144.0,142.75,143.5
1970-07-21,00:00:00,143.625,144.25,143.25,143.25
1970-07-22,00:00:00,143.0,144.5,143.0,144.25
1970-07-23,00:00:00,144.75,148.0,144.25,147.625
1970-07-24,00:00:00,148.5,148.5,146.5,146.5
1970-07-27,00:00:00,147.375,149.0,147.0,147.75
1970-07-28,00:00:00,148.0,148.0,145.75,146.0
1970-07-29,00:00:00,147.125,147.5,146.5,147.5
1970-07-30,00:00:00,148.0,148.5,146.75,147.0
1970-07-31,00:00:00,146.875,147.5,146.25,147.125
1970-08-03,00:00:00,146.875,147.625,146.625,147.375
1970-08-04,00:00:00,147.625,148.25,147.5,147.5
1970-08-05,00:00:00,147.25,147.375,143.75,145.875
1970-08-06,00:00:00,146.25,146.5,145.625,146.25
1970-08-07,00:00:00,145.875,146.875,145.625,146.375
1970-08-10,00:00:00,146.5,147.0,145.875,146.75
1970-08-11,00:00:00,146.875,147.5,146.5,147.5
1970-08-12,00:00:00,148.25,148.875,147.25,148.875
1970-08-13,00:00:00,149.25,150.25,148.25,150.0
1970-08-14,00:00:00,150.25,150.25,148.875,149.75
1970-08-17,00:00:00,159.75,159.75,154.5,159.75
1970-08-18,00:00:00,155.75,164.0,155.75,157.25
1970-08-19,00:00:00,162.0,162.5,159.0,161.75
1970-08-20,00:00:00,161.0,161.75,159.125,161.0
1970-08-21,00:00:00,155.5,158.375,155.0,157.75
1970-08-24,00:00:00,157.75,160.0,157.5,159.875
1970-08-25,00:00:00,161.0,163.5,160.75,163.25
1970-08-26,00:00:00,164.0,164.0,161.25,162.25
1970-08-27,00:00:00,161.5,164.0,161.0,162.875
1970-08-28,00:00:00,162.875,164.75,162.5,164.625
1970-08-31,00:00:00,164.0,166.125,164.0,164.25
1970-09-01,00:00:00,163.875,163.875,161.75,162.5
1970-09-02,00:00:00,162.75,163.5,161.125,163.125
1970-09-03,00:00:00,164.0,165.5,164.0,164.875
1970-09-04,00:00:00,164.25,167.5,164.0,167.0
1970-09-08,00:00:00,167.5,168.875,166.25,168.75
1970-09-09,00:00:00,168.5,171.0,168.5,170.25
1970-09-10,00:00:00,170.25,171.25,169.625,170.25
1970-09-11,00:00:00,170.0,170.5,169.0,170.375
1970-09-14,00:00:00,169.5,172.375,169.25,172.0
1970-09-15,00:00:00,172.75,173.25,170.625,170.875
1970-09-16,00:00:00,170.5,171.875,170.25,170.375
1970-09-17,00:00:00,171.0,171.125,165.625,165.875
1970-09-18,00:00:00,166.0,169.25,165.75,169.0
1970-09-21,00:00:00,168.5,168.5,167.0,167.875
1970-09-22,00:00:00,169.5,171.0,168.875,170.75
1970-09-23,00:00:00,170.75,171.625,169.5,170.75
1970-09-24,00:00:00,170.5,170.75,168.125,168.25
1970-09-25,00:00:00,167.0,169.5,167.0,169.5
1970-09-28,00:00:00,168.875,170.125,168.5,169.75
1970-09-29,00:00:00,169.625,170.0,168.875,169.0
1970-09-30,00:00:00,168.25,168.75,166.75,168.375
1970-10-01,00:00:00,167.75,168.5,167.125,168.0
1970-10-02,00:00:00,168.0,169.75,167.75,169.375
1970-10-05,00:00:00,172.0,172.75,171.375,171.375
1970-10-06,00:00:00,171.0,171.75,170.0,170.625
1970-10-07,00:00:00,170.5,171.5,170.0,171.375
