SELL,Date,Retail,Institutional,Foreign,Regional,Local
SELL,2/5/2008,964542254.3,561632198.7,289973146.1,166353015.4,1071374466
SELL,2/6/2008,903562493.2,553796366.8,311874796,122418144.2,1024523279
SELL,2/7/2008,848832589,515850030,335711924.3,181502788.3,848832589
SELL,2/10/2008,670817018.8,248110404.2,147947315.1,87298105.19,683682002.7
SELL,2/11/2008,831582551.8,359796462.2,160836166.9,164410303.9,866132543.2
SELL,2/12/2008,1034296140,321268919,140978766.1,90822858.95,1123763434
SELL,2/13/2008,834582000,467418000,281232000,128898000,891870000
SELL,2/14/2008,1041020328,394869779.7,182358043.7,143589010.8,1109943053
SELL,2/17/2008,1138727153,279363946.7,134718654.5,136136745.6,1147235700
SELL,2/18/2008,1053151255,4460729661,2023594296,192985832.1,3297300788
SELL,2/19/2008,1488995466,733385826.7,600042949.1,206681460.2,1415656884
SELL,2/20/2008,1572300187,746726637.7,466124391.8,269007111.7,1583895321
SELL,2/21/2008,1488238775,963554923.3,630110980.4,267245513.1,1554437205
SELL,2/28/2008,1607565477,777546506.5,486562844.5,240896310.3,1657652828
SELL,3/2/2008,1642870157,720971795.7,210381933.8,293116402.2,1860343617
SELL,3/3/2008,1709936704,842207630.2,451729547.1,334330907.8,1768636023
SELL,3/4/2008,1797280241,668124753.4,268729144.3,322968054.2,1873707795
SELL,3/5/2008,1859767453,812312220.9,448909385.2,334009959.3,1889160330
SELL,3/6/2008,1467272009,1143532277,436004315.8,211475147.2,1963324823
SELL,3/9/2008,1310512462,988632208.5,427640908.8,193128152.4,1678375610
SELL,3/10/2008,1564406093,857275165.7,324505288.7,225216357.1,1874381294
SELL,3/11/2008,1451790535,1021447173,588630574.5,220118156,1666962215
SELL,3/12/2008,1983969706,2246242886,1015251022,613380825.8,2605810957
SELL,3/13/2008,1346295079,1146843957,608325924.8,281724711.1,1605581539
SELL,3/16/2008,1525036080,915021648,322087620.1,158603752.3,1961806413
SELL,3/17/2008,1525490280,1188905236,616167782.1,219866036.8,1881076093
SELL,3/18/2008,965799479,1142933008,489225937,141285076.6,1478221473
SELL,3/19/2008,1217434432,825240789.3,573991737.1,194054146,1276672013
SELL,3/23/2008,1127760351,607255573.8,288012643.6,180441656.2,1266561625
SELL,3/24/2008,1171244604,942915331,399576227.7,122621276.2,1591962431
SELL,3/25/2008,1364396101,818637660.8,388580009.6,157178430.9,1637275322
SELL,3/26/2008,1552334576,810427335.5,392218477.2,184295429.1,1786248005
SELL,3/27/2008,1496363852,681749469.8,496609837.4,191673972.3,1489829512
SELL,3/30/2008,1465080241,1665433094,159656180.1,244180040.1,2726677115
SELL,3/31/2008,1731047330,9294731845,363850712.8,341799154.4,10320129308
SELL,4/1/2008,1320149092,598672262.8,410627770,182288028.7,1325905556
SELL,4/2/2008,1356518314,677242276.5,475899978.1,235916228.4,1319910623
SELL,4/3/2008,1074091517,652743719.2,329825530.1,145054159.8,1251955546
SELL,4/6/2008,906294736.7,303711587.3,143990752.6,84700442.68,981315128.8
SELL,4/7/2008,1404517162,3523613232,640656951.2,206981476.5,4080491966
SELL,4/8/2008,1947423816,776245856.8,463023844.4,206998895.1,2053646933
SELL,4/9/2008,2100189218,768921735.4,255350874.8,433235753.9,2177655213
SELL,4/10/2008,1464469117,561075996.3,311933947.4,115456071.4,1598155094
SELL,4/13/2008,1667048627,543891196.5,201195523.9,274156538.1,1737798701
SELL,4/14/2008,1509994084,875462604.5,364974873.3,267171149.1,1753310666
SELL,4/15/2008,1513803056,786809491.1,379601070.3,234662479.8,1686348997
SELL,4/16/2008,1623045645,576203196.3,290300847,200131644.5,1706617101
SELL,4/17/2008,1434175025,443017416.1,305982367.9,129526278.4,1441683795
SELL,4/20/2008,1358801395,450521368,141127175.5,177313630.8,1490881957
SELL,4/21/2008,1187864194,728045796.2,339116068.2,172431899.1,1404362023
SELL,4/22/2008,1196744088,1216046413,308837184.1,219563935.6,1884389381
SELL,4/23/2008,843559417.7,1987176883,413287499.9,76429880.13,2341018921
SELL,5/4/2008,1583177402,841290288.8,186684012.2,259418042.9,1978365636
SELL,5/5/2008,1797390986,989261705.3,423571209,314891754.1,2048189728
SELL,5/6/2008,1686905465,2775807406,423957722.7,240986495,3797768653
SELL,5/7/2008,1535944367,652010571.8,417899393.3,236299133.4,1533756412
SELL,5/8/2008,1716515217,990922033.5,628125442,289695785.8,1789616022
SELL,5/11/2008,1248843030,1111918842,467430850.7,210107806.6,1683223215
SELL,5/12/2008,1445280414,1099227358,674294559.6,269717823.8,1600495389
SELL,5/13/2008,929469765.3,1569104873,594660763.8,94945836.24,1808968038
SELL,5/14/2008,1156029424,678937915.8,480761443.1,106428105.7,1247777791
SELL,5/15/2008,1076840398,990031767.5,527052402.3,121945457.8,1417874306
SELL,5/18/2008,816949875.9,477740894.1,176077944.7,141121293.9,977491531.4
SELL,5/19/2008,991437041.2,1052763044,439503018.3,161491806.7,1443205260
SELL,5/20/2008,1138085645,872666378,434322437,1146128653,1461816721
SELL,5/21/2008,1058433588,961477839.7,438320779.9,119174774.3,1462415874
SELL,5/22/2008,1364689433,476996711.3,246785943.3,117867913.2,1477032287
SELL,5/25/2008,1129500000,370500000,163500000,126000000,1210500000
SELL,5/26/2008,1184559309,431483404.6,239174321.7,161604271.4,1216880164
SELL,5/27/2008,1831021478,960169799.3,304239849.2,471711325.8,2018031293
SELL,5/28/2008,1341841473,995861441.8,413773416,149612986.6,1774316512
SELL,5/29/2008,1415592630,1042033464,818389489.3,159745696.1,1479490909
SELL,6/1/2008,1260000000,1240000000,140000000,157500000,2202500000
SELL,6/2/2008,1334952747,471478575,267351835.7,198707445.4,1340372041
SELL,6/3/2008,1105375985,372399396,110833153.6,152210864.2,1214731363
SELL,6/4/2008,1234061810,930958909.2,443829247.4,194851864.7,1528504628
SELL,6/5/2008,862495054.3,786635068.7,324878634.2,128632149.6,1195619339
SELL,6/8/2008,1091862817,506765026.2,313331057.2,52754718.82,1232542067
SELL,6/9/2008,1074000000,426000000,234000000,90000000,1176000000
SELL,6/10/2008,1266300000,833700000,378000000,90300000,1631700000
SELL,6/11/2008,1030357247,339798666.7,174009801.1,97281069.89,1098865043
SELL,6/12/2008,1254108865,908147798.9,203252126.4,127573143.2,1833593651
SELL,6/15/2008,885690690.1,566261260.9,326689189,87117117.06,1038145645
SELL,6/16/2008,1024967240,477917276.1,238958638,154797105.1,1109128773
SELL,6/17/2008,1299881143,419538358.2,251035247.1,94568072.56,1373816181
SELL,6/18/2008,824141417.4,549427611.6,192299664.1,178563973.8,1002705391
SELL,6/19/2008,766231211.2,412586036.8,176822587.2,117881724.8,884112936
SELL,6/22/2008,737000000,363000000,77000000,84700000,938300000
SELL,6/23/2008,1032200000,1032467800,153400000,100100000,1046500000
SELL,6/24/2008,1002827858,337851096.4,170266227.2,123342463.8,1047070263
SELL,6/25/2008,1266628977,535119212.1,297288451.2,142338106.9,1362121631
SELL,6/26/2008,1093458919,558291714,426151663.3,201513577.2,1022433642
SELL,6/29/2008,685076155.7,655581683.3,72395523.31,49604340.04,1218657976
SELL,6/30/2008,324898548.7,1490177142,68972876.26,34486438.13,1713431452
SELL,7/2/2008,836749893.6,978325797.4,292227186.3,108904541.5,1413943963
SELL,7/3/2008,1365338299,457543275.1,302598341.3,220568670.5,1301537444
SELL,7/6/2008,849868737.7,231389198.3,124344662.6,129750952.3,827162321
SELL,7/7/2008,1242291049,342263860.6,175885595,237683236.5,1170986078
SELL,7/8/2008,868579859.6,530099463.4,339879075.5,184625670.6,934317787.8
SELL,7/9/2008,1051475199,1234340450,411446816.8,182865251.9,1691503580
SELL,7/10/2008,909697887.1,548151290.9,228882320.9,122459331,1107965375
SELL,7/13/2008,703046337.9,327813395.1,89684796.77,138135204.2,802008872.3
SELL,7/14/2008,886496731.4,329548167.6,188486959.3,200647408.3,828126576.2
SELL,7/15/2008,915000000,585000000,289500000,204000000,1011000000
SELL,7/16/2008,973153398,334848481,185736266.8,107256154.1,1016317460
SELL,7/17/2008,640858541.4,349649250.6,174329371.4,67354529.86,747833383
SELL,7/20/2008,638539015.5,268476631.5,166890879,82538423.88,658493359.7
SELL,7/21/2008,623168618.8,429481075.2,327374054.8,50527185.31,674748453.9
SELL,7/22/2008,599313616.2,279445351.8,220568501,50968020.14,607222446.9
SELL,7/24/2008,715270977.8,336598107.2,246137365.9,95720086.74,710011632.4
SELL,7/27/2008,748846185.9,352398205.1,116731905.4,88099551.28,897514178.7
SELL,7/28/2008,802592809.8,483613616.2,230230950.3,135051674.7,920923801
SELL,7/29/2008,790525749,351852501,262746997.5,75396964.5,804234288
SELL,7/30/2008,567721351.8,453360216.2,158267643,95981667.39,766832257.6
SELL,7/31/2008,545476067.9,284776699.1,144463981.5,82195023.93,603593761.6
SELL,8/3/2008,486544376.4,150293812.6,53494407.88,45215511.42,538128269.7
SELL,8/4/2008,557776850.4,287339589.6,180854918.2,65919082.32,599187556
SELL,8/5/2008,470038939,372324751,217329832,121300371.4,503733486.6
SELL,8/6/2008,703547956.9,400922933.1,319192087.2,262864071.8,522414731
SELL,8/7/2008,652325915.2,363758064.8,192039872.2,82302802.38,741741305.4
SELL,8/10/2008,590034820.1,430786667.9,301142339,62270110.77,657409038.3
SELL,8/11/2008,599612950.8,304780640.2,152842516.9,54263615.46,697287458.7
SELL,8/12/2008,571721606.5,356397884.5,254304740.5,45477855.06,628336895.4
SELL,8/13/2008,987973310.5,407469218.5,269320408.1,101867304.6,1024254816
SELL,8/14/2008,625320791.4,545691926.6,365355968,48011521.44,757645228.5
SELL,8/17/2008,532066500,305833500,215340300,52787700,570609900
SELL,8/18/2008,532174500,377525500,211050400,59130500,657713100
SELL,8/19/2008,538596000,458804000,276279800,69818000,651302200
SELL,8/20/2008,554153600,345446400,238394000,93558400,567647600
SELL,8/21/2008,610015601.6,318470854.4,164342102.7,89134699.78,675938140
SELL,8/24/2008,500585415.1,175279166.1,96552083.03,121804166.3,523609373.4
SELL,8/25/2008,467978636.8,227383379.2,131423421,84834165.95,479799791
SELL,8/26/2008,1996478414,369017337.2,80426855.53,123005779.1,2162063116
SELL,8/27/2008,524858600,240241400,139248200,110939500,514912300
SELL,8/28/2008,599423638.4,367388681.6,175959842.2,153723158.9,638096131.2
SELL,8/31/2008,704606296.7,348616867.3,143238350.3,246454220.4,663530593.3
SELL,9/1/2008,515979123.7,382939210.3,156411790.1,187873931.8,554632612.1
SELL,9/2/2008,432829669.3,455937618.7,229301960.3,208860312.7,450605015
SELL,9/3/2008,585338601.6,430874248.4,284539598,153448140.4,579241324.5
SELL,9/4/2008,691859016.2,425845371.8,253718896.1,96122577.37,767862914.6
SELL,9/7/2008,778555564.4,385204621.6,158271385.3,272319883.5,733168917.2
SELL,9/8/2008,808694557,487290310,342140004.9,134782426.2,820358420.8
SELL,9/9/2008,814202536.9,401025130.1,247906444.1,125168449.7,819063447.6
SELL,9/10/2008,714254471.9,410555720.1,280077737.8,102357727.5,742374726.7
SELL,9/11/2008,740408784.1,776822330.9,332273614.2,75861555.75,1109095945
SELL,9/14/2008,530894578.8,283360910.2,210077916.2,52112351.3,552879477
SELL,9/15/2008,597298270,480857452,287867577.8,150941801.1,640424498.9
SELL,9/16/2008,561491324.5,489990556.5,346989020.7,123023380.1,581469480.2
SELL,9/17/2008,585956493.2,534419210.8,275612423.2,124361703.1,720401577.7
SELL,9/18/2008,634534804,470926527,405704308.5,65222218.53,635640265.3
SELL,9/21/2008,566897674,402158179,261645080.3,97874641.15,610505187.4
SELL,9/22/2008,482711721.5,278663233.5,187298238.9,69285120.91,504791595.2
SELL,9/23/2008,332284111.5,275182271.5,230837225.5,17009058.72,359620098.7
SELL,9/24/2008,456843457.3,267155682.7,238919716.2,60091928.62,424987495.2
SELL,9/25/2008,403855141.9,684703192.1,635718067.1,60959266.7,391881000.2
SELL,10/7/2008,257652000,500148000,254620800,40921200,462258000
SELL,10/8/2008,545495445,666716655,437608568.1,128494482.6,646109049.3
SELL,10/9/2008,492794994,431773475,265351150.6,111872784.7,548269102.1
SELL,10/12/2008,463073762,241756926,138851645.5,48633317.47,517345725
SELL,10/13/2008,543952978.6,876289785.4,360741662.1,103677721.8,957243622.9
SELL,10/14/2008,622524665.4,574638152.6,363937496.7,77815583.17,755409738.2
SELL,10/15/2008,506633075.2,477120468.8,233149589.9,83619051.24,666001149.3
SELL,10/16/2008,418413267.3,372538088.7,161354076.6,49829935.43,580558295.3
SELL,10/19/2008,280528001.1,279408128.9,113107098.3,53193932.35,393635099.4
SELL,10/20/2008,306609607.6,291069939.4,158982759.5,50205081.95,388491705.6
SELL,10/21/2008,379535505.4,332538613.6,173746085,72631560.14,465696473.8
SELL,10/22/2008,375938903,407267145,171522124.5,90068695.52,521615228
SELL,10/23/2008,370731977.9,280818071.1,140083260.5,44305403.33,467161385.1
SELL,10/26/2008,343321000,185679000,53958000,79879000,395163000
SELL,10/27/2008,358680592.6,310499617.4,117106536.8,78294084.57,473779588.7
