Date,Foreign,Regional,Local,Total Turnover,Retail,Institutional,,,,,,,,,,,,,,,
2/5/2008 0:00,317444286.2,151091270.8,1057638896,1526174453,940123463,586050990,,,,,,,,,,,,,,,
2/6/2008 0:00,342479332.1,126790220.8,988089307.1,1457358860,897733057.8,559625802.2,,,,,,,,,,,,,,,
2/7/2008 0:00,319335732.8,132374214,912972672.1,1364682619,866573463.1,498109155.9,,,,,,,,,,,,,,,
2/10/2008 0:00,103838798.8,79946685.8,735141938.4,918927423,714006607.7,204920815.3,,,,,,,,,,,,,,,
2/11/2008 0:00,177515473.1,144156860.7,869706680.2,1191379014,839922204.9,351456809.1,,,,,,,,,,,,,,,
2/12/2008 0:00,162667807.1,97600684.25,1095296568,1355565059,845872596.8,509692462.2,,,,,,,,,,,,,,,
2/13/2008 0:00,316386000,109368000,876246000,1302000000,790314000,511686000,,,,,,,,,,,,,,,
2/14/2008 0:00,278562681,137845450.4,1020917867,1435890108,960610482.3,475279625.7,,,,,,,,,,,,,,,
2/17/2008 0:00,153153838.8,160244294.3,1104692967,1418091100,1110365331,307725768.7,,,,,,,,,,,,,,,
2/18/2008 0:00,1207539921,2150413557,2150413557,5513880916,986984684,4526896232,,,,,,,,,,,,,,,
2/19/2008 0:00,624489143.3,208903841.5,1388988308,2222381293,1431213553,791167740.3,,,,,,,,,,,,,,,
2/20/2008 0:00,531057142.9,227264628.9,1560705053,2319026825,1509686463,809340361.9,,,,,,,,,,,,,,,
2/21/2008 0:00,659532504.8,247631163.5,1547081823,2451793698,1439202901,1012590797,,,,,,,,,,,,,,,
2/28/2008 0:00,517569300.3,264747430.1,1602795253,2385111983,1547937677,837174306,,,,,,,,,,,,,,,
3/2/2008 0:00,262386456.8,224564985.5,1876890511,2363841953,1668872419,694969534.2,,,,,,,,,,,,,,,
3/3/2008 0:00,451729547.1,265423010.7,1834991776,2552144334,1740562436,811581898.2,,,,,,,,,,,,,,,
3/4/2008 0:00,335295079.2,266263739.4,1866311580,2465404994,1743041331,722363663.2,,,,,,,,,,,,,,,
3/5/2008 0:00,542432173.8,301945003.2,1827702497,2672079674,1846407055,825672619.3,,,,,,,,,,,,,,,
3/6/2008 0:00,482998792.9,201031930,1926773563,2610804286,1435942357,1174861929,,,,,,,,,,,,,,,
3/9/2008 0:00,400051172.8,213820454.4,1685273044,2299144671,1386384237,912760434.4,,,,,,,,,,,,,,,
3/10/2008 0:00,394734045.2,213107950.8,1813839263,2421681259,1588622906,833058353.1,,,,,,,,,,,,,,,
3/11/2008 0:00,633148853.2,207751967.5,1632336887,2473237708,1446844059,1026393649,,,,,,,,,,,,,,,
3/12/2008 0:00,1019481235,469553597.7,2741177760,4230212592,1916286304,2313926288,,,,,,,,,,,,,,,
3/13/2008 0:00,501120946.2,261779598.8,1732731630,2493139036,1446020641,1047118395,,,,,,,,,,,,,,,
3/16/2008 0:00,236685599.6,165923925.5,2039888261,2440057728,1525036080,915021648,,,,,,,,,,,,,,,
3/17/2008 0:00,407159327.4,306726693.3,2000509495,2714395516,1650352474,1064043042,,,,,,,,,,,,,,,
3/18/2008 0:00,647380873.5,145502541.6,1315849072,2108732487,1007974129,1100758358,,,,,,,,,,,,,,,
3/19/2008 0:00,545394284,234907650.4,1262373287,2042675221,1272586663,770088558.3,,,,,,,,,,,,,,,
3/23/2008 0:00,293217691.3,133596226.2,1308202007,1735015925,1103470128,631545796.7,,,,,,,,,,,,,,,
