Date,Total Turnover,Retail,Institutional,Foreign,Regional,Local,Retail.1,Institutional.1,Foreign.1,Regional.1,Local.1,Retail.2,Institutional.2,Foreign.2,Regional.2,Local.2,Retail.3,Institutional.3,Foreign.3,Regional.3,Local.3
2/5/2008,1526174453,940123463,586050990,317444286.2,151091270.8,1057638896,917230846.3,608943606.7,344915426.4,137355700.8,1043903326,964542254.3,561632198.7,289973146.1,166353015.4,1071374466,-47311408.04,47311408.04,54942280.31,-28997314.61,-27471140.15
2/6/2008,1457358860,897733057.8,559625802.2,342479332.1,126790220.8,988089307.1,891903622.3,565455237.7,374541227,131162297.4,953112694.4,903562493.2,553796366.8,311874796,122418144.2,1024523279,-11658870.88,11658870.88,62666430.98,8744153.16,-71410584.14
2/7/2008,1364682619,866573463.1,498109155.9,319335732.8,132374214,912972672.1,884314337.1,480368281.9,302959541.4,84610322.38,977112755.2,848832589,515850030,335711924.3,181502788.3,848832589,35481748.09,-35481748.09,-32752382.86,-96892465.95,128280166.2
2/10/2008,918927423,714006607.7,204920815.3,103838798.8,79946685.8,735141938.4,758115124,160812299,59730282.5,72595266.42,786601874.1,670817018.8,248110404.2,147947315.1,87298105.19,683682002.7,87298105.18,-87298105.19,-88217032.61,-14702838.77,102919871.4
2/11/2008,1191379014,839922204.9,351456809.1,177515473.1,144156860.7,869706680.2,848261858,343117156,194194779.3,123903417.5,874472196.3,831582551.8,359796462.2,160836166.9,164410303.9,866132543.2,16679306.2,-16679306.2,33358612.39,-40506886.48,8339653.098
2/12/2008,1355565059,845872596.8,509692462.2,162667807.1,97600684.25,1095296568,657449053.6,698116005.4,183001283,104378509.5,1068185266,1034296140,321268919,140978766.1,90822858.95,1123763434,-376847086.4,376847086.4,42022516.83,13555650.59,-55578167.42
2/13/2008,1302000000,790314000,511686000,316386000,109368000,876246000,747348000,554652000,351540000,91140000,860622000,834582000,467418000,281232000,128898000,891870000,-87234000,87234000,70308000,-37758000,-31248000
2/14/2008,1435890108,960610482.3,475279625.7,278562681,137845450.4,1020917867,880200636.2,555689471.8,373331428.1,130665999.8,931892680.1,1041020328,394869779.7,182358043.7,143589010.8,1109943053,-160819692.1,160819692.1,190973384.4,-12923010.97,-178050373.4
2/17/2008,1418091100,1110365331,307725768.7,153153838.8,160244294.3,1104692967,1083421600,334669499.6,173007114.2,182933751.9,1062150234,1138727153,279363946.7,134718654.5,136136745.6,1147235700,-55305552.9,55305552.9,38288459.7,46797006.3,-85085466
2/18/2008,5513880916,986984684,4526896232,1207539921,2150413557,2150413557,920818113,4593062803,396999426,4113355163,1009040208,1053151255,4460729661,2023594296,192985832.1,3297300788,-132333142,132333142,-1626594870,3920369331,-2288260580
